ncbi-gi:1000078	hsa:2203
ncbi-gi:100017706	hsa:2158
ncbi-gi:100017708	hsa:2158
ncbi-gi:100017710	hsa:2158
ncbi-gi:100017712	hsa:2158
ncbi-gi:100017714	hsa:2158
ncbi-gi:100017716	hsa:2158
ncbi-gi:100017718	hsa:2158
ncbi-gi:100017720	hsa:2158
ncbi-gi:100017722	hsa:2158
ncbi-gi:100017724	hsa:2158
ncbi-gi:100017726	hsa:2158
ncbi-gi:100017728	hsa:2158
ncbi-gi:100017730	hsa:2158
ncbi-gi:100017732	hsa:2158
ncbi-gi:100017734	hsa:2158
ncbi-gi:100017736	hsa:2158
ncbi-gi:100017738	hsa:2158
ncbi-gi:100017740	hsa:2158
ncbi-gi:100017742	hsa:2158
ncbi-gi:100017744	hsa:2158
ncbi-gi:100017748	hsa:2158
ncbi-gi:100017750	hsa:2158
ncbi-gi:100017752	hsa:2158
ncbi-gi:100017754	hsa:2158
ncbi-gi:100017760	hsa:2158
ncbi-gi:100017762	hsa:2158
ncbi-gi:100017764	hsa:2158
ncbi-gi:100017766	hsa:2158
ncbi-gi:100017768	hsa:2158
ncbi-gi:100017770	hsa:2158
ncbi-gi:100017772	hsa:2158
ncbi-gi:100017774	hsa:2158
ncbi-gi:100017776	hsa:2158
ncbi-gi:100017778	hsa:2158
ncbi-gi:100017780	hsa:2158
ncbi-gi:100017782	hsa:2158
ncbi-gi:100017784	hsa:2158
ncbi-gi:100017786	hsa:2158
ncbi-gi:100017788	hsa:2158
ncbi-gi:100017790	hsa:2158
ncbi-gi:100017792	hsa:2158
ncbi-gi:100017794	hsa:2158
ncbi-gi:100017796	hsa:2158
ncbi-gi:100017798	hsa:2158
ncbi-gi:100017800	hsa:2158
ncbi-gi:100017802	hsa:2158
ncbi-gi:100017804	hsa:2158
ncbi-gi:100017806	hsa:2158
ncbi-gi:100017808	hsa:2158
ncbi-gi:100017810	hsa:2158
ncbi-gi:100017812	hsa:2158
ncbi-gi:100017814	hsa:2158
ncbi-gi:100017816	hsa:2158
ncbi-gi:100017818	hsa:2158
ncbi-gi:100017820	hsa:2158
ncbi-gi:100017822	hsa:2158
ncbi-gi:100017824	hsa:2158
ncbi-gi:100017826	hsa:2158
ncbi-gi:100017828	hsa:2158
ncbi-gi:100017830	hsa:2158
ncbi-gi:100017832	hsa:2158
ncbi-gi:100017834	hsa:2158
ncbi-gi:100017836	hsa:2158
ncbi-gi:100017838	hsa:2158
ncbi-gi:1000377	hsa:3868
ncbi-gi:1000379	hsa:3872
ncbi-gi:1000745	hsa:1302
ncbi-gi:1000746	hsa:1302
ncbi-gi:1000747	hsa:1302
ncbi-gi:1000864	hsa:2313
ncbi-gi:1001959	hsa:7681
ncbi-gi:1001963	hsa:6696
ncbi-gi:1002662	hsa:272
ncbi-gi:1002663	hsa:272
ncbi-gi:1002664	hsa:272
ncbi-gi:1002739	hsa:2834
ncbi-gi:1002741	hsa:2833
ncbi-gi:1002782	hsa:3119
