ncbi-geneid:1	hsa:1
ncbi-geneid:10	hsa:10
ncbi-geneid:100	hsa:100
ncbi-geneid:1000	hsa:1000
ncbi-geneid:10000	hsa:10000
ncbi-geneid:10001	hsa:10001
ncbi-geneid:10002	hsa:10002
ncbi-geneid:10003	hsa:10003
ncbi-geneid:10004	hsa:10004
ncbi-geneid:10005	hsa:10005
ncbi-geneid:10006	hsa:10006
ncbi-geneid:10007	hsa:10007
ncbi-geneid:10008	hsa:10008
ncbi-geneid:10009	hsa:10009
ncbi-geneid:1001	hsa:1001
ncbi-geneid:10010	hsa:10010
ncbi-geneid:10011	hsa:10011
ncbi-geneid:10013	hsa:10013
ncbi-geneid:10014	hsa:10014
ncbi-geneid:10015	hsa:10015
ncbi-geneid:10016	hsa:10016
ncbi-geneid:10017	hsa:10017
ncbi-geneid:10018	hsa:10018
ncbi-geneid:10019	hsa:10019
ncbi-geneid:1002	hsa:1002
ncbi-geneid:10020	hsa:10020
ncbi-geneid:10021	hsa:10021
ncbi-geneid:10022	hsa:10022
ncbi-geneid:10023	hsa:10023
ncbi-geneid:10024	hsa:10024
ncbi-geneid:10025	hsa:10025
ncbi-geneid:10026	hsa:10026
ncbi-geneid:1003	hsa:1003
ncbi-geneid:10036	hsa:10036
ncbi-geneid:10038	hsa:10038
ncbi-geneid:10039	hsa:10039
ncbi-geneid:1004	hsa:1004
ncbi-geneid:10040	hsa:10040
ncbi-geneid:10042	hsa:10042
ncbi-geneid:10043	hsa:10043
ncbi-geneid:10044	hsa:10044
ncbi-geneid:10045	hsa:10045
ncbi-geneid:10046	hsa:10046
ncbi-geneid:10047	hsa:10047
ncbi-geneid:10048	hsa:10048
ncbi-geneid:10049	hsa:10049
ncbi-geneid:1005	hsa:1005
ncbi-geneid:10050	hsa:10050
ncbi-geneid:10051	hsa:10051
ncbi-geneid:10052	hsa:10052
ncbi-geneid:10053	hsa:10053
ncbi-geneid:10054	hsa:10054
ncbi-geneid:10055	hsa:10055
ncbi-geneid:10056	hsa:10056
