Study Abbreviation	Study Name
LAML	Acute Myeloid Leukemia
ACC	Adrenocortical carcinoma
BLCA	Bladder Urothelial Carcinoma
LGG	Brain Lower Grade Glioma
BRCA	Breast invasive carcinoma
CESC	Cervical squamous cell carcinoma and endocervical adenocarcinoma
LCLL	Chronic Lymphocytic Leukemia
LCML	Chronic Myelogenous Leukemia
COAD	Colon adenocarcinoma
CNTL	Controls
ESCA	Esophageal carcinoma 
GBM	Glioblastoma multiforme
HNSC	Head and Neck squamous cell carcinoma
KICH	Kidney Chromophobe
KIRC	Kidney renal clear cell carcinoma
KIRP	Kidney renal papillary cell carcinoma
LIHC	Liver hepatocellular carcinoma
LUAD	Lung adenocarcinoma
LUSC	Lung squamous cell carcinoma
DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma
MESO	Mesothelioma
MISC	Miscellaneous
OV	Ovarian serous cystadenocarcinoma
PCPG	Pheochromocytoma and Paraganglioma
PRAD	Prostate adenocarcinoma
READ	Rectum adenocarcinoma
SARC	Sarcoma
SKCM	Skin Cutaneous Melanoma
STAD	Stomach adenocarcinoma
THCA-Mut_BRAF	Thyroid carcinoma (BRAF mutation)
THCA-Mut_DARK	Thyroid carcinoma (DARK mutation)
THCA-Mut_RAS	Thyroid carcinoma (RAS mutation)
THCA-NT	Thyroid carcinoma (Normal Tissue)
THCA-TM	Thyroid carcinoma (Metastatic Tumor)
THCA-TP	Thyroid carcinoma (Primary Tumor)
THCA-classical	Thyroid carcinoma (classical subtype)
THCA-follicular	Thyroid carcinoma (follicular subtype)
THCA-other	Thyroid carcinoma (other subtype)
THCA-risk_category_High	Thyroid carcinoma (high risk)
THCA-risk_category_Intermediate	Thyroid carcinoma (intermediate risk)
THCA-risk_category_Low	Thyroid carcinoma (low risk)
THCA-tall_cell	Thyroid carcinoma (tall cell)
THCA	Thyroid carcinoma
UCS	Uterine Carcinosarcoma
UCEC	Uterine Corpus Endometrioid Carcinoma
