Identifier 	A009	A016	A018	A030	A043	A075	A078	A079	B013	B017	B033	B036	B061	B062	B064	B080	B084	B105	B108	A001	A002	A006	A013	A015	A022	A026	A027	A039	A042	A045	A046	A049	A054	A067	A069	A070	A077	A082	A084	A088	A093	A094	A101	A104	B014	B022	B023	B024	B032	B048	B054	B060	B068	B081	B086	B092	B094	A003	A004	A005	A007	A014	A020	A021	A031	A033	A035	A037	A038	A047	A050	A051	A052	A053	A057	A058	A059	A061	A062	A064	A066	A068	A080	A081	A083	A085	A096	A097	A102	A103	A105	A106	A107	A108	B016	B019	B026	B027	B028	B030	B031	B034	B037	B038	B039	B040	B041	B042	B043	B044	B045	B047	B049	B050	B051	B052	B053	B055	B056	B057	B058	B059	B063	B065	B069	B071	B072	B073	B074	B076	B078	B079	B082	B083	B085	B087	B088	B089	B091	B093	B095	B096	B097	B098	B099	B100	B101	B102	B104	B106	A012	A023	A025	A044	A063	A087	A099	A017	A019	A024	A028	A032	A036	A040	A056	A071	A074	A090	A095	B012	B015	B025	B029	B035	B046	B066	B070	B075	B103	
NM_016617	0.043338142	0.7877793	-0.1859389	0.67051566	0.7522249	1.3124869	0.557781	0.2090312	0.5181171	-0.3212042	0.7703303	0.23534332	0.2840229	0.16970882	2.0044215	0.848577	0.49106222	1.6485715	0.5070817	0.31513828	0.98394847	0.6372085	0.043497246	0.20128669	0.4279021	0.12848788	0.33081636	0.8068673	0.46412262	0.90212435	0.13950334	0.8228043	0.6503295	-0.21167335	1.2726154	1.4694732	0.6427689	0.30930337	0.52035755	1.6067646	0.5598142	0.8979385	0.28818098	0.6360873	0.067262284	0.44435674	0.7922583	0.63685274	0.8211341	1.262037	0.3324913	0.3303039	0.7351336	1.5579636	-0.16484049	0.78134924	0.008139602	1.2955898	0.6251538	0.88578224	-0.04117351	0.9108519	1.0392329	-0.18911587	0.9701631	1.8533094	0.059443068	1.2821692	0.68927234	0.53817475	-0.36861002	0.6323616	1.6471459	0.9251149	0.92702514	1.3209822	0.09912087	1.1110171	-0.87698096	1.1222155	1.8466618	0.7582409	0.6811797	0.0012979081	1.0109984	0.3413634	-0.6040931	0.031425852	0.122070864	0.487464	0.4207926	-0.73473114	0.24007495	-0.44008517	1.6121976	0.63027066	0.50002265	2.557542	-0.16061898	1.2863894	1.5318866	0.5918631	1.0071799	1.1204188	-0.19181883	0.65187746	0.018892314	0.84075963	0.64567864	0.776594	1.3245076	1.8898461	0.0680995	1.1264237	0.77663183	1.6473818	-0.6162188	0.88921106	-0.75688434	0.021104243	0.25247994	-0.34305283	0.67889327	0.82252085	0.64892656	0.025149805	0.53831506	0.6029061	-0.13538758	0.00603791	0.58678484	-0.68552136	0.5341761	1.4288741	0.39230144	-0.10700063	-0.21845466	-0.2019699	-1.0158428	1.12748	0.022351338	0.3086167	0.1697394	2.0326893	-0.34673533	-0.42070982	0.81557053	0.7180408	0.1241858	0.8509934	1.2556665	1.1290791	0.8369901	0.95879984	1.3533263	0.73689145	-0.034553308	-0.42179418	0.88875663	0.24083911	0.9270718	-0.12995286	1.5113372	0.46471775	-0.28434	-0.27091166	-0.44130135	-5.5195737	0.19661617	-0.17617679	1.5389065	0.14085542	0.6498484	-0.41644248	0.88869303	1.9000665	0.6731557	0.031816073	0.07862782	
NM_030984	2.4220169	2.0194936	2.8430202	1.9867699	2.7512252	2.902282	4.1864853	3.3226712	3.5999403	2.3847718	2.0906823	2.755787	2.707858	3.379753	3.0447247	3.0327024	3.5799217	0.85203654	2.607837	3.4614398	2.8548403	2.7103305	3.3743646	1.528981	4.228077	2.6066473	2.7071807	2.8329718	2.5683696	3.464098	1.277022	1.9599372	NaN	2.2350194	3.2338095	2.560608	2.1018143	2.821602	3.3246093	1.9003239	2.59719	4.1023855	2.308786	3.4854243	2.308456	3.5731444	3.1331348	3.9074786	2.3200164	4.0344286	1.6866403	2.8863308	2.5612798	7.0584364	2.9565144	2.7942529	2.8937883	2.6525643	3.122194	0.7288775	2.230465	2.0933735	3.0199761	1.4619414	2.8847988	1.4102187	2.848799	3.132887	2.7565143	4.242346	2.4751039	1.3315886	1.7093124	2.398112	1.4453894	2.9026277	2.0689023	NaN	1.8793485	2.2843862	1.629595	1.4945673	2.0181534	2.3151708	1.3324054	2.1524863	1.4855685	3.1028328	3.8642933	1.333856	2.649984	1.020576	2.642344	2.3351023	1.5577551	2.430098	2.0883572	3.7885244	2.0365057	2.2437072	1.277389	3.5535452	2.078719	1.9069558	1.2386482	1.5332849	1.7242084	2.6650584	2.9720724	1.8164959	1.1222888	2.3224266	1.8510861	2.8461607	0.7011455	2.9407024	0.9804513	1.8356687	2.0061343	2.1665342	3.2294352	1.2756364	2.3967562	2.3440752	1.8640149	0.15112741	2.272863	2.6073377	3.914736	1.4828295	1.2330656	1.2778348	1.2485805	2.7894678	2.6913629	2.1914403	0.7794792	2.1506014	1.2044787	1.6174036	2.0621002	2.7647846	3.019842	0.18973634	1.4947767	1.9077228	2.1877692	2.0802686	2.641402	2.5840578	3.643033	4.905486	3.002854	0.918201	2.7487016	2.4648259	2.2837272	3.615443	2.1371524	2.9939573	1.8768002	1.7165048	2.4329827	0.64942205	2.2543097	-0.7221384	2.5008612	NaN	3.121883	2.1209204	NaN	2.759202	2.4986725	0.83379316	2.5521574	1.5486768	2.4522731	1.6868296	0.3501904	
NM_014467	2.8027594	1.4702792	2.7775152	1.1592809	2.122653	2.1047957	2.6364415	3.2711613	1.0592309	1.0927491	0.83442897	2.5569944	2.1562655	2.6177516	0.5810482	1.0270585	2.7146816	0.2438815	0.6952456	2.4378908	1.7032839	2.568549	2.7953591	2.3651652	2.1085413	1.5690603	2.885468	2.5092568	2.0045564	2.6925044	2.539169	1.287683	2.3723357	2.6636982	1.2122451	2.5590024	1.2213067	2.7074907	3.2694833	2.4193873	1.7846512	2.515137	2.3523986	2.5202048	1.6238475	3.832044	1.7908211	2.4718277	1.8915854	0.96025133	1.9268816	2.7372208	1.6120433	1.343383	2.888264	3.1023593	2.5070655	4.271778	1.2614334	0.4427974	2.6542451	1.4485227	0.82826304	2.5056496	1.4656031	2.8775225	2.6239905	2.1648626	2.6068468	3.3544002	2.6736152	-0.20692053	2.7954347	1.8406326	2.669869	1.420486	3.0045898	5.519174	2.8722582	2.8385096	2.5056868	2.6616077	2.159372	1.2614043	0.8133578	0.8439219	1.6996583	0.607238	1.4360201	1.9562087	2.5118086	1.79093	3.066363	1.482822	2.510867	1.9012302	1.2332369	1.3446351	2.3933609	0.113530226	2.0499454	1.6153942	3.277057	3.4301775	1.5103011	1.3883705	1.1572272	3.6070607	3.4447198	2.137282	6.90546E-4	1.4424816	2.826014	2.9660327	2.247887	3.7774444	0.9305609	3.1204388	0.16676801	2.4442725	3.0953085	1.1009918	0.62365425	1.9262302	2.0573716	0.5541614	1.6952384	2.2729921	2.0630262	1.1027595	1.2723801	1.8962337	0.45449212	1.4777244	1.7326114	0.9104726	1.9434565	2.2236042	1.1884164	2.1480699	2.4143713	2.582442	2.2760212	3.7318854	2.0467973	1.1375432	3.0530753	2.0182402	1.9755435	0.9315176	2.6649828	0.38305038	1.3380046	-0.5446798	0.70019203	1.2259281	1.9571279	1.3506352	1.5740104	2.3803034	2.0780785	2.154545	2.5700297	2.9341857	1.3316287	0.46199867	1.4360518	-2.0953588	3.4976244	1.2924433	4.035309	3.3069432	1.6924168	1.7159768	2.703797	1.7429901	0.86107486	1.3833159	0.53773606	
NM_018434	1.3658786	1.9734285	1.3182234	1.1459103	0.8513099	1.8369403	2.2549474	1.4516165	0.9592673	1.0954094	1.2007563	0.37718573	1.7799528	1.566845	1.1434307	0.7001707	1.3886331	0.1280157	0.73991895	1.4644831	1.5373605	0.9090365	0.36244717	1.0700517	2.2204444	0.7463104	1.7869209	0.87709534	0.4560753	1.3033205	1.1633469	0.8689514	1.4148225	0.9282285	1.412985	1.0916582	1.2049625	1.6670505	1.1694405	0.64550894	1.2082853	1.758066	1.3427068	1.3212371	0.9583732	0.3311452	0.7151308	1.173344	0.5050608	1.756757	1.3912897	1.3950096	0.8452466	1.6079292	1.0301323	0.9965824	1.123409	1.3741245	1.2655311	0.41372818	0.7349585	0.3200136	0.60286486	0.032255407	1.2564603	0.8067552	0.6839294	1.3550428	1.6324023	1.1187767	1.0137502	0.8419257	0.571368	0.14745824	1.1026999	1.8085005	0.88144845	0.9636713	0.8661435	0.49299628	1.3809797	0.3894669	1.7145696	1.6322654	0.1798829	0.5535661	1.0528854	0.9249107	1.5350388	0.25278902	0.81357497	0.91483104	0.3336742	0.90784776	1.1901555	0.6976883	1.632116	1.6375854	0.45728016	2.0627425	1.3155408	1.3504144	0.8509538	-0.13058329	-0.17919631	0.6354793	0.2999812	1.0660338	1.6298839	0.5622659	1.2926124	0.5811611	0.80861145	0.95440406	0.48929277	1.3458488	1.9555122	1.1037724	1.0209922	0.5694097	0.93091923	0.1915597	0.8055581	1.5544101	0.48833364	0.798338	0.20515676	1.4624879	1.6991403	0.6831265	0.38416544	0.13500233	1.1846213	0.49082732	0.7424031	1.3833156	0.43081048	0.97404546	0.15486561	0.27762476	0.7673008	1.5386353	1.0292784	1.4406369	1.2134567	0.64502305	0.72748494	1.079693	1.5035837	0.4926026	0.991027	0.91228133	0.61812663	0.78455245	1.1962229	0.77502084	0.61169827	1.1885097	1.2523692	0.48231316	0.06715431	0.3352666	0.9235568	0.7017446	0.17584941	0.012290086	0.23856513	-1.5310254	1.5350945	-1.291536	-0.75873107	0.86322653	0.38572475	1.0684091	1.5963849	1.2301047	1.0924667	0.4122547	-0.3569577	
NM_002118	4.902574	4.3934994	4.377705	3.7439983	4.821198	5.3012476	6.3248606	5.0191574	5.2861433	2.829566	4.1706305	4.186317	3.0198808	5.5623527	3.4497974	3.074288	5.70875	3.1370435	3.7611852	5.4229903	3.9861076	3.8582122	5.0328856	4.809653	5.922521	5.122944	5.816738	4.18774	4.8201714	4.850647	3.9116974	4.92003	4.503527	2.582348	6.127693	4.604522	5.008984	5.1590786	5.0129976	3.2543464	4.726354	3.7523115	5.203391	4.0164604	4.025231	4.6646633	5.133162	5.5041637	3.8896186	5.614887	2.8427691	4.1176486	4.217639	5.0050516	3.9550066	3.7636461	2.68214	3.8604558	5.488527	4.0663605	4.2038674	5.778676	3.6867108	3.475847	5.128495	4.469566	4.014958	4.3282094	3.0713942	4.8533854	4.4743314	2.2080529	3.6430535	4.336316	3.4642987	4.834474	2.8416603	8.744526	3.4912493	5.6470046	4.6437116	5.130182	4.590305	2.9288402	3.1609652	2.4935389	3.7835693	4.860439	3.8018758	3.049161	4.540129	2.788275	3.9774282	4.6542816	4.8721385	4.6184964	4.477236	3.482778	2.885972	1.5001334	2.2437892	2.935833	3.8881667	2.8690057	4.1922226	2.6984315	1.6126591	-0.5114187	2.988224	3.950293	1.6693192	3.660966	4.1559286	2.6989663	3.2293456	5.8199444	3.5256608	3.7422433	4.4472055	3.5413427	4.8451552	3.5057275	3.7409358	3.3305333	3.6870093	2.5571861	4.504544	2.6126206	3.3271663	3.592133	3.0791862	4.3056736	2.1380866	3.733784	3.6925778	3.314603	2.5076134	3.7319226	3.2577443	2.5494742	4.2314534	4.62536	2.6631575	4.2349186	2.7578661	3.5994573	3.534714	4.781159	2.397746	4.1862245	4.3826256	3.5796535	3.7567446	2.316711	3.48925	4.1597757	4.055639	5.8559747	5.764654	NaN	5.2240596	3.9814084	4.700085	3.7350185	4.5623126	4.7585616	4.589235	4.662284	5.137657	3.360794	2.7848418	4.260748	3.3468034	5.6655393	5.61139	5.9204855	4.990561	1.6379349	3.3844645	
NM_033554	5.943999	5.3741713	6.3883514	5.9372206	6.546164	6.37634	8.288843	7.4407387	6.5333962	5.5886073	6.0352483	5.42278	6.2411947	6.1762896	5.686557	4.8568263	6.7258406	4.2524905	5.6849236	6.810512	5.7655544	6.2975187	6.5305767	6.5791025	7.336828	6.613159	7.5497856	6.5239115	6.0807886	6.05419	5.46206	6.5912666	7.07637	5.598921	7.065307	7.0770497	6.8322263	6.4450307	4.6840944	5.4532933	6.6127076	6.4806833	6.541773	6.402856	6.7730055	6.3113894	7.2438235	6.9944396	6.0616965	8.164622	5.283215	5.7964473	4.7409124	6.672216	5.8513136	6.3057346	5.8231435	6.480218	6.2571716	5.2756114	6.3838334	4.5960183	6.179306	5.221473	6.4613237	5.403515	5.4912972	5.9566584	5.6889253	5.7539086	5.0866966	4.110577	4.7590575	4.3254266	5.180604	5.9513497	4.388648	7.1759453	5.2413335	7.247071	6.429903	3.6614392	6.694128	6.2243924	4.3139195	4.0814753	4.9576955	5.20335	4.4296484	4.5995054	5.457207	4.0208497	5.7573066	6.516142	5.754044	5.892963	5.723576	6.556751	5.314031	5.172056	3.9021988	5.1265025	5.7599297	4.3390164	5.03965	4.239299	5.083643	6.160133	5.230031	5.534561	4.210998	5.3814626	5.0010133	4.7664785	4.781472	6.697706	5.1047344	5.4943547	6.5253267	4.4481125	6.328554	5.116377	5.596708	5.266086	5.6015463	3.6718185	5.026829	5.678414	5.4417415	6.2318716	4.261966	6.145475	4.2367916	2.2831402	5.8066134	5.302642	4.647318	4.916931	4.304135	3.6238315	4.622243	4.0318704	4.151632	5.0195103	6.1191945	4.295034	5.419065	5.881539	5.635801	6.1522617	5.776924	4.974216	5.689483	4.299477	5.5809283	5.604706	5.3882766	6.122737	6.8321514	6.7203326	5.301112	6.083498	5.906098	4.388854	4.417156	3.7339048	6.1991553	0.93493736	7.440177	5.562982	4.8296494	6.5452676	5.530731	4.405678	5.3119545	7.8533154	5.413565	4.261382	4.170359	
NM_000766	1.2639074	0.7795088	0.083841965	0.17157342	1.3156732	0.61375207	1.0065972	1.0987871	0.96412516	1.2644954	0.85680217	1.3990555	0.31681326	1.2531288	1.2322576	1.2349972	1.8064326	1.0596552	1.029726	0.3746256	0.6089809	0.7158952	0.7316254	0.485682	0.34498218	0.06843722	0.35400498	1.0524243	0.5955324	1.087498	0.61433125	0.34586778	0.83908504	0.43196747	0.32874247	1.0488514	0.21928766	0.98585635	0.9842883	0.7151633	0.59652203	0.3679961	0.61044043	0.4657048	0.6792603	1.0587147	0.9575822	0.4995804	0.51666546	0.28283018	0.8506721	0.80865306	0.65694296	0.74619126	0.37728298	0.40629336	0.7495656	0.5038255	0.92555887	0.74020267	0.7570607	0.76357436	1.2818526	-0.1066496	1.0873317	1.0840759	0.92251676	1.355323	0.55721885	1.1900654	0.4217173	1.2120416	0.1859331	1.3593484	0.67898774	1.7228872	0.7188686	0.55951476	1.3283393	1.3252444	0.65155023	1.230632	0.8156235	1.17606	0.76208985	0.9671827	1.2298545	0.96774143	0.9892389	0.93381643	0.92991275	0.9286706	0.88671505	0.4881204	0.43846235	1.038833	0.33203375	1.8023368	0.9323185	0.81543654	1.9427861	1.4949732	1.0894471	0.8524155	0.69669235	0.9906584	1.4225527	0.8048349	0.9469042	1.034785	1.3237983	1.0845938	0.8296657	0.90051466	1.106209	0.7797111	1.9290751	0.6671609	0.9685228	0.8014844	0.7194684	1.5237349	1.3440053	0.93628937	0.9379429	1.5631865	1.1847708	1.3685588	0.71914613	1.5073782	1.20823	1.5709444	1.4167836	2.121041	1.2924254	1.0753437	1.2634958	0.7108191	0.7208535	0.759623	0.92751426	0.6827146	1.3811557	0.8749994	1.2224025	0.44926825	0.4640345	1.1848832	0.7935038	0.40383703	0.59763384	0.09533789	0.14398353	0.36695743	0.75848645	0.46867225	0.4003458	1.1021646	1.2744652	1.586555	1.3122331	1.9733171	1.5043242	1.4286222	1.601302	3.1941652	1.0657727	1.9323725	1.4339647	1.5290972	1.2174573	1.3468235	0.9930603	1.7390399	0.94669044	1.7877514	1.217659	0.847788	1.585887	
NM_173485	4.2762694	1.3390214	3.0443425	1.0790967	1.5776408	2.4564714	3.4288864	3.982254	2.5162044	1.283439	0.8779214	3.156654	3.2010655	2.4991078	1.783924	1.9146092	4.405222	0.9238072	1.0252409	3.039213	2.6978033	2.6235874	4.24791	2.5570674	3.7897062	2.760058	4.696434	3.2735465	3.8469598	4.6066556	2.741104	2.9688005	2.776019	3.2983253	2.19991	3.39349	2.29528	2.6866534	2.7123067	1.4967202	2.1209474	2.7532928	1.3535504	3.1929631	2.8095844	3.699013	3.2663753	3.9576125	4.234522	4.536378	3.0590208	2.0106182	4.277473	3.4791415	5.0415826	2.524432	2.5569472	2.6668353	1.5409056	0.3966581	3.2887752	1.4549736	2.581716	1.3456624	3.535537	0.83788604	1.8749629	1.6861342	2.0486255	2.7930214	0.95745015	0.7763318	2.4565296	2.4088979	1.2548909	2.2438037	2.120869	1.5156759	2.1575701	3.9305327	2.6410842	2.9430368	2.7432137	3.3918784	0.3154745	1.0966127	1.0191338	1.3921468	0.9659488	0.9446634	2.0259576	2.6828306	2.415436	4.3458953	3.0808363	1.3729397	4.0279355	1.4362241	2.8303103	1.3528886	1.5159696	2.7951348	2.983121	2.640485	1.2669132	1.1261433	1.9172928	3.4343488	2.5844007	2.2289426	2.353085	2.92824	2.3562014	2.250105	1.2001209	3.5525966	2.9745657	3.0065012	1.2820916	1.9071189	3.12327	2.483543	1.9591831	2.4278347	3.0910642	2.0164022	1.8237313	1.4531593	2.3260834	1.4959282	1.3319069	4.5104537	0.69339126	1.1069089	1.838123	1.8691659	2.0632377	2.3003502	3.2227197	1.4314682	1.0641487	2.9298627	1.4180963	2.3672826	1.6462508	1.816782	3.5224862	3.4128454	2.1377547	3.5422726	1.5914837	2.4436738	1.5658898	1.2836385	0.9887074	2.1407769	1.8611288	2.835605	3.3764045	2.5674877	2.8455167	3.468357	2.3959181	1.187758	1.0682111	3.530398	1.3884126	0.4742597	3.3813834	3.5940127	NaN	1.7143264	2.1848137	2.6859815	2.2347643	3.3668199	0.8667281	1.1598419	3.4940403	
NM_000388	0.3124416	1.2364687	0.935271	0.6275621	1.708895	0.93758994	0.53565836	0.683847	1.0183951	1.8299342	1.2930253	1.0763553	1.3237412	0.13807619	2.3856294	1.1591407	0.8572763	0.73248917	1.7028614	0.32721242	0.5824556	1.0006236	0.9699516	0.324625	0.679039	-0.163345	1.1605608	0.8066863	0.88078725	0.69277734	0.27434856	0.10028602	1.2699841	0.62003326	0.29570052	1.0613295	0.30351618	0.5695291	0.50156105	0.7566288	0.8448408	1.341181	1.0086588	0.4725844	0.8084549	1.1213907	0.5436273	0.2827324	8.496859	0.641511	1.382893	1.0477413	1.0710541	1.5765171	0.10069619	0.45158896	0.90466607	0.8214532	2.2548108	0.56749535	0.8003892	1.4912391	1.5478663	-0.05714996	0.462331	0.49813297	0.4884045	1.204241	1.4103373	1.0692753	0.20111805	1.0972328	0.7566404	0.548658	0.6452312	2.4302728	0.5205529	NaN	2.741785	0.56686425	0.6243485	NaN	0.3679091	1.4965309	1.8232273	1.6787316	0.14674233	0.98093987	1.2857335	0.3952696	1.5528387	0.45548505	0.56254417	1.0328124	0.73621076	0.99412906	1.0529631	0.93528277	0.96683824	2.5159988	2.196881	1.311393	1.2311344	0.7459121	1.7932622	1.1561464	1.1675401	0.84071964	1.1556436	0.9490834	1.4320716	0.7990319	0.96349514	1.5515649	1.2475516	0.45304957	2.4402742	1.3393191	0.62627	0.93771344	2.1232083	0.37381816	0.6766384	1.0766268	1.0267248	0.4728144	1.3213369	2.1442406	2.836935	1.8066874	1.257864	1.4543432	0.908407	1.143165	1.2796661	1.840182	1.9182831	1.0207828	1.7188107	0.34291553	0.7252142	1.9463843	0.8777436	2.1783001	1.8812174	0.47940773	0.76830256	0.6349434	0.50693613	-0.08598751	0.8116827	0.4203736	0.58912146	1.1867217	0.17611006	0.45189762	0.5532956	1.5836723	0.29113004	0.93367606	1.9389882	0.5339921	1.0115122	0.21809293	0.47823286	1.9682108	0.5288095	3.857908	2.5512056	1.7658575	-1.062965	0.95798105	1.3011293	0.92827237	0.9105043	1.5792706	2.0982084	0.9102232	1.3671124	
NM_032784	4.399104	0.8946765	3.4590964	1.9157546	3.1468968	4.60098	1.78171	4.278489	3.382675	1.4398156	1.0745823	3.2987332	2.6659935	3.4592583	3.1617794	4.5967183	4.2475314	-0.069375105	2.8784516	3.206321	3.85382	4.249247	3.80657	NaN	5.543326	4.787165	4.381341	2.5847654	2.799728	4.933632	4.285578	1.6706811	1.2314372	2.181338	3.702078	5.7463074	4.02828	3.156794	5.1661854	3.6531637	1.9724711	3.7850184	1.5219653	2.5652487	2.644907	4.060253	4.4552827	NaN	4.016028	2.4828122	1.3733748	2.259846	6.5261927	6.15227	NaN	1.5181177	1.022062	3.6253674	NaN	0.95796764	2.8043125	5.0840125	3.2001054	4.380344	3.6786518	1.1124436	2.4741855	1.4683249	0.54860497	3.1263664	NaN	NaN	4.3335977	3.4477098	3.6479127	3.1347551	3.0704718	NaN	1.4468476	4.244312	2.3464062	NaN	2.709837	2.5120924	0.03901126	2.7309303	1.0127838	1.6851405	2.0162706	2.5371687	2.4559512	1.9933946	-0.03958681	2.4035687	4.3752017	3.3066354	5.8355	1.8053397	0.6811914	0.51548386	2.8130975	3.6938074	2.4795566	3.0121264	1.2215729	0.22335121	1.532685	2.7590458	3.3054137	3.0291712	4.8679852	2.56561	1.7915739	-0.7350808	2.120184	4.321138	0.12301701	4.1045675	1.588853	1.9948804	NaN	2.5158486	4.419661	3.940019	2.8538647	0.4964271	2.7708998	2.3731382	NaN	0.966611	1.9668262	3.3357298	0.6941101	1.3657278	1.2608175	2.768705	0.26359943	0.9719772	-1.3494937	1.9140655	1.8114628	2.9178233	2.4489846	3.5178583	0.7081207	1.8438526	2.1424499	2.720493	2.3675966	3.2589865	NaN	7.019788	1.7504548	1.9440614	0.8621831	2.2998047	1.9115725	3.7918172	1.8357083	0.7189662	0.5230134	2.0173957	4.5922422	1.5713478	0.9945713	NaN	2.28358	-0.19191398	2.1170566	2.0551553	NaN	2.1945646	4.3618417	NaN	1.9550246	3.2939863	NaN	0.5741594	2.0634806	
