ANALYSENR	LABORNR	RAUMSCHLUESSEL	LAND	FUNDORT	FUNDPLATZ	ORTNR	LAENGENGRAD	BREITENGRAD	MUSEUM	ZEITSTUFE	KULTUR	C14DATIERUNG	OBJEKTTYP	OBJEKT	VCU	CU	VSN	SN	VPB	PB	VAS	AS	VSB	SB	VAG	AG	VNI	NI	VBI	BI	VAU	AU	VZN	ZN	VCO	CO	VFE	FE	GEWICHT	DOPPELANALYSE
1	00390	62	D	Adlerberg b. Worms	Grab 7	51	8.383	49.633	Worms 20, BE 4b	3			806	Pfriem mit Mittelschwellung		0		0		0		0.42		1.05		0.82		1.8		0		0		0		0		0.05		
2	00387	62	D	Adlerberg b. Worms	Grab 7	51	8.383	49.633	Worms 20, BE 4a	3			610	Rollennadel mit säbelförmigen Schaft		0	1	0		0.07		2.6		0.05		0.42		0.14		0.011		0		0		0		0		*   2
3	00388	62	D	Adlerberg b. Worms	Einzf.	51	8.383	49.633	Worms BE 13	3			212	Dolch mit 2 Nieten		0	1	0		0		0.92		1.6		0.92		2		0.005		0		0	1	0		0		*   4
4	00389	62	D	Adlerberg b. Worms	Grab 21	51	8.383	49.633	Worms 20, BE 10a	3			212	Dolch mit 2 Nieten		0	1	0		0.05		0.56		1.85		1		1.17		0.001		0		0		0		0.04		
5	00391	62	D	Albsheim Kr.Frankenthal-Pfalz	F.O.?	97	8.200	49.600	Worms 20	4			212	Dolch mit 2 Nieten und Seitenrillen		0		5.5		0		1.15		0.94		0.95		0.03		0.01	0	0		0	1	0		0.03		
6	00392	62	D	Albsheim Kr.Frankenthal-Pfalz	F.O.?	97	8.200	49.600	Worms 20	4			212	Dolch mit 2 Nieten und Seitenrillen		0		5.3		0		0.18		0.68		0.62		0.04		0.001		0		0		0		0		
7	00355	66	D	Altheim, Kr. Landshut	Siedl.	165	12.217	48.567	München, Stslg. 1919:599-604	3			806	Pfriem		0	9	12		0.7		0.36		0.2		0.07		0.81	1	0	0	0	1	0	1	0		0.15		
8	00411	66	D	Altheim, Kr. Landshut	Siedl.	165	12.217	48.567	München, Stslg. 1919:599-604	22	ALT		104	Flachbeil		0		0		0.01		0.17		0.01		0.02		0.01		0.001		0		0		0		0		*   6
9	00356	66	D	Altheim, Kr. Landshut	Siedl.	165	12.217	48.567	München, Stslg. 1919:599-604	22	ALT		504	Blechstück		0		0		0.06		1.15		0.02		0.05		0.05	9	0.002	0	0		0		0		0		
10	00357	66	D	Altheim, Kr. Landshut	Siedl.	165	12.217	48.567	München, Stslg. 1919:599-604	22	ALT		711	Gußstück		0		0		0.08		1.95		0.05		0.1		0.07	9	0.009	0	0	1	0		0		0		
11	00367	66	D	Hofschallern, Gem. Stammham, Kr. Altötting	F.O.?	171	12.900	48.250	München, Stslg. 3352	4			702	Ösenringbarren, Halsringkragen aus 6 Ringen		0		11		0		0.11		0.32		0.24		0.69		0.01		0		0		0		0.05		
12	00257	66	D	Aschering, Kr. Starnberg	Depot	259	11.250	47.967	München, Stslg. 1921:8	3			702	Ösenringbarren		0		0	1	0	9	4	9	2		0.7	6	0.01	7	0.1	0	0		0		0	1	0		
13	00258	66	D	Aschering, Kr. Starnberg	Depot	259	11.250	47.967	München, Stslg. 1921:8	3			702	Ösenringbarren		0		0.1		0		0.03		0.02	6	0.04		0.1	9	0.001	0	0		0		0	1	0		
14	00259	66	D	Aschering, Kr. Starnberg	Depot	259	11.250	47.967	München, Stslg. 1921:8	3			702	Ösenringbarren		0		0	1	0	9	3.5	9	2		0.7		0.001		0.1	0	0		0		0		0.01		
15	00260	66	D	Aschering, Kr. Starnberg	Depot	259	11.250	47.967	München, Stslg. 1921:8	3			702	Ösenringbarren		0		0		0	9	3.5	9	2		0.8		0.001	7	0.1	0	0		0		0	1	0		
16	00261	66	D	Aschering, Kr. Starnberg	Depot	259	11.250	47.967	München, Stslg. 1921:8	3			702	Ösenringbarren		0		0	1	0	9	3.5	9	2		0.8		0.001	7	0.1	0	0		0		0		0.02		*   8
17	00262	66	D	Aschering, Kr. Starnberg	Depot	259	11.250	47.967	München, Stslg. 1921:8	3			702	Ösenringbarren		0		0	1	0	9	3.5	9	2		0.5	6	0.01		0.03	0	0		0		0	1	0		
18	00263	66	D	Aschering, Kr. Starnberg	Depot	259	11.250	47.967	München, Stslg. 1921:8	3			702	Ösenringbarren		0		0		0	9	3.5	9	2		0.7	6	0.01	7	0.1	0	0		0		0	1	0		
19	00264	66	D	Aschering, Kr. Starnberg	Depot	259	11.250	47.967	München, Stslg. 1921:8	3			702	Ösenringbarren		0	1	0	1	0		0.52		0.35		0.1		0.45		0.002	0	0		0	3	0		0.06		
20	00265	66	D	Aschering, Kr. Starnberg	Depot	259	11.250	47.967	München, Stslg. 1921:8	3			702	Ösenringbarren		0		0	1	0	9	3.5	9	2		0.7	6	0.01	7	0.1	0	0		0		0	1	0		
21	00266	66	D	Aschering, Kr. Starnberg	Depot	259	11.250	47.967	München, Stslg. 1921:8	3			702	Ösenringbarren		0		0	1	0		3	9	2		0.7	6	0.01	7	0.1	0	0		0		0	1	0		
22	00198	65	D	Aufhausen, Kr. Regensburg	Grab	287	12.367	48.883	Regensburg A 701	4			402	Ring, hohl gegossen mit Zinken		0		10		0.04		1.75		2.2		0.52		0.06	9	0.1		0		0		0	6	0.01		
23	00199	65	D	Aufhausen, Kr. Regensburg	Grab	287	12.367	48.883	Regensburg A 701	4			402	Ring, hohl gegossen mit Zinken		0		10.5		0.1		2		2.4		0.53		0.05	9	0.1		0		0		0		0		
24	00370	66	D	Augsburg	Einzf.	289	10.900	48.350	Augsburg 722	3			210	Stabdolch, Klinge		0	9	12		0		0.1		0.11		0.5		0.001		0.007		0		0		0		0		*  10
25	00376	62	D	Baden-Württemberg	Ohne näheren Angaben "Vielleicht badisch"	337	9.000	48.500	Karlsruhe C 7077	3			702	Ösenringbarren		0		0		0		2.8		1.42		0.95		0.13		0.07		0		0		0		0		
26	00377	62	D	Baden-Württemberg	Ohne näheren Angaben "Vielleicht badisch"	337	9.000	48.500	Karlsruhe C 7077	3			702	Ösenringbarren		0		0		0		2.3		1.2		0.85		0.12		0.06		0		0		0		0.12		
27	00104	66	D	Barbing, Kr. Regensburg	Grab 3	435	12.200	49.000	Regensburg 366	25	GBK		215	Griffzungendolch		0		0.22		2.5		0.08		0.25		0.4		0.7		0.06		0	9	0.2		0		0.06		*  12
28	00077	62	D	Beizkofen, Kr. Saulgau	Grab	494	9.333	48.050	Stuttgart, WLM A 721	3			603	Rollennadel, ellipt. Kopfpl. u. ger. Schaft		0		0.03		0.05		0.38		1.1		0.43		0.95		0.005	2	0		0	4	0	6	0.01		
29	00083	62	D	Beizkofen, Kr. Saulgau	Grab	494	9.333	48.050	Stuttgart, WLM A 721	3			409	Spirale, nieder		0		0		0		0.87		0.95		0.43		0.001		0.09		0		0		0	1	0		
30	00084	62	D	Beizkofen, Kr. Saulgau	Grab	494	9.333	48.050	Stuttgart, WLM A 721	3			409	Spirale, hoch		0		0		0.03		0.79		0.8		0.4		0.06		0.005		0		0		0	6	0.01		
31	00380	62	D	Berghausen Kr. Karlsruhe	Vermutlich Grab	534	8.533	49.000	Karlsruhe	3			604	Scheibennadel, verziert		0		0.02		0.02		0.08		0.64		0.75		0.39		0.001		0		0		0		0.04		
32	00381	62	D	Berghausen Kr. Karlsruhe	Vermutlich Grab	534	8.533	49.000	Karlsruhe	3			604	Scheibennadel, groß, verziert		0	1	0		0.11		1.25		1.46		0.85		2.6		0.001		0		0	3	0		0.04		
33	00014	62	D	Berkach, Gem. Ehingen, Alb-Donau-Kreis	Dep.?	1498	9.750	48.300	Stuttgart, WLM 985	3			702	Ösenringbarren		0		0		0		1.2		1.7		0.4		0.001		0.1	0	0		0		0	1	0		*  15
34	00075	62	D	Berkach, Gem. Ehingen, Alb-Donau-Kreis	Dep.?	1498	9.750	48.300	Stuttgart, WLM 985	3			702	Ösenringbarren		0		0	1	0		1.7		1.2		0.46	6	0.01		0.07		0		0		0	6	0.01		
35	00076	62	D	Berkach, Gem. Ehingen, Alb-Donau-Kreis	Dep.?	1498	9.750	48.300	Stuttgart, WLM 985	3			702	Ösenringbarren		0	1	0		0.01		1.65		1.4		0.44	1	0.001		0.06		0	1	0		0	6	0.01		*  18
36	00393	62	D	Bermersheim	Einzf.	540	8.200	49.867	Worms 27	4			212	Dolch m. 4 Nieten u. eingezogenen Seiten		0		3.8		0.7		0.62		1.45		1.1		0.18	9	0.1	0	0		0		0		0.15		
37	00013	62	D	Bodensee F.O.?	Vermutlich Siedl.	621	9.167	47.650	Stuttgart, WLM A 31/128	4			616	Kugelkopfnadel		0	9	8		0.01		0.06		0.07		0.05		0.18	1	0	0	0		0		0		0.03		
38	00028	62	D	Bodensee F.O.?	Vermutlich Siedl.	621	9.167	47.650	Stuttgart, WLM A 31/126	4			610	Rollennadel m. tordiertem Schaft		0		6.7		0.06		0.45		0.12		0.04		0.07		0.007		0		0		0		0.2		
