ANALYSENR	LAND	FUNDORT	FUNDPLATZ	MUSEUM	KULTUR	OBJEKT
1	D	Adlerberg b. Worms	Grab 7	Worms 20, BE 4b		Pfriem mit Mittelschwellung
2	D	Adlerberg b. Worms	Grab 7	Worms 20, BE 4a		Rollennadel mit säbelförmigen Schaft
3	D	Adlerberg b. Worms	Einzf.	Worms BE 13		Dolch mit 2 Nieten
4	D	Adlerberg b. Worms	Grab 21	Worms 20, BE 10a		Dolch mit 2 Nieten
5	D	Albsheim Kr.Frankenthal-Pfalz	F.O.?	Worms 20		Dolch mit 2 Nieten und Seitenrillen
6	D	Albsheim Kr.Frankenthal-Pfalz	F.O.?	Worms 20		Dolch mit 2 Nieten und Seitenrillen
7	D	Altheim, Kr. Landshut	Siedl.	München, Stslg. 1919:599-604		Pfriem
8	D	Altheim, Kr. Landshut	Siedl.	München, Stslg. 1919:599-604	ALT	Flachbeil
9	D	Altheim, Kr. Landshut	Siedl.	München, Stslg. 1919:599-604	ALT	Blechstück
10	D	Altheim, Kr. Landshut	Siedl.	München, Stslg. 1919:599-604	ALT	Gußstück
11	D	Hofschallern, Gem. Stammham, Kr. Altötting	F.O.?	München, Stslg. 3352		Ösenringbarren, Halsringkragen aus 6 Ringen
12	D	Aschering, Kr. Starnberg	Depot	München, Stslg. 1921:8		Ösenringbarren
13	D	Aschering, Kr. Starnberg	Depot	München, Stslg. 1921:8		Ösenringbarren
14	D	Aschering, Kr. Starnberg	Depot	München, Stslg. 1921:8		Ösenringbarren
15	D	Aschering, Kr. Starnberg	Depot	München, Stslg. 1921:8		Ösenringbarren
16	D	Aschering, Kr. Starnberg	Depot	München, Stslg. 1921:8		Ösenringbarren
17	D	Aschering, Kr. Starnberg	Depot	München, Stslg. 1921:8		Ösenringbarren
18	D	Aschering, Kr. Starnberg	Depot	München, Stslg. 1921:8		Ösenringbarren
19	D	Aschering, Kr. Starnberg	Depot	München, Stslg. 1921:8		Ösenringbarren
20	D	Aschering, Kr. Starnberg	Depot	München, Stslg. 1921:8		Ösenringbarren
21	D	Aschering, Kr. Starnberg	Depot	München, Stslg. 1921:8		Ösenringbarren
22	D	Aufhausen, Kr. Regensburg	Grab	Regensburg A 701		Ring, hohl gegossen mit Zinken
23	D	Aufhausen, Kr. Regensburg	Grab	Regensburg A 701		Ring, hohl gegossen mit Zinken
24	D	Augsburg	Einzf.	Augsburg 722		Stabdolch, Klinge
25	D	Baden-Württemberg	Ohne näheren Angaben "Vielleicht badisch"	Karlsruhe C 7077		Ösenringbarren
