Genbank	Microarray_expression_storage_index
NM_015871	770
NM_203506	2770
BC017654	3770
NM_002525	5770
NM_006305	6770
NM_145165	9770
NM_000985	10770
NM_016026	11770
NM_178014	13770
NM_174889	15770
BC061903	18770
NM_152362	19770
NM_005998	20770
BC036527	22770
NM_031266	23770
NM_032705	24770
NM_032339	25770
NM_030805	26770
AX888011_CDS_1	27770
NM_012271	28770
NM_001866	30770
NM_033657	33770
NM_000303	34770
BC071617	37770
NM_005174	38770
NM_006519	39770
NM_005013	40770
NM_000366	41770
NM_031263	42770
NM_006022	43770
NM_002966	44770
NM_003542	45770
NM_053023	48770
NM_002488	49770
NM_080414	50770
NM_005077	51770
NM_016044	54770
NM_003124	55770
NM_000972	56770
AK091626	57770
NM_001697	61770
NM_182810	62770
NM_032350	63770
NM_001344	64770
NM_024510	66770
NM_000971	67770
NM_014805	68770
NM_194281	70770
AL3548680_CDS_1	71770
NM_007153	75770
NM_012432	76770
NM_017829	77770
NM_006256	78770
NM_017900	79770
NM_000998	80770
NM_014175	81770
NM_005080	82770
NM_013974	83770
NM_002567	85770
NM_018142	87770
NM_017454	88770
NM_002791	89770
NM_005675	92770
NM_005836	93770
NM_005667	94770
NM_148887	95770
NM_006751	96770
NM_005611	99770
NM_024535	100770
NM_018704	102770
NM_015046	104770
NM_018457	106770
NM_000038	107770
AL137843_CDS_1	108770
NM_016648	109770
NM_000970	110770
NM_001695	111770
NM_001769	112770
NM_007285	113770
NM_003144	114770
BC070381	115770
NM_030940	117770
NM_007241	118770
NM_004182	119770
NM_018269	121770
NM_016283	122770
AX399071_CDS_1	123770
NM_032870	124770
BC036861	125770
NM_000987	126770
NM_002970	127770
NM_013326	128770
NM_006287	130770
NM_004966	131770
NM_002882	132770
NM_001261	133770
NM_014014	136770
NM_000859	137770
NM_004045	138770
NM_005952	139770
NM_006601	140770
NM_000992	141770
NM_003510	142770
NM_032731	144770
X04802_CDS_1	147770
NM_145203	149770
NM_001021	150770
NM_004039	151770
NM_000687	152770
M22878_CDS_1	153770
NM_001673	154770
BC002440	155770
S60260	157770
NM_016589	158770
NM_006013	159770
NM_018083	160770
NM_207350	161770
NM_144963	163770
NM_030938	164770
NM_004373	167770
NM_018510	168770
NM_004589	169770
NM_004582	170770
NM_001011	171770
NM_005946	172770
NM_019095	173770
NM_014372	175770
NM_173562	176770
NM_015380	179770
NM_014574	180770
NM_020444	181770
NM_052951	182770
NM_003100	184770
NM_018971	185770
NM_001001411	186770
NM_020411	189770
NM_014251	190770
NM_003910	191770
NM_032853	194770
NM_014168	195770
NM_003690	197770
NM_015374	198770
NM_003925	199770
NM_006930	200770
NM_000016	201770
NM_002803	202770
NM_018975	203770
NM_031307	204770
NM_001642	206770
NM_138452	207770
NM_203364	208770
BC026126	209770
NM_181503	211770
M21304	214770
NM_000305	216770
NM_017750	217770
NM_005517	218770
NM_014739	220770
NM_001274	221770
NM_198402	222770
NM_033082	223770
NM_183001	224770
Z80783_CDS_1	226770
NM_015578	227770
NM_194279	228770
NM_203346	230770
NM_173607	232770
NM_003170	233770
NM_006545	234770
NM_020865	235770
NM_006756	237770
NM_022551	240770
NM_152516	241770
NM_182800	242770
NM_021029	243770
NM_031314	244770
NM_015004	245770
NM_002937	246770
NM_194442	248770
NM_020236	249770
NM_007262	250770
NM_025019	251770
NM_178014	253770
NM_006070	254770
AK056777	255770
BC036861	256770
NM_001831	257770
NM_032409	259770
NM_175609	260770
NM_006370	261770
NM_148910	262770
NM_000646	263770
D87455	264770
NM_152834	265770
NM_003878	266770
NM_014763	267770
NM_000699	268770
NM_001016	269770
NM_006427	270770
NM_005119	272770
NM_016027	276770
NM_015723	277770
NM_015599	278770
NM_000784	279770
NM_032272	280770
NM_000972	281770
NM_138609	283770
NM_000176	284770
NM_017451	286770
NM_004872	288770
NM_006769	289770
NM_033087	290770
NM_005918	291770
NM_002904	293770
NM_000993	294770
NM_016553	295770
NM_014752	296770
AJ004914	297770
NM_174889	298770
NM_005956	299770
NM_006833	300770
NM_001788	301770
NM_012423	302770
NM_006009	303770
AK023598	306770
NM_024551	308770
NM_007311	309770
NM_178865	310770
NM_006230	311770
NM_003204	312770
NM_001001683	315770
NM_033481	316770
NM_153363	318770
NM_001568	319770
NM_002805	320770
NM_004424	321770
NM_007178	323770
NM_015960	324770
NM_014888	325770
NM_001122	326770
NM_015484	328770
BC042161	331770
NM_002568	332770
NM_178812	335770
NM_002414	336770
NM_024112	337770
NM_153039	338770
NM_014671	339770
NM_019107	340770
NM_206907	341770
NM_020232	342770
NM_020466	345770
NM_016022	346770
NM_004415	347770
NM_004050	348770
NM_005348	351770
NM_133342	352770
NM_001011	353770
NM_052852	355770
NM_000985	357770
NM_145648	358770
NM_183352	359770
AL136738	360770
AL035304	361770
NM_018428	362770
NM_002802	363770
NM_005774	364770
NM_003134	365770
NM_001402	366770
NM_005051	369770
NM_016504	370770
NM_004152	371770
NM_015446	372770
NM_000990	375770
NM_003945	376770
NM_032847	377770
NM_003992	378770
NM_181805	381770
BC070367	382770
NM_018947	383770
NM_020765	385770
NM_006164	386770
NM_005015	387770
NM_032236	388770
NM_003093	389770
BC039555	391770
BC035985	392770
NM_001003	393770
NM_006708	394770
NM_013442	395770
NM_005783	396770
NM_014892	397770
NM_001960	399770
NM_003418	400770
NM_031210	401770
NM_032954	403770
NM_003289	405770
NM_004652	406770
NM_016209	407770
NM_016940	409770
NM_014267	410770
