ID	domain	value_text	value_index	value_real	no_idea
2	t	X	0	0.0 0
3	t	1	1	1.5 1
4	t	1A	1	1.5	1
5	t	1B	1	1.5	1
6	t	1C	1	1.8	1
7	t	2	2	2.5	1
8	t	2A	2	2.2	1
9	t	2B	2	2.8	1
10	t	3	3	3.5	1
11	t	3A	3	3.2	1
12	t	3B	3	3.8	1
13	t	4	4	4.5	1
14	t	4A	4	4.3	1
15	t	4B	4	4.4	1
16	t	4C	4	4.6	1
17	t	4D	4	4.8	1
18	n	N	0	0.0	2
19	n	X	1	0.0	2
20	n	1	2	1.0	2
21	n	2	3	2.0	2
22	n	3	4	3.0	2
23	n	4	5	4.0	2
24	m	N	0	0.0	3
25	m	X	1	0.0	3
26	m	1	2	1.0	3
27	m	2	3	2.0	3
28	m	3	4	3.0	3
29	m	4	5	4.0	3
36	g	N	0	0.0	5
37	g	X	1	0.0	5
38	g	1	2	1.0	5
39	g	2	3	2.0	5
40	g	3	4	3.0	5
41	g	4	5	4.0	5
54	age	0	0	0.0	8
55	age	1	1	1.0	8
56	age	2	2	2.0	8
57	age	3	3	3.0	8
58	age	4	4	4.0	8
59	age	5	5	5.0	8
60	age	6	6	6.0	8
61	age	7	7	7.0	8
62	age	8	8	8.0	8
63	age	9	9	9.0	8
64	age	10	10	10.0	8
65	age	11	11	11.0	8
66	age	12	12	12.0	8
67	age	13	13	13.0	8
68	age	14	14	14.0	8
69	age	15	15	15.0	8
70	age	16	16	16.0	8
71	age	17	17	17.0	8
72	age	18	18	18.0	8
73	age	19	19	19.0	8
74	age	20	20	20.0	8
75	age	21	21	21.0	8
76	age	22	22	22.0	8
77	age	23	23	23.0	8
78	age	24	24	24.0	8
79	age	25	25	25.0	8
80	age	26	26	26.0	8
81	age	27	27	27.0	8
82	age	28	28	28.0	8
83	age	29	29	29.0	8
84	age	30	30	30.0	8
85	age	31	31	31.0	8
86	age	32	32	32.0	8
87	age	33	33	33.0	8
88	age	34	34	34.0	8
89	age	35	35	35.0	8
90	age	36	36	36.0	8
91	age	37	37	37.0	8
92	age	38	38	38.0	8
93	age	39	39	39.0	8
94	age	40	40	40.0	8
95	age	41	41	41.0	8
96	age	42	42	42.0	8
97	age	43	43	43.0	8
98	age	44	44	44.0	8
99	age	45	45	45.0	8
100	age	46	46	46.0	8
101	age	47	47	47.0	8
102	age	48	48	48.0	8
103	age	49	49	49.0	8
104	age	50	50	50.0	8
105	age	51	51	51.0	8
106	age	52	52	52.0	8
107	age	53	53	53.0	8
108	age	54	54	54.0	8
109	age	55	55	55.0	8
110	age	56	56	56.0	8
111	age	57	57	57.0	8
112	age	58	58	58.0	8
113	age	59	59	59.0	8
114	age	60	60	60.0	8
115	age	61	61	61.0	8
116	age	62	62	62.0	8
117	age	63	63	63.0	8
118	age	64	64	64.0	8
119	age	65	65	65.0	8
120	age	66	66	66.0	8
121	age	67	67	67.0	8
122	age	68	68	68.0	8
123	age	69	69	69.0	8
124	age	70	70	70.0	8
125	age	71	71	71.0	8
126	age	72	72	72.0	8
127	age	73	73	73.0	8
128	age	74	74	74.0	8
129	age	75	75	75.0	8
130	age	76	76	76.0	8
131	age	77	77	77.0	8
132	age	78	78	78.0	8
133	age	79	79	79.0	8
134	age	80	80	80.0	8
135	age	81	81	81.0	8
136	age	82	82	82.0	8
137	age	83	83	83.0	8
138	age	84	84	84.0	8
139	age	85	85	85.0	8
140	age	86	86	86.0	8
141	age	87	87	87.0	8
142	age	88	88	88.0	8
143	age	89	89	89.0	8
144	age	90	90	90.0	8
145	age	91	91	91.0	8
146	age	92	92	92.0	8
147	age	93	93	93.0	8
148	age	94	94	94.0	8
149	age	95	95	95.0	8
150	age	96	96	96.0	8
151	age	97	97	97.0	8
152	age	98	98	98.0	8
153	age	99	99	99.0	8
154	age	100	100	100.0	8
155	age	101	101	101.0	8
156	age	102	102	102.0	8
157	age	103	103	103.0	8
158	age	104	104	104.0	8
159	age	105	105	105.0	8
160	age	106	106	106.0	8
161	age	107	107	107.0	8
162	age	108	108	108.0	8
163	age	109	109	109.0	8
164	age	110	110	110.0	8
165	age	111	111	111.0	8
166	age	112	112	112.0	8
167	age	113	113	113.0	8
168	age	114	114	114.0	8
169	age	115	115	115.0	8
170	age	116	116	116.0	8
171	age	117	117	117.0	8
172	age	118	118	118.0	8
173	age	119	119	119.0	8
174	age	120	120	120.0	8
206	sex	f	0	0.0	10
207	sex	m	1	1.0	10
241	sex	X	2	2.0	10
208	diseaseFreeSurvival	0	0	0.0	11
209	diseaseFreeSurvival	1	1	1.0	11
210	diseaseFreeSurvival	2	2	2.0	11
211	diseaseFreeSurvival	3	3	3.0	11
212	diseaseFreeSurvival	4	4	4.0	11
213	diseaseFreeSurvival	5	5	5.0	11
214	diseaseFreeSurvival	6	6	6.0	11
215	diseaseFreeSurvival	7	7	7.0	11
216	diseaseFreeSurvival	8	8	8.0	11
217	diseaseFreeSurvival	9	9	9.0	11
218	diseaseFreeSurvival	10	10	10.0	11
219	diseaseFreeSurvival	11	11	11.0	11
220	diseaseFreeSurvival	12	12	12.0	11
221	diseaseFreeSurvival	13	13	13.0	11
222	diseaseFreeSurvival	14	14	14.0	11
223	diseaseFreeSurvival	15	15	15.0	11
224	diseaseFreeSurvival	16	16	16.0	11
225	diseaseFreeSurvival	17	17	17.0	11
226	diseaseFreeSurvival	18	18	18.0	11
227	diseaseFreeSurvival	19	19	19.0	11
228	diseaseFreeSurvival	20	20	20.0	11
229	diseaseFreeSurvival	21	21	21.0	11
230	diseaseFreeSurvival	22	22	22.0	11
231	diseaseFreeSurvival	23	23	23.0	11
232	diseaseFreeSurvival	24	24	24.0	11
233	diseaseFreeSurvival	25	25	25.0	11
234	diseaseFreeSurvival	26	26	26.0	11
235	diseaseFreeSurvival	27	27	27.0	11
236	diseaseFreeSurvival	28	28	28.0	11
237	diseaseFreeSurvival	29	29	29.0	11
238	diseaseFreeSurvival	30	30	30.0	11
239	death	F	0	0.0	12
240	death	T	1	1.0	12
