map4k2;NM_009006
cd36;NM_001159555
cd36;NM_001159556
cd36;NM_001159557
cd36;NM_001159558
cd36;NM_007643
fkbp12;NM_008019
trex1;NM_001012236
trex1;NM_011637
mta1;NM_054081
hand2;NM_010402
msp;NM_008243
ptger2;NM_008964
atr;NM_019864
hmg2;NM_008252
cth;NM_145953
timp2;NM_011594
xap2;NM_016666
parp;NM_007415
rab9;NM_019773
cmyc;NM_010849
scfr;NM_001122733
scfr;NM_021099
rhoa;NM_016802
sae2;NM_016682
rps6kb1;NM_001114334
rps6kb1;NM_028259
abc1;NM_013454
smo;NM_176996
gls;NM_001081081
gls;NM_001113383
dkk2;NM_020265
f9;NM_007979
rps6ka4;NM_019924
cd134;NM_011659
pros;NM_011173
smpd1;NM_011421
src1;NM_010881
pericentrin;NM_008787
esr1;NM_007956
caveolin-1;NM_007616
epor;NM_010149
sp3;NM_001018042
sp3;NM_001098425
rab1;NM_008996
cd79a;NM_007655
pdzk1;NM_001146001
pdzk1;NM_021517
tep1;NM_009351
abcc2;NM_013806
tp73;NM_001126330
tp73;NM_001126331
tp73;NM_011642
il16;NM_010551
api3;NM_009688
btg1;NM_007569
gr;NM_008173
gmcsf;NM_009969
smurf;NM_001038627
smurf;NM_029438
avp;NM_009732
mkp1;NM_013642
lbp;NM_008489
agt;NM_007428
pdha;NM_008810
mapk14;NM_001168508
mapk14;NM_001168513
mapk14;NM_001168514
mapk14;NM_011951
timp3;NM_011595
eps15;NM_001159964
eps15;NM_007943
map3k6;NM_016693
ranbp1;NM_011239
ranbp1;NM_033324
skp2;NM_013787
skp2;NM_145468
il6;NM_031168
dusp8;NM_008748
abcg1;NM_009593
dvl1;NM_010091
fcer1a;NM_010184
caspase1;NM_009807
tfpi;NM_011576
cyp8b1;NM_010012
mitf;NM_001113198
mitf;NM_008601
il12p40;NM_008352
smarcd1;NM_031842
e2f1;NM_007891
map3k12;NM_001163643
map3k12;NM_009582
traf5;NM_011633
adar;NM_001038587
adar;NM_001146296
adar;NM_019655
b-raf;NM_139294
g22p1;NM_010247
il10r2c;NM_008348
lat;NM_010689
abcb1a;NM_011076
pxr;NM_001098404
pxr;NM_010936
map3k11;NM_022012
madh7;NM_001042660
hdac6;NM_001130416
hdac6;NM_010413
gro;NM_011599
pabpn1;NM_019402
ems1;NM_007803
mdcr;NM_013625
lfng;NM_008494
mef2d;NM_133665
daxx;NM_007829
cyp2e1;NM_021282
gbf1;NM_178930
pld2;NM_008876
chop;NM_007837
edg1;NM_007901
ptgfr;NM_008966
eif4b;NM_145625
chk2;NM_016681
btrc;NM_001037758
btrc;NM_009771
lmnb1;NM_010721
p53;NM_001127233
p53;NM_011640
gli3;NM_008130
anp32a;NM_009672
cd21;NM_007758
galk;NM_016905
il3ra;NM_008369
flt3;NM_010229
insr;NM_001033381
insr;NM_010568
pak1;NM_011035
vpac2r;NM_009511
btk;NM_013482
eif6;NM_010579
nmi;NM_001141948
nmi;NM_001141949
nmi;NM_019401
skp1;NM_011543
p35;NM_009871
cyp3a;NM_007818
fancd2;NM_001033244
fadd;NM_010175
ppard;NM_011145
pp1;NM_031868
lta;NM_010735
rap1a;NM_145541
eif1a;NM_010120
canx;NM_001110499
canx;NM_001110500
canx;NM_007597
atf;NM_007497
cd8;NM_001081110
cd8;NM_009857
il9;NM_008373
masp;NM_008555
madh5;NM_001164041
madh5;NM_001164042
madh5;NM_008541
rhogefs;NM_001130150
rhogefs;NM_001130151
rhogefs;NM_001130152
rhogefs;NM_001130153
rhogefs;NM_008488
cpt1;NM_013495
fkhrl1;NM_019740
ptgir;NM_008967
fyn;NM_001122892
fyn;NM_001122893
fyn;NM_008054
pkar;NM_021880
jak3;NM_010589
pak65;NM_177326
tlr4;NM_021297
dlg4;NM_001109752
dlg4;NM_007864
mapk11;NM_011161
chymase;NM_010780
c4;NM_009780
c4;NM_011413
camkk;NM_018883
pkcd;NM_011103
ibabp;NM_008375
egr2;NM_010118
lamc1;NM_010683
gab1;NM_021356
erbb4;NM_010154
slpi;NM_011414
ikk3;NM_001136067
ikk3;NM_001161421
ikk3;NM_001161422
ikk3;NM_001161423
ikk3;NM_001161424
ikk3;NM_010547
ikk3;NM_178590
achrm1;NM_001112697
achrm1;NM_007698
fanca;NM_016925
nck1;NM_010878
ppara;NM_001113418
ppara;NM_011144
nwasp;NM_001167745
nwasp;NM_028459
ptger4;NM_001136079
