Type a HCC  normalized	Type b NNL  normalized	Type c Cirr  normalized
2.75	1.01	1.84
1.91	1.01	1.89
1.41	1.03	1.54
1.74	1.12	2.13
1.09	0.92	0.86
1.06	1.2	1.87
2.13	1.08	1.71
1.77	1.1	1.92
1.61	1.15	1.96
1.68	1.02	1.51
1.69	0.92	1.31
1.82	1.06	1.84
1.74	0.99	1.53
1	0.88	0.94
1.94	1.21	1.6
2.06	0.97	1.39
1.44	1.02	1.22
2.07	1.19	2.86
1.15	1.03	1.4
2.02	1.17	1.8
1.28	1.04	1.77
2.09	1.2	2.36
1.45	1.05	1.08
1.91	1.07	1.19
1.31	0.93	1.45
1.76	1.05	1.54
2.42	1.2	1.29
1.77	1.08	1.7
1.11	1	1.25
1.64	0.97	1.52
1.86	1.08	1.46
2.3	1.11	2.42
0.84	1.05	0.51
2.24	1.07	3.23
1.73	1.1	2.46
2.12	0.99	1.62
1.72	1.02	1.68
1.47	0.99	1.64
2.22	1.38	2.11
1.11	0.94	1.44
1.81	1.04	1.25
1.55	0.88	1.55
2.49	0.93	2.52
1.2	1.01	1.22
1.48	0.95	1.42
2.34	1	2.24
1.09	0.91	1.27
1.53	1.02	1.38
1.83	0.97	2.07
1.53	1	1.51
0.77	0.97	1.61
1.64	0.88	1.62
2.13	0.98	1.3
1.91	1.02	1.84
1.46	1.11	2.55
1.99	0.99	2.2
1.68	1.01	1.71
1.24	0.85	1.54
1.78	1.01	1.81
1.04	1.13	0.99
1.75	1.05	3.16
1.33	0.94	1.17
2.19	1.02	1.54
1.32	1.01	1.87
1.27	1.02	0.69
1.72	0.92	1.18
1.42	0.93	1.09
2.37	0.96	1.37
1.21	0.87	1.1
1.96	0.86	1.34
1.51	1.01	2.09
1.97	0.91	1.63
2.24	1.1	2.78
1.23	0.95	1.35
1.68	1.08	1.49
2.45	1.05	1.98
0.87	1.03	1.15
1.5	0.9	0.9
1.73	1.02	1.86
1.76	1.06	1.74
1.22	0.99	1.06
1.32	0.95	0.95
2.04	1.07	1.42
0.91	0.85	1.36
2.04	0.93	2.49
1.44	0.96	1.1
1.32	1.09	1.42
1	1.18	0.92
1.98	1.08	1.29
0.67	1.07	1.05
1.93	1.06	2.47
1.46	1.04	1.06
1.13	0.99	0.77
1.35	0.89	1.43
1.52	1.09	1.44
1.76	0.96	1.97
1.93	1.1	1.2
1.74	0.9	1.37
0.99	1	0.98
1.25	0.94	1.23
1.42	1.01	1.05
1.33	0.87	1.25
1.9	1.06	1.51
2.04	1.01	1.43
1.43	0.94	1.25
2.19	1.07	2.47
2.11	1.01	1.25
1.75	1.06	2.32
3.02	0.96	1.97
2.47	1.08	1.48
1.21	1.03	1.16
1.9	1.06	1.43
1.59	1.04	1.23
2.11	1.02	1.69
2.23	0.89	2.07
2.69	0.82	1.12
0.82	0.93	0.97
0.93	0.99	0.83
2.11	1.04	1.36
2.28	1.05	1.29
1.3	1.22	1.94
3.8	1.27	1.71
1.11	0.88	1.77
1.06	0.87	1.67
1.59	1	1.49
2.23	1.03	3.62
1.69	1.05	1.35
1.26	1.09	1.73
3.1	1.08	2.37
0.81	0.99	0.74
1.39	1.03	1.23
1.97	1.02	1.29
1.4	1.01	1.2
1.38	0.86	1.21
1.55	0.93	0.92
1.61	1.06	1.1
1.82	1.18	1.57
0.9	0.97	1.04
1.97	1.03	1.33
0.32	0.85	0.83
1.48	1	1.66
2.25	1.01	1.39
1.63	1	1.57
1.06	1.05	1.18
2.23	0.98	2.06
1.45	0.96	2.14
1.98	1.06	2.04
1.74	1.06	1.67
1.47	1	1.17
1.28	1.04	1.39
0.68	0.89	1.32
2.45	1	2.74
1.6	0.97	1.65
1.92	0.89	1.36
1.31	0.97	1.05
1.89	0.92	1.58
1.97	0.97	1.19
1.18	1.02	1.73
1.4	1.04	1.06
1.16	0.96	1.01
1.78	0.97	1.4
1.67	1.06	1.79
1.87	1.03	0.76
1.67	1.05	1.3
2.01	0.98	1.65
1.06	0.82	0.94
1.66	0.92	1.8
1.24	0.87	1.09
1.74	1.05	1.09
1.57	1.15	1.62
1.83	1.03	1.28
2.07	1.04	1.13
1.25	1.13	1.05
1.44	0.95	0.96
1.33	0.89	0.87
1.48	0.92	1.41
1.13	1.03	1.29
1.76	0.93	1.44
2.12	1.14	2.34
0.9	0.97	1.1
1.68	0.95	1.2
1.73	1.08	1.4
1.07	1.07	0.77
0.86	0.86	0.92
1.66	1.01	1.8
1.94	1.06	1.5
1.29	0.93	1.2
1.45	0.97	1.41
2.14	1.02	2.52
1.56	0.99	1.61
1.9	0.95	1.28
1.76	1.07	1.42
2.12	1.05	1.41
1.52	0.95	1.76
1.38	0.99	1.45
0.82	1.08	1.34
1.02	1.05	1.12
1.01	0.93	1.14
1.79	1.13	2.3
0.95	0.92	1.17
1.42	1	1.77
0.9	1.05	1.06
1.52	0.97	1.15
2.7	0.98	2.51
1.49	0.87	1.63
0.85	0.95	0.82
1.65	1.04	1.53
1.18	1.03	1.66
2.04	1.1	1.72
2.06	1.04	2.13
0.37	0.92	0.79
2.33	1.07	1.48
2.67	1.03	2.49
1.35	1.01	1.27
2.56	0.86	2.17
1.31	1.05	1.49
1.55	1.02	1.34
0.83	0.92	1.27
1.41	0.92	1.5
1.72	1.02	1.41
1.78	1.03	1.77
2.14	1.12	1.33
1.52	1.05	1.41
2.11	0.99	2.36
1.24	0.71	1.04
2.2	1.19	2.31
1.39	0.91	1.28
1.51	1.06	1.96
3.54	1.08	2.28
1.61	1.01	1.36
1.91	1.01	1.39
1.03	0.92	1.17
1.87	1.04	1.4
1.66	0.95	1.33
1.79	0.91	1.45
1.15	0.98	1.53
1.35	1.12	1.98
1.27	0.98	1.28
1.48	1.09	1.82
1.59	1.01	1.7
2.18	0.92	1.43
1.36	1.02	0.88
1.21	0.99	1.03
1.95	0.98	1.74
1.59	0.96	1.34
0.83	1.06	0.92
1.27	0.83	1.58
2.81	1.1	1.8
1.73	1.09	1.28
1.4	0.94	1.09
1.43	0.89	1.14
1.67	0.9	1.29
1.79	0.96	1.22
1.09	0.92	0.94
1.46	1.03	0.98
2.24	1.03	1.6
2.82	1.01	1.87
1.49	1.01	1.45
2.63	1.07	1.84
1.46	0.96	1.16
1.58	1.01	0.77
1.2	1.01	1.07
1.43	0.97	1.29
2.13	1.22	2.3
1.79	0.97	2.24
4.2	1.25	4.41
1.24	1.01	1.48
1.19	0.99	1.59
1.28	1.01	1.06
1.46	0.91	1.41
1.26	1.1	1.61
1.23	0.93	1.52
1.15	1.13	1.22
1.06	0.9	0.9
1.79	0.96	1.19
1.47	1.01	1.31
1.51	0.9	1.34
1.87	1.02	1.3
1.11	0.94	1.03
2.37	0.98	2.47
0.8	0.85	1.23
1.37	0.92	1.67
1.14	0.96	1.02
2	1.02	1.28
1.51	0.93	1.16
1.41	1.08	1.32
1.73	0.99	1.13
1.53	0.81	1.29
1.75	1.01	1.47
2.07	0.99	2.52
1.95	1.06	2.26
2.05	1.13	1.67
1.87	0.99	1.23
1.51	0.99	1.39
1.92	1.04	2.62
1.54	0.91	0.67
1.5	1	2.05
1.29	0.97	0.98
1.64	1.03	1.26
1.72	0.97	1.05
1.2	0.86	1.4
1.66	0.9	1.12
2.72	1.03	1.75
1.83	1.02	1.28
1.59	0.94	2.17
1.85	0.86	1.51
1.42	0.97	1.28
2.13	1.07	1.6
1.43	1.07	1.73
0.65	0.9	0.86
1.52	0.93	1.51
1.38	0.96	1.15
1.08	0.94	1.19
2.53	1.09	1.8
1.41	1.01	1.1
1.89	1	2.09
1.43	0.99	1.15
2.99	1.06	1.54
1.5	1.02	1.03
1.96	1.19	1.58
1.75	0.92	2.02
2	1.08	2.12
1.56	0.93	1.8
1.28	0.99	1.55
1.44	0.94	1.5
1.54	0.97	1.44
2	0.94	2.94
2.31	1.02	1.8
2.75	1.09	1.8
2.44	1.01	1.78
1.82	0.98	1.42
1.19	0.89	2.19
2.54	1.1	2.74
1.68	1	1.84
1	1.12	1.77
2.03	1.06	1.26
1.71	0.94	3.76
1.21	0.86	1.37
1.36	0.97	1.16
1.81	1.06	1.45
2.32	0.94	1.49
1.28	1.05	1.35
2.43	0.94	1.65
0.77	1.23	2.48
2.06	1.06	3.18
1.73	1.14	1.55
1.5	0.99	1.11
1.02	0.99	1.43
1.75	1.02	1.5
2.1	1.07	1.88
2.49	1.29	2.89
0.95	0.95	1.56
2.71	1.1	1.2
1.04	1.09	1.2
1.53	1.1	0.99
1.39	1.17	2.75
2.53	0.98	1.63
1.33	0.97	1.19
1.73	0.92	1.72
1.41	0.95	1.04
1.29	1.03	1.37
1.67	1.05	1.63
1.28	0.95	1.66
1.7	1.06	1.41
1.4	1.05	1.23
1.17	1.14	1.52
1.77	0.99	1.34
1.53	1.04	1.04
2.43	0.92	1.55
1.19	0.98	1.43
2.12	1.12	1.7
1.92	1.13	2.24
1.29	0.94	1.24
1.19	0.96	1.95
0.43	0.44	0.2
1.56	1.02	1.48
1.44	0.99	1.19
2.96	1.06	2.51
1.65	1	1.38
1.34	1.13	1.13
1.61	1.05	0.92
1.78	1.18	1.48
1.22	0.9	1.24
1.35	1.04	1.84
1.92	0.98	1.4
1.59	1.16	2.08
0.91	1	1.09
1.64	0.96	1.4
2.24	1.05	1.14
1.17	1.05	0.85
2.29	1.03	1.75
1.9	1.09	1.79
2.18	1.04	1.76
1.7	0.92	1.16
1.59	0.96	0.89
1.09	1.06	2.19
1.56	0.99	1.83
1.33	0.98	1.3
1.52	1.02	1.4
2.12	1.04	1.5
1.66	1	1.63
1.83	0.92	1.75
2.22	1.06	1.65
1	0.98	0.93
2.1	0.95	3.08
1.83	0.99	1.86
2.25	1.04	1.74
1.72	1.03	1.45
2.07	1.12	1.72
1.64	0.92	1.39
2.8	1.13	2.11
2.52	1.15	2.74
1.48	1.02	1.64
1.13	0.93	1.47
1.04	1.11	1.19
1.81	0.93	1.11
1.05	1.07	1.34
1.43	0.94	1.78
1.36	0.9	1.37
1.4	0.92	1.37
2.79	1.14	2.27
1.66	0.91	1.19
2	1.03	1.6
2.11	0.88	1.95
1.36	1.03	1.3
0.7	0.98	0.84
1.34	0.99	1.17
1.68	1.01	1.73
0.98	0.92	0.93
1.13	0.89	0.9
1.39	1.09	1.11
1.9	0.96	0.78
1.25	0.86	1.42
1.75	1	1.79
1.48	0.93	1.8
2	1.06	1.91
1.76	1.03	1.51
1.53	1.04	2.24
1.65	0.88	1.37
1.92	1.1	1.32
0.87	1.05	1.01
1.57	0.97	1.24
1.63	1.1	1
1.34	0.88	1.87
2	1.13	1.5
1.99	1.03	1.34
2.12	0.86	1.91
1.38	0.83	0.9
1.59	0.95	1.79
1.3	0.96	1.01
1.73	1.02	1.32
1.95	1.11	1.76
0.61	0.89	0.6
1.67	0.92	1.22
0.77	0.85	1.68
1.16	0.92	1.11
2.87	1.09	3.09
2.13	0.96	2.03
1.39	1.02	1.16
1	0.98	0.98
1.52	1.04	1.19
1.53	0.94	1.1
1.68	1.05	1.41
0.97	1.04	1.31
1.22	0.84	1.29
1.62	0.96	1.29
1.29	1.05	1.89
1.48	1.01	1.44
1.8	0.95	1.47
1.82	1.05	1.44
1.65	1.03	1.3
1.66	1	1.75
1.42	1.04	1.42
2.18	0.82	2.81
1.6	0.91	0.84
1.91	1.09	1.82
1.38	0.94	1.17
2.41	1.03	1.86
1.02	0.95	1.32
1.59	1.02	2.24
1.83	1.02	1.58
2.22	0.94	1.34
1.88	0.99	1.83
1.94	1.04	2.07
1.22	0.92	0.93
1.58	1	2.19
0.86	1.09	1.46
1.81	1.04	1.2
1.87	0.95	2.02
1.68	0.9	1.42
2.09	1.11	2.12
1.87	1	1.68
1.46	1.06	1.09
1.73	1.09	1.62
1.97	1.02	1.36
1.22	0.96	1.12
1.4	0.97	1.18
0.73	0.9	0.86
1.79	0.98	1.25
0.87	0.94	0.92
1.8	1.03	1.46
2.19	1.12	4.88
1.74	1	1.49
1.35	1.06	1.4
1.98	0.88	1.44
0.93	0.91	0.61
0.69	1.02	0.97
2.6	0.9	2.78
2.54	1.03	1.28
1.76	0.97	1.54
2	1.04	1.95
1.64	1	1.77
1.76	1.04	1.87
2.12	1	1.6
2.27	1.14	1.6
1.63	0.97	0.98
1.74	1.02	1.61
0.77	1.03	1.08
2.33	0.99	2.11
1.99	0.96	1.67
0.91	1.06	1.01
1.88	1.06	1.34
1.64	0.92	1.4
1.01	1.11	1.99
2.82	1.01	2.4
1.56	0.96	1.52
1.39	0.99	1.47
2.15	1.04	2.03
0.51	1.11	0.67
2.05	0.84	2.52
0.85	0.72	0.58
2.03	0.99	2.28
2.09	1.1	1.92
1.96	0.99	1.39
0.92	0.86	1.22
1.9	1.09	1.75
1.15	1.02	1.05
0.81	0.86	0.99
1.79	1.02	1.22
2.01	0.96	2.6
1.78	0.89	1.16
1.27	1.03	1.18
2.37	1	1.25
0.71	0.98	0.87
1.63	0.94	1.39
2.13	1.02	1.84
1.59	1.02	1.32
1.34	0.99	1.56
2.17	1.17	1.14
1.72	0.92	0.83
1.27	1.09	1.58
1.62	1.08	1.87
1.87	0.99	2.02
1.83	1.2	1.42
1.29	0.96	1.08
1.5	1.08	1.48
0.66	0.8	0.34
0.14	0.99	0.54
1.11	0.99	1.77
1.43	0.99	1.31
1.9	1	1.43
1.64	0.96	1.44
1.49	1.1	1.84
1.47	0.98	0.95
1.67	0.79	1.77
1.69	1.02	1.32
1.86	1.04	1.42
1.49	1.01	1.21
1.29	1.06	1.49
1.61	1.04	1.35
1.43	0.94	1.42
1.82	0.84	1.47
2.13	0.98	1.81
1.73	0.96	1.66
1.74	1.01	1.19
1.61	1.08	1.67
2.01	1.1	1.71
1.64	1.01	1.25
1.43	1	1.81
1.36	0.98	1.31
2.88	1.15	3.07
1.07	0.95	0.73
2.33	1.12	2.11
2.16	1.11	1.94
0.88	1.01	1.07
0.83	1.03	1.11
1.97	0.95	2.27
2.17	0.99	2.97
1.91	1.09	1.51
1.3	0.97	1.23
2.65	0.99	1.38
1.61	1.1	1.6
1.15	1.02	1.39
2.28	1.02	3
1.98	0.91	1.62
