Systematic Name	Type a HCC  normalized	Type b NNL  normalized	Type c Cirr  normalized
144335	1.11	0.94	1.03
138778	1.69	1.05	1.27
217758	1.73	0.92	1.72
715397	0.91	1.02	0.81
132539	1.84	0.9	1.61
101893	1.7	0.96	1.25
151779	1.85	1.08	1.69
182667	2.03	1.06	1.26
101844	1.54	0.97	1.44
209395	0.96	1	0.79
221057	1.44	0.94	1.5
156421	2.6	1.01	2.04
236491	1.82	0.97	2.03
581850	1.49	1	1.39
121991	2.31	1.02	1.8
125973	1.78	0.98	1.12
187720	1.95	1.07	1.58
107511	1.27	0.99	1.71
190918	1.44	1.02	1.44
177124	0.76	0.85	0.55
177035	3.68	1.06	1.63
105155	1.91	0.98	1.26
202069	0.91	0.97	0.84
176402	2.01	0.96	1.72
160975	2.01	0.97	0.84
186779	2.13	0.98	1.81
184532	1.3	0.94	1.09
132480	2.6	0.88	1.34
103476	1.46	0.99	1.53
166583	1.73	0.99	1.13
123636	1.14	0.96	1.02
236780	1.73	1.14	1.55
236646	0.7	1	1.16
107402	2.43	0.94	1.65
208328	0.96	0.87	0.87
230167	1.37	0.92	1.67
179087	1.42	1	1.77
236043	2.79	0.99	2.39
167654	1.65	1.04	1.73
100629	1.32	0.9	1.66
205753	1.14	1.03	1.22
225735	2.06	1.06	3.18
116407	1.41	1.08	1.32
117132	2.12	1.05	1.41
213843	1.95	1.06	2.26
199369	1.53	0.81	1.29
134952	1.87	0.99	1.23
228769	0.8	0.85	1.23
194447	1.42	1.03	1.72
115673	1.5	1.02	1.03
105040	1.79	1.09	1.38
701229	1.15	1.13	1.22
193946	1.02	0.99	1.43
203399	1.33	0.97	1.19
115485	0.77	1.23	2.48
120321	1.48	0.95	1.38
181009	1.87	1.02	1.3
388974	1.51	0.9	1.34
133993	1.23	0.93	1.52
235046	1.87	1.01	1.51
116436	1.64	1.04	2.68
118522	1.22	0.99	1.19
183867	1.31	1.05	1.06
149386	2.4	1.11	2.08
184164	1.79	1	1.78
126065	2.17	0.99	1.37
173568	1.92	1.14	1.68
127964	2.28	0.98	1.53
211157	1.79	0.99	1.32
145220	1.88	1	1.14
137363	1.68	0.93	1.35
236397	1.23	1.03	1.24
131228	2.95	1.48	3.93
101018	1.21	1.03	2.02
134996	0.49	0.64	0.2
111497	2.09	0.99	2.1
109390	1.96	1.04	1.26
186988	1.52	1.02	1.43
205619	1.38	1.02	1.22
144058	1.12	0.96	0.91
200578	1.99	1.03	1.34
186748	1.82	1.01	1.4
156527	1.31	1.02	1.26
120568	1.8	0.97	1.63
195648	0.93	1.16	1.37
138550	0.87	0.92	0.62
195718	1.52	0.98	1.83
194318	0.83	1.06	1.51
124318	1.74	1.01	1.19
179683	2.16	1.11	1.94
206078	1.61	1.04	1.35
235285	1.84	0.99	1.55
173614	0.88	1.01	1.07
139126	0.43	1.05	0.82
151377	0.98	0.87	0.81
176382	2.47	1.09	2.04
105427	1.34	0.99	1.56
146009	1.43	1	1.81
236042	1.72	0.92	0.83
130326	1	1.11	1.42
118813	1.6	0.99	1.03
155603	2.88	1.15	3.07
148222	1.36	0.98	1.31
203967	1.84	0.98	1.27
188077	1.29	0.96	1.4
235976	1.85	0.88	1.5
207491	1.69	1.04	1.7
150009	1.5	0.92	1
233478	2	1.04	1.95
204895	1.16	1.04	1.72
135833	1.79	1.02	1.3
118423	3.16	0.95	2.02
184793	1.08	0.91	1.37
194689	1.6	1.02	1.62
194325	2.52	1.08	2.43
166395	1.65	0.87	0.99
236668	2.12	1.01	1.91
135900	1.8	0.96	1.86
117568	1.85	0.86	1.51
174233	1.41	1.01	1.1
143486	1.43	1.07	1.73
