Identifier	Grouping1 
AJ_0d_1	AJ_0d
AJ_0d_2	AJ_0d
AJ_0d_3	AJ_0d
AJ_7d_1	AJ_7d
AJ_7d_2	AJ_7d
AJ_7d_3	AJ_7d
AJ_8w_1	AJ_8w
AJ_8w_2	AJ_8w
AJ_8w_3	AJ_8w
C57_0d_1	C57_0d
C57_0d_2	C57_0d
C57_0d_3	C57_0d
C57_7d_1	C57_7d
C57_7d_2	C57_7d
C57_7d_3	C57_7d
C57_8w_1	C57_8w
C57_8w_2	C57_8w
C57_8w_3	C57_8w
C03_0d_1	C03_0d
C03_0d_2	C03_0d
C03_8w_1	C03_8w
C03_8w_2	C03_8w
C03_8w_3	C03_8w
C06_0d_1	C06_0d
C06_0d_2	C06_0d
C06_8w_1	C06_8w
C06_8w_2	C06_8w
C06_8w_3	C06_8w
C18_0d_1	C18_0d
C18_0d_2	C18_0d
C18_8w_1	C18_8w
C18_8w_2	C18_8w
C18_8w_3	C18_8w
C14_0d_1	C14_0d
C14_0d_2	C14_0d
C14_8w_1	C14_8w
C14_8w_2	C14_8w
C14_8w_3	C14_8w
PWD_0d_1	PWD_0d
PWD_0d_2	PWD_0d
PWD_0d_3	PWD_0d
PWD_8w_1	PWD_8w
PWD_8w_2	PWD_8w

