Identifier 	 AJ_8w_1	 AJ_8w_2	 AJ_8w_3	 C57_8w_1	 C57_8w_2	 C57_8w_3	
ENSMUSG00000021094	647.47656	838.68555	738.96106	599.24445	676.64813	565.8453	
ENSMUSG00000062710	31.47	27.383158	25.807632	69.48631	141.00789	59.905	
ENSMUSG00000034552	40.515923	58.309475	34.621975	99.77842	56.578552	35.448814	
ENSMUSG00000020530	2194.5413	2805.515	1721.6885	1823.4921	2193.3728	1661.0308	
ENSMUSG00000015053	109.98631	155.32	106.97816	88.48237	206.50632	91.29658	
ENSMUSG00000037735	67.60553	59.87342	37.852894	67.72908	41.713158	60.10421	
ENSMUSG00000029233	465.70053	716.8634	521.00397	533.80133	633.2311	554.64685	
ENSMUSG00000023156	828.31525	1416.2063	939.76447	716.66656	1012.9429	699.3021	
ENSMUSG00000061988	356.5584	389.03394	652.5679	147.61789	334.08527	733.11554	
ENSMUSG00000019997	1390.2206	1831.3784	2604.9214	1893.6635	1620.6152	754.1087	
ENSMUSG00000005501	825.30945	475.72736	784.0658	1063.75	996.71924	1043.0276	
ENSMUSG00000050621	17413.771	17529.033	19645.32	20622.254	20575.176	16366.3955	
ENSMUSG00000020142	33.081577	46.340263	37.451973	29.623684	44.765923	27.65079	
ENSMUSG00000057254	39.199474	70.15026	58.595528	36.153156	19.050789	28.801184	
ENSMUSG00000037892	52.12329	61.26737	52.588947	62.074078	44.89342	162.4429	
ENSMUSG00000021460	1359.4847	926.42975	1190.289	958.31287	936.3724	1303.3892	
ENSMUSG00000014599	354.63712	340.37552	353.60657	79.07105	116.6575	357.1492	
ENSMUSG00000017264	1387.0916	1427.5645	1215.5476	1233.4381	1487.2336	1354.1821	
ENSMUSG00000067279	687.58734	1043.0276	583.43054	391.05316	51.773685	407.03394	
ENSMUSG00000038615	88.356316	72.22211	69.16263	127.56395	86.82079	68.93421	
ENSMUSG00000029071	39.47013	62.406315	64.63368	52.77684	56.004868	82.767105	
ENSMUSG00000049028	47.35342	43.873817	37.376053	28.87342	18.827368	26.410131	
ENSMUSG00000051732	55.49342	31.842632	37.133686	37.17763	19.700527	76.62513	
