ID	ID	AJ_7d_1	AJ_7d_2	AJ_7d_3	C06_0d_2	C03_0d_1	AJ_0d_3	AJ_0d_1	AJ_0d_2	C03_0d_2	C57_0d_2	C57_0d_1	C57_0d_3	C06_0d_1	C14_0d_1	C18_0d_2	C14_0d_2	C18_0d_1	C14_8w_1	C06_8w_3	C57_7d_1	C57_7d_2	C57_7d_3	C03_8w_1	C06_8w_1	C03_8w_2	C03_8w_3	AJ_8w_2	AJ_8w_3	AJ_8w_1	C57_8w_1	C57_8w_2	C57_8w_3	C14_8w_2	C14_8w_3	C06_8w_2	C18_8w_3	C18_8w_1	C18_8w_2
ENSMUSG00000034801	e_Sos2_a_2310007J06Rik_781818	6.54	5.96	6.81	6.47	5.64	7.84	7.59	8.11	6.48	8.45	8.52	8.93	6.24	7.48	6.56	5.21	5.74	5.76	5.38	5.61	5.99	5.85	8.33	5.11	6.78	5.56	5.75	5.65	4.95	5.69	5.77	5.65	4.73	5.96	5.15	5.82	5.72	5.26
ENSMUSG00000028475	e_5430416O09Rik_a_5430416O09Rik_383307	5.49	5.57	6.92	5.95	6.34	8.34	7.97	7.84	5.84	8.08	7.67	8.56	5.43	5.83	5.63	4.97	5.78	5.89	5.83	6.21	5.17	5.52	7.7	6.18	7.02	5.84	5.94	6.29	6.64	5.97	5	4.96	5.96	6.02	5.96	5.81	6.88	6.04
ENSMUSG00000056564	e_Olfr324_a_Olfr324_459846	6.45	5.44	5.66	5.68	5.92	7.34	7.53	7.87	7.1	7.27	6.49	8	4.92	5.69	5.16	5.92	4.39	5.22	6.09	5.06	5.7	4.9	5.96	6.17	6.01	6.08	5.29	5.74	5.27	5.3	5.81	5.87	5.48	5.43	5.68	5.7	4.86	5.22
ENSMUSG00000021288	e_Klc1_a_Xrcc3_765900	8.43	7.4	8.03	7.08	9.75	10.14	10.62	9.99	9.83	9.23	10.92	10.77	9.11	9.04	7.47	7.53	7.35	7.77	7.28	7.54	7.35	7.26	9.56	7.62	6.95	7.93	8.51	8.78	8.18	10.02	8.87	7.2	7.32	7.88	6.49	7.38	7.78	6.88
ENSMUSG00000045802	e_B230358A15Rik_a_null_795238	5.67	5.18	5.4	6.47	5.97	7.89	7.2	7.55	7.98	7.94	6.38	7.06	5.09	8.94	5.63	6.35	5.36	5.04	5.42	5.38	4.58	6.04	6.03	6.8	5.9	7.2	5.4	4.6	5.44	6.06	6.34	5.15	5.26	5.94	5.03	6.87	6.31	6.03
ENSMUSG00000058952	e_Cfi_a_Cfi_838498	15.41	15.01	15.05	15.67	15.93	15.81	15.95	15.8	15.87	15.72	15.27	15.59	15.52	15.29	15.14	15.34	15.26	15.29	15.11	15.29	15.02	15.4	15.22	15.26	14.95	15.01	15.19	15.4	15.35	15.02	15.38	15.29	15.45	15.44	15.34	15.01	15.26	15.27
ENSMUSG00000027624	e_Epb4.1l1_a_null_565315	5.91	5.43	5.78	6.91	7.35	7.46	8	7.3	6.04	8.71	6.01	6.63	5.24	5.76	5.41	7.26	5.23	5.16	5.41	5.59	6.34	6.65	4.72	5.64	6.32	6.21	4.62	5.17	4.66	5.31	5.48	5.12	4.66	5.38	5.67	4.53	5.23	5.7
ENSMUSG00000079034	e_AC126554.3_a_Col4a4_656491	6.42	6.7	5.69	5.7	5.98	8.76	8.08	8.26	6.16	8.01	8.86	8.66	6.49	6.37	5.48	5.55	6.94	5.37	5.44	4.98	5.15	5.07	5.4	6.79	6.77	5.57	5.68	4.99	5.75	5.99	8.33	5.8	5.85	7.48	6.6	5.7	6.78	6.97
ENSMUSG00000062712	e_Olfr531_a_Olfr531_345039	5.78	5.81	6.55	5.53	5.25	7.64	7.1	7.54	5.19	6.46	7.67	7.28	5.6	6.09	5.36	5.86	5.34	5.53	5.63	5.77	6.55	5.75	5.81	7.06	5.73	6.67	5.83	6.28	6.04	6.39	6.27	6.6	5.87	6.14	6.25	5.54	5.79	6.3
ENSMUSG00000026734	e_4921504E06Rik_a_4921504E06Rik_703834	4.89	5.12	5.42	6.39	5.89	7.3	7.38	7.4	4.5	7.47	7.23	7.32	5.17	4.44	4.55	5.23	5.45	5.44	5.77	5.17	6.12	5.05	5.8	5.39	5.5	5.86	5.62	5.45	5.76	6.42	4.85	6.11	5.18	4.59	5.36	5.44	5.48	5.4
ENSMUSG00000042514	e_Klhl14_a_null_656922	5.48	5.45	4.81	5.65	5.46	7.7	7.35	7.59	5.79	7.58	6.63	8.01	5.58	5.42	5.11	5.49	5.41	5.23	5.9	5.09	5.25	5.82	5.63	5.46	5.83	5.96	5.36	5.14	4.99	6.52	5.91	5.17	5	5.22	5.06	5.69	5.46	5.64
ENSMUSG00000066392	e_Nrxn3_a_null_355523	5.13	4.69	6.65	5.65	5.86	7.93	7.88	7.24	5.02	7.52	6.12	6.57	5.82	4.83	5.38	5.91	5.85	5.79	5.34	6.62	5.07	4.59	5.05	5.35	6.87	5.98	6.03	5.58	5.42	5.83	5.11	5.46	5.1	6.22	4.9	5.73	6.04	6.57
ENSMUSG00000052305	e_Hbb-b2_a_Hbb.Cnot7_719563	10.83	9.63	9.43	14.22	13.17	13.97	13.9	14.3	13.49	15.06	14.15	14.39	13.82	13.36	13.82	12.88	14.34	13.01	12.86	13.32	13.01	12.9	12.25	12.72	11.83	12.51	12.36	12.69	12.53	14.36	12.73	10.72	14.64	14.61	14.5	13.17	13.54	12.19
ENSMUSG00000037126	e_Psd_a_Psd_346801	5.93	6.41	6.19	8.76	10.18	10.9	10.94	10.7	10.9	10.65	10.74	10.93	11.04	10.66	10.73	10.57	11.01	9.92	9.55	5.86	5.67	5.55	9.8	10.09	9.97	9.45	9.72	9.35	9.63	9.4	9.37	9.04	9.62	9.92	9.48	9.71	9.84	9.5
ENSMUSG00000064080	e_Fbln2_a_Fbln2_368451	7.24	7.72	6.69	8.73	8.47	9.68	9.81	9.56	9.64	8.56	10.89	9.74	8.19	6.55	5.8	8.71	8.88	8.36	7.87	7	7.03	8.78	8.41	9.01	7.79	8.53	8.19	7.84	8.09	9.51	9.53	7.88	8.36	9.43	7.96	8.46	8.65	8.32
ENSMUSG00000061808	e_Ttr_a_Ttr_676224	18.83	18.64	18.64	19.37	18.98	19.51	19.74	19.51	18.98	18.98	18.98	19.13	19.13	19.24	18.98	19.13	19.13	18.56	18.64	18.51	18.56	18.64	18.83	18.35	18.83	18.46	18.98	18.64	18.83	18.51	18.51	18.98	19.37	18.64	18.56	19.37	19.24	19.24
ENSMUSG00000030786	e_Itgam_a_null_316240	5.35	6.13	5.25	7.25	6.09	7.69	7.9	7.29	6.59	5.74	5.69	6.02	5.54	5.62	5.3	6.53	6.03	5.38	4.93	5.38	5.99	5.16	6.09	6.51	5.92	6.61	5.5	5.45	5.61	5.44	5.28	4.56	6.69	6.93	6.3	6.34	5.39	5.73
ENSMUSG00000053333	e_Dis3l2_a_Znrf1_510306	7.36	7.56	7.42	8.1	9.44	8.84	9.1	9.08	6.35	6.06	8.54	8.89	9.61	9.01	6.47	9.14	7.45	8.21	7.73	7.24	7.71	7.52	8.37	8.16	7.55	9.2	8.35	8.21	8.21	7.83	5.22	8.72	7.65	7.56	7.68	7.23	7.66	7.31
ENSMUSG00000042202	e_A530082C11Rik_a_null_411623	6.49	7.27	6.38	6.94	7.41	8.22	8.11	7.78	5.91	6.48	8.08	6.79	8.77	8.47	6.23	6.39	6.44	6.41	5.91	6.69	6.63	6.67	7.66	7.02	6.69	7.09	6.42	6.43	5.83	5.83	6.63	6.32	6.68	5.97	5.68	6.36	6.59	5.88
ENSMUSG00000074909	e_Ranbp6_a_Ranbp6_675228	8.45	7.31	7.96	6	9.19	9.23	8.76	8.83	7.54	9.37	8.68	8.77	7.96	9.01	9.12	8.88	9.04	7.38	7.95	7.96	7.38	7.99	11.05	8.25	7.97	8.21	7.57	7.58	7.96	6.6	5.62	6.75	7.54	8.39	7.99	8.45	7.98	8.08
ENSMUSG00000006494	e_Pdk1_a_Pdk1_726321	9.64	9.61	9.71	10.46	10.45	10.32	9.95	10.06	9.96	10.58	10.66	10.74	11.36	10.76	10.79	10.76	11.21	9.66	9.43	9.38	9.35	9.6	9.85	10.27	9.67	9.45	9.2	8.79	9.11	10.1	9.71	9.13	9.59	9.67	9.36	9	9.38	9.07
ENSMUSG00000022789	e_Dnm1l_a_Ei24_636171	11.85	11.77	11.5	12.34	12.28	12.18	11.97	12	12.53	12.5	12.18	12.33	12.88	12.23	12.61	12.46	12.73	12.19	11.97	12.56	12.12	11.97	11.76	12.01	11.73	11.83	11.51	11.45	11.61	11.91	12.03	11.6	11.88	12	11.75	11.61	11.66	11.8
ENSMUSG00000054716	e_Zfp771_a_G630024C07Rik_320861	9.3	9.53	9.52	9.82	9.95	10.03	9.97	10.17	10.28	10.15	9.54	9.72	10.3	10.09	10.14	10.42	9.74	9.26	9.49	9.78	9.51	9.65	9.36	9.65	9.74	9.42	9.4	9.11	9.37	9.85	9.7	9.48	9.55	9.61	9.2	9.13	9.46	9.16
ENSMUSG00000042500	e_Eif2c4_a_Eif2c4_595236	8.02	10.29	10.02	10.46	11	11.52	11.19	11.15	10.99	11.45	11.62	11.31	11.23	11.07	10.82	11.18	11.34	9.98	9.85	9.92	9.59	9.64	8.7	9.73	10.09	9.88	9.11	9	9.26	8.9	9.3	9.4	9.32	9.84	9.32	9.4	9.71	8.97
ENSMUSG00000034126	e_Pomt2_a_Pomt2_574811	5.83	9.78	9.34	10.11	10.15	10.66	10.37	10.62	10.76	10.9	11.06	10.65	10.37	9.8	10.11	10.38	10.26	8.97	8.84	9.34	8.95	8.82	8.26	8.91	8.61	8.49	7.61	8.26	8.3	8.1	8.39	9.08	8.58	8.89	8.73	8.43	8.55	8.46
