"sampleName","assayName","strain","DDC","strain_DDC","MDB"
"AJ_0d_1","mh591","AJ","0d","AJ_0d","N"
"AJ_0d_2","mh592","AJ","0d","AJ_0d","N"
"AJ_0d_3","mh594","AJ","0d","AJ_0d","N"
"AJ_7d_1","mh240","AJ","7d","AJ_7d","N"
"AJ_7d_2","mh241","AJ","7d","AJ_7d","N"
"AJ_7d_3","mh242","AJ","7d","AJ_7d","N"
"AJ_8w_1","mg616","AJ","8w","AJ_8w","Y"
"AJ_8w_2","mg618","AJ","8w","AJ_8w","Y"
"AJ_8w_3","mg622","AJ","8w","AJ_8w","Y"
"C57_0d_1","mh684","C57","0d","C57_0d","N"
"C57_0d_2","mh685","C57","0d","C57_0d","N"
"C57_0d_3","mh686","C57","0d","C57_0d","N"
"C57_7d_1","mh243","C57","7d","C57_7d","N"
"C57_7d_2","mh244","C57","7d","C57_7d","N"
"C57_7d_3","mh245","C57","7d","C57_7d","N"
"C57_8w_1","mg307","C57","8w","C57_8w","N"
"C57_8w_2","mg308","C57","8w","C57_8w","N"
"C57_8w_3","mg309","C57","8w","C57_8w","N"
"C03_0d_1","M1003","C03","0d","C03_0d","N"
"C03_0d_2","M1005","C03","0d","C03_0d","N"
"C03_8w_1","mg138","C03","8w","C03_8w","Y"
"C03_8w_2","mg139","C03","8w","C03_8w","Y"
"C03_8w_3","mg141","C03","8w","C03_8w","Y"
"C06_0d_1","M1096","C06","0d","C06_0d","N"
"C06_0d_2","M1097","C06","0d","C06_0d","N"
"C06_8w_1","mg150","C06","8w","C06_8w","Y"
"C06_8w_2","mg151","C06","8w","C06_8w","Y"
"C06_8w_3","mg152","C06","8w","C06_8w","Y"
"C14_0d_1","M1380","C14","0d","C14_0d","N"
"C14_0d_2","M1381","C14","0d","C14_0d","N"
"C14_8w_1","mg134","C14","8w","C14_8w","N"
"C14_8w_2","mg136","C14","8w","C14_8w","N"
"C14_8w_3","mg137","C14","8w","C14_8w","N"
"C18_0d_1","M1154","C18","0d","C18_0d","N"
"C18_0d_2","M1155","C18","0d","C18_0d","N"
"C18_8w_1","mg115","C18","8w","C18_8w","Y"
"C18_8w_2","mg116","C18","8w","C18_8w","Y"
"C18_8w_3","mg117","C18","8w","C18_8w","Y"
"PWD_8w_1","mg609","PWD","8w","PWD_8w","N"
"PWD_8w_2","mg610","PWD","8w","PWD_8w","N"
"PWD_0d_1","mh204","PWD","0d","PWD_0d","N"
"PWD_0d_2","mh205","PWD","0d","PWD_0d","N"
"PWD_0d_3","mh206","PWD","0d","PWD_0d","N"
