Acc.No	G+ 01 Lung 6h	G- 01 Lung 6h	G+ 02 Liver 6h	G- 02 Liver 6h	G+ 03 Heart 6h	G- 03 Heart 6h	G+ 04 Pancreas 6h	G- 04 Pancreas 6h	G+ 06 Colon 6h	G- 06 Colon 6h	G+ 07 SmInt 6h	G- 07 SmInt 6h	G+ 10 Kidn cort 6h	G- 10 Kidn cort 6h	G+ 11 Kidn med 6h	G- 11 Kidn med 6h	G+ 12 Brain cereb 6h	G- 12 Brain cereb 6h	G+ 13 Br cere cort 6h	G- 13 Br cere cort 6h	G+ 14 Spleen 6h	G- 14 Spleen 6h
NM_000300	6.69	7.27	7.17	10.47	NaN	15.22	5.59	NaN	3.36	3.55	5.83	3.86	3.56	3.82	5.54	4.59	NaN	5.36	NaN	4.12	5.28	3.32
NM_000301	NaN	NaN	0.36	0.44	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NM_000518	2.11	NaN	4.86	6.92	NaN	2.56	NaN	NaN	2.07	NaN	NaN	NaN	NaN	NaN	NaN	3.12	NaN	NaN	NaN	NaN	NaN	NaN
NM_000584	NaN	NaN	0.49	NaN	NaN	NaN	0.47	NaN	NaN	NaN	NaN	NaN	0.46	NaN	0.45	NaN	NaN	NaN	NaN	NaN	0.43	0.48
NM_000593	NaN	NaN	NaN	NaN	NaN	2.11	NaN	2.04	NaN	NaN	NaN	NaN	2.25	3.97	2.79	4.78	NaN	NaN	NaN	NaN	NaN	NaN
NM_000596	NaN	2.06	0.25	0.29	NaN	NaN	NaN	NaN	2.34	NaN	0.32	NaN	NaN	2.64	NaN	2.18	0.5	NaN	NaN	NaN	2.34	2.23
NM_000602	3.73	7.52	4	8.42	6.45	5.24	2.46	NaN	NaN	NaN	2.04	NaN	9.29	8.85	NaN	2.25	NaN	NaN	NaN	NaN	4.92	7.06
NM_000610	NaN	NaN	0.46	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.42	NaN	0.48	NaN	NaN	NaN	NaN	NaN	0.5	0.42
NM_000636	7.55	10.87	5.33	6.81	3.45	4.09	7.19	8.46	5.29	2.9	3.75	3.27	3.73	7.33	4.62	10.2	2.08	2.27	NaN	2.81	5.13	6.94
NM_000692	NaN	NaN	0.32	0.34	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NM_000767	5.26	NaN	0.3	0.33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.55	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NM_000770	NaN	NaN	0.22	0.25	NaN	2.03	0.43	NaN	2.07	NaN	NaN	0.41	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NM_000773	NaN	2	0.36	0.26	NaN	2.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.36	NaN	3.45	NaN	NaN	NaN	NaN	2.63	2.05
NM_001085	5.08	4.55	NaN	NaN	5.62	8.58	5.66	11.52	3.5	NaN	2.86	NaN	4.16	8.55	5.02	9.84	NaN	NaN	2.78	2.59	4.61	3.63
NM_001130	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.45	0.46
NM_001175	NaN	0.35	NaN	NaN	NaN	NaN	4.02	NaN	NaN	0.4	NaN	NaN	0.45	NaN	0.43	NaN	NaN	NaN	NaN	NaN	0.37	0.33
NM_001565	10.19	14.91	7.47	14.77	11.73	17.8	4.2	5.26	9.47	2.66	6.36	3.26	10.64	15.74	6.72	13.42	3.72	6.49	9.04	5.5	18.53	13.65
