ACCESSION	Ratio G-6h / Sh 6h	Log2 Ratio G-6h / Sh 6h	Ratio G+6h / Sh6h	Log2 Ratio G+6h / Sh6h	Ratio G-24h / Sh24h	Log2 Ratio G-24h / Sh24h	Ratio G+24h / Sh24h	Log2 G+24h / Sh24h	DEFINITION	TargetID	SYMBOL	
NM_007112	NaN	NaN	NaN	NaN	1.2	0.26	1.21	0.28	Homo sapiens thrombospondin 3 (THBS3), mRNA.	ILMN_10000	THBS3	
NM_018976	0.48	-1.06	0.65	-0.61	0.89	-0.16	1.29	0.37	Homo sapiens solute carrier family 38, member 2 (SLC38A2), mRNA.	ILMN_10001	SLC38A2	
AA326446	1.43	0.52	1.33	0.41	0.99	-0.02	0.9	-0.16	EST29662 Cerebellum II Homo sapiens cDNA 5 end, mRNA sequence	ILMN_100028		
NM_001954	1.62	0.69	2.26	1.18	0.63	-0.66	0.65	-0.61	Homo sapiens discoidin domain receptor family, member 1 (DDR1), transcript variant 2, mRNA.	ILMN_10004	DDR1	
NM_001014444	0.44	-1.18	0.88	-0.18	1.49	0.58	0.96	-0.05	Homo sapiens crystallin, mu (CRYM), transcript variant 2, mRNA.	ILMN_10009	CRYM	
NM_000042	0.7	-0.51	0.64	-0.65	0.4	-1.32	0.48	-1.07	Homo sapiens apolipoprotein H (beta-2-glycoprotein I) (APOH), mRNA.	ILMN_10010	APOH	
NM_005904	1.91	0.93	1.75	0.8	1.56	0.64	1.6	0.67	Homo sapiens SMAD, mothers against DPP homolog 7 (Drosophila) (SMAD7), mRNA.	ILMN_10011	SMAD7	
NM_001362	NaN	NaN	1.5	0.58	NaN	NaN	NaN	NaN	Homo sapiens deiodinase, iodothyronine, type III (DIO3), mRNA.	ILMN_10016	DIO3	
NM_003304	NaN	NaN	NaN	NaN	1.19	0.25	1.14	0.2	Homo sapiens transient receptor potential cation channel, subfamily C, member 1 (TRPC1), mRNA.	ILMN_10020	TRPC1	
NM_013975	1.68	0.75	1.42	0.51	1.14	0.19	0.98	-0.03	Homo sapiens ligase III, DNA, ATP-dependent (LIG3), nuclear gene encoding mitochondrial protein, transcript variant alpha, mRNA.	ILMN_10021	LIG3	
NM_005525	1.3	0.38	0.95	-0.07	1.09	0.12	1.45	0.54	Homo sapiens hydroxysteroid (11-beta) dehydrogenase 1 (HSD11B1), transcript variant 1, mRNA.	ILMN_10023	HSD11B1	
DA673250	1.41	0.49	1.35	0.44	NaN	NaN	NaN	NaN	DA673250 NETRP2 Homo sapiens cDNA clone NETRP2003825 5, mRNA sequence	ILMN_100250		
