membership	membership.1	membership.2	membership.3	membership.4	membership.5
TCGA-02-0001-01C-01R-0177-01	1	1	1	1	1	1
TCGA-02-0003-01A-01R-0177-01	1	1	1	1	1	1
TCGA-02-0004-01A-01R-0298-01	1	1	1	1	1	1
TCGA-02-0007-01A-01R-0177-01	1	2	1	1	1	1
TCGA-02-0009-01A-01R-0177-01	1	1	1	1	1	1
TCGA-02-0010-01A-01R-0177-01	1	2	1	1	1	1
TCGA-02-0011-01B-01R-0177-01	1	2	1	1	1	1
TCGA-02-0014-01A-01R-0177-01	2	2	2	2	2	2
TCGA-02-0015-01A-01R-0298-01	1	2	3	3	3	3
TCGA-02-0016-01A-01R-0298-01	3	3	4	4	4	4
TCGA-02-0021-01A-01R-0177-01	1	2	1	1	1	1
TCGA-02-0023-01B-01R-0298-01	3	3	4	4	4	5
TCGA-02-0024-01B-01R-0177-01	1	2	1	1	1	1
TCGA-02-0025-01A-01R-0298-01	1	1	1	1	1	1
TCGA-02-0026-01B-01R-0298-01	2	2	2	2	2	2
TCGA-02-0027-01A-01R-0177-01	1	1	1	1	1	1
TCGA-02-0028-01A-01R-0177-01	1	1	1	1	1	1
TCGA-02-0033-01A-01R-0177-01	1	1	1	1	1	1
TCGA-02-0034-01A-01R-0177-01	1	1	1	1	1	1
TCGA-02-0038-01A-01R-0177-01	1	2	1	1	1	1
TCGA-02-0039-01A-01R-0298-01	1	1	4	3	3	3
TCGA-02-0043-01A-01R-0177-01	1	1	1	1	1	1
TCGA-02-0046-01A-01R-0177-01	1	1	1	1	1	1
TCGA-02-0047-01A-01R-0177-01	1	2	1	1	1	1
TCGA-02-0048-01A-01R-0298-01	2	2	5	4	4	5
TCGA-02-0051-01A-01R-0298-01	1	1	1	1	1	1
TCGA-02-0052-01A-01R-0177-01	1	1	1	1	1	1
TCGA-02-0054-01A-01R-0177-01	1	1	1	1	1	1
TCGA-02-0057-01A-01R-0177-01	1	1	1	1	1	1
TCGA-02-0058-01A-01R-0177-01	1	1	1	1	1	1
TCGA-02-0059-01A-01R-0298-01	1	1	3	1	1	1
TCGA-02-0060-01A-01R-0177-01	1	1	1	1	1	1
TCGA-02-0064-01A-01R-0202-01	1	1	3	3	3	3
TCGA-02-0068-01A-01R-0298-01	3	3	5	3	3	3
TCGA-02-0069-01A-01R-0202-01	2	2	2	2	2	2
TCGA-02-0070-01A-01R-0298-01	3	3	5	3	3	3
TCGA-02-0071-01A-01R-0202-01	3	3	3	3	5	4
TCGA-02-0074-01A-01R-0202-01	2	4	2	2	2	2
TCGA-02-0075-01A-01R-0202-01	1	1	3	3	3	3
TCGA-02-0079-01A-03R-0306-01	1	1	3	5	3	3
TCGA-02-0080-01A-01R-0202-01	2	4	2	2	2	2
TCGA-02-0083-01A-01R-0202-01	3	3	5	6	6	6
TCGA-02-0084-01A-03R-0306-01	2	4	4	2	2	2
TCGA-02-0085-01A-01R-0202-01	1	4	4	2	2	7
TCGA-02-0086-01A-01R-0202-01	1	1	3	3	5	4
TCGA-02-0087-01A-01R-0280-01	2	4	2	2	2	2
TCGA-02-0089-01A-01R-0202-01	1	1	4	4	4	7
TCGA-02-0099-01A-01R-0202-01	1	1	1	1	1	1
TCGA-02-0102-01A-01R-0202-01	3	3	5	3	5	4
TCGA-02-0104-01A-01R-0298-01	2	2	2	2	2	6
TCGA-02-0106-01A-01R-0280-01	1	1	1	1	1	3
TCGA-02-0107-01A-01R-0202-01	1	1	3	5	3	1
TCGA-02-0111-01A-01R-0280-01	1	1	3	3	3	3
TCGA-02-0113-01A-01R-0202-01	3	3	5	4	4	5
TCGA-02-0114-01A-01R-0202-01	2	2	2	2	2	2
TCGA-02-0115-01A-01R-0202-01	3	4	4	4	4	7
TCGA-02-0116-01A-01R-0202-01	1	2	1	1	1	1
TCGA-02-0258-01A-01R-0280-01	2	4	2	2	2	2
TCGA-02-0260-01A-03R-0280-01	3	3	5	4	5	4
TCGA-02-0266-01A-01R-0280-01	1	2	5	3	3	3
TCGA-02-0269-01B-01R-0280-01	3	3	5	4	5	4
TCGA-02-0271-01A-01R-0280-01	1	2	1	1	1	1
TCGA-02-0281-01A-01R-0280-01	2	2	2	2	2	2
TCGA-02-0285-01A-01R-0280-01	3	3	5	3	5	4
TCGA-02-0289-01A-01R-0280-01	3	3	5	4	5	5
TCGA-02-0290-01A-01R-0280-01	3	3	5	3	5	4
TCGA-02-0317-01A-01R-0280-01	3	3	5	4	5	4
TCGA-02-0321-01A-01R-0280-01	2	2	2	3	3	3
TCGA-02-0324-01A-01R-0280-01	2	4	4	1	1	1
TCGA-02-0325-01A-01R-0280-01	2	4	2	2	2	2
