Country	Population	Birth Rate	Death Rate		GDP	GDP per capita	Imports	Exports	Inflation Rate
Afghanistan	28396000	45.46	19.18	327000000	22320000000	800	4850000000	327000000	13
Albania	3639453	15.29	5.55	1345000000	21860000000	6000	4898000000	1345000000	3.4
Algeria	34178188	16.9	4.64	78230000000	233500000000	6900	39160000000	78230000000	4.4
American Samoa	65628	23.31	4.1	445600000	575300000	8000	308800000	445600000	3.9
Andorra	83888	10.35	5.89	117100000	3660000000	42500	1789000000	117100000	12.5
Angola	12799293	43.69	24.08	66300000000	112800000000	9000	17080000000	66300000000	5.3
Anguilla	14436	13.02	4.36	13000000	108900000	8800	143000000	13000000	1.5
Antigua and Barbuda	85632	16.59	5.94	84300000	1639000000	19400	522800000	84300000	8.6
Argentina	40913584	17.94	7.41	70020000000	575200000000	14200	54560000000	70020000000	9
Armenia	2967004	12.65	8.39	1124000000	18810000000	6300	3763000000	1124000000	3.4
Aruba	103065	12.79	7.71	124000000	2258000000	21800	1054000000	124000000	4.4
Australia	21262641	12.47	6.74	189900000000	802900000000	38200	194200000000	189900000000	3.2
Austria	8210281	8.65	9.98	179100000000	331200000000	40400	179200000000	179100000000	20.8
Azerbaijan	8238672	17.62	8.3	30590000000	77790000000	9500	7575000000	30590000000	2.4
Bahamas, The	309156	16.81	9.32	674000000	9352000000	30700	2401000000	674000000	7
Bahrain	727785	17.02	4.37	17490000000	26890000000	37400	14250000000	17490000000	8.9
Bangladesh	156050883	24.68	9.23	15440000000	226400000000	1500	21510000000	15440000000	5.5
Barbados	284589	12.55	8.41	385000000	5367000000	18900	1586000000	385000000	14.8
Belarus	9648533	9.71	13.86	33040000000	114300000000	11800	39160000000	33040000000	4.5
Belgium	10414336	10.15	10.44	371500000000	390200000000	37500	387700000000	371500000000	6.4
Belize	307899	27.33	5.8	464700000	2542000000	8400	788100000	464700000	7.9
Benin	8791832	39.22	9.45	1127000000	12860000000	1500	1843000000	1127000000	2.8
Bermuda	67837	11.57	7.3	763000000	4500000000	69900	1162000000	763000000	4.9
Bhutan	691141	20.07	7.39	350000000	3533000000	5200	320000000	350000000	14
Bolivia	9775246	25.82	7.05	6448000000	43380000000	4500	4641000000	6448000000	7.3
Bosnia and Herzegovina	4613414	8.85	8.63	5194000000	29770000000	6500	12290000000	5194000000	12.6
Botswana	1990876	22.89	8.52	4707000000	27110000000	13900	4486000000	4707000000	5.7
Brazil	198739269	18.43	6.35	197900000000	1998000000000	10200	173100000000	197900000000	2
British Virgin Islands	24491	14.62	4.37	25300000	853400000	38500	NaN	25300000	NaN
Brunei	388190	18.2	3.29	8250000000	19580000000	51300	2055000000	8250000000	0.3
Bulgaria	7204687	9.51	14.31	22710000000	93980000000	12900	35640000000	22710000000	12.3
Burkina Faso	15746232	44.33	13.3	544000000	17960000000	1200	1343000000	544000000	10.7
Burma	48137741	16.97	9.14	6677000000	55270000000	1200	3388000000	6677000000	26.8
Burundi	8988091	41.42	12.67	79000000	3109000000	300	350000000	79000000	24.1
Cambodia	14494293	25.73	8.08	4708000000	28010000000	2000	6534000000	4708000000	25
Cameroon	18879301	34.1	12.2	4707000000	42690000000	2300	4303000000	4707000000	5.3
Canada	33487208	10.28	7.74	459100000000	1303000000000	39200	415200000000	459100000000	2.4
Cape Verde	429474	23.5	6.22	105000000	1630000000	3800	864000000	105000000	6.8
Cayman Islands	49035	12.36	4.89	2520000	1939000000	43800	866900000	2520000	4.4
Central African Republic	4511488	32.75	17.84	146700000	3184000000	700	237300000	146700000	0.9
Chad	10329208	40.86	16.09	4342000000	15820000000	1600	1927000000	4342000000	10.3
Chile	16601707	14.64	5.84	66460000000	245100000000	14900	57610000000	66460000000	8.7
China	1338612968	14	7.06	1435000000000	7992000000000	6000	1074000000000	1435000000000	5.9
