Identifier 	HCC114	HCC103_WH	HCC104	HCC119	HCC013_K	HCC108	HCC031	HCC116_K	HCC025WH	HCC022_WH_KM	HCC011_K	HCC105	HCC015_WH_KM	HCC107_WH	
NM_153687	7.04	2.79	5.33	10.0	1.86	6.96	5.6	1.12	1.89	0.99	1.46	3.35	2.06	3.39	
NM_032227	6.56	3.05	4.54	10.0	2.24	7.63	6.14	1.3	0.41	1.2	3.25	4.04	1.64	7.02	
NM_152268	6.88	1.81	10.0	9.39	5.53	2.98	6.81	2.37	4.14	1.32	3.51	3.8	1.88	6.05	
NM_007355	4.21	3.5	8.32	10.0	4.54	4.58	5.5	2.16	4.62	1.39	2.77	6.59	1.95	3.59	
NM_003076	3.05	3.17	5.44	10.0	5.49	3.55	5.86	1.49	1.92	1.68	2.15	5.63	1.86	5.67	
NM_014140	9.46	2.42	8.03	8.64	4.76	1.98	5.8	2.41	1.62	4.24	3.52	2.45	3.61	4.32	
NM_014615	6.19	3.34	7.59	4.0	5.95	4.85	5.74	3.08	2.48	2.5	1.54	2.66	2.46	3.04	
NM_002685	7.24	2.77	3.81	10.0	5.85	4.18	10.0	4.42	0.7	3.11	2.88	2.15	2.89	2.9	
NM_012424	5.57	3.76	4.04	4.98	1.75	3.69	6.3	0.74	0.7	0.71	3.31	3.39	3.01	2.33	
NM_005689	4.27	1.94	3.14	7.34	1.87	4.77	10.0	1.18	1.38	0.54	2.43	4.9	4.74	1.0	
NM_005777	4.31	3.49	4.65	5.82	4.17	7.25	3.91	1.78	1.73	2.75	1.78	3.73	1.94	1.85	
NM_019096	3.73	2.89	3.84	10.0	4.1	7.25	4.25	2.51	1.43	1.22	1.95	3.03	1.6	4.17	
NM_005037	3.09	3.21	2.53	10.0	1.78	8.37	8.53	2.17	2.13	2.51	0.65	3.3	1.72	2.62	
NM_017845	5.56	2.75	4.22	7.42	1.66	10.0	5.61	2.75	1.66	1.27	1.71	1.74	1.52	2.79	
NM_006948	4.86	1.47	4.15	8.64	1.77	5.93	4.74	3.12	1.96	1.04	1.24	2.32	1.7	1.36	
NM_022066	4.91	3.73	2.92	4.95	2.69	8.53	4.27	2.52	1.49	1.03	2.08	2.83	1.9	1.29	
NM_024057	4.59	3.28	3.67	7.64	1.57	5.37	4.98	1.84	2.54	0.34	2.49	1.86	1.89	1.71	
NM_001256	5.57	0.86	6.4	10.0	2.3	7.2	4.26	1.65	2.23	2.56	2.61	2.55	3.79	0.9	
NM_002524	5.45	1.18	4.54	10.0	1.81	5.5	4.55	3.43	3.9	1.32	2.5	2.75	1.94	3.12	
NM_000701	4.74	1.31	10.0	9.38	2.25	5.8	3.2	3.12	2.65	1.08	0.82	3.15	1.98	2.2	
NM_020143	3.99	2.43	5.65	5.39	2.54	4.97	4.63	2.04	3.73	1.61	0.98	2.33	2.5	1.79	
NM_138300	6.5	6.11	6.14	6.33	4.42	3.86	4.05	1.58	2.21	0.85	2.44	2.56	1.69	1.13	
NM_018476	10.0	6.47	8.48	10.0	2.98	5.85	10.0	1.73	1.58	2.29	3.59	4.16	2.06	1.39	
NM_007215	10.0	8.31	8.83	5.13	4.76	6.67	4.67	2.88	1.58	1.46	3.94	3.67	3.29	1.32	
NM_004526	5.08	10.0	9.97	10.0	3.84	9.39	2.82	2.89	1.05	1.37	3.25	5.65	2.29	2.59	
NM_003920	7.55	7.01	7.9	10.0	2.92	7.55	3.37	4.06	2.01	2.17	3.38	4.24	2.49	2.02	
NM_004275	6.41	3.84	7.46	10.0	2.99	5.17	2.86	2.84	2.12	1.75	4.04	3.28	2.09	3.91	
NM_005685	5.62	4.89	6.05	4.94	2.57	8.36	3.6	3.02	1.27	2.67	4.69	4.01	4.06	3.41	
NM_014345	6.54	4.71	9.97	10.0	2.65	4.64	5.02	1.18	1.0	2.9	0.64	1.67	2.83	2.82	
NM_002945	9.44	4.3	10.0	10.0	1.89	6.36	5.39	2.41	2.06	3.96	1.52	4.63	3.66	2.72	
NM_182661	5.25	6.89	6.75	8.99	2.59	3.83	7.89	4.05	1.78	4.55	1.73	3.08	3.82	3.01	
NM_005087	3.53	6.14	7.01	6.43	2.46	2.64	3.74	3.57	2.68	3.42	4.38	2.23	3.27	2.43	
NM_001016	4.35	6.37	8.52	7.39	2.68	2.58	8.03	2.42	2.35	0.84	2.72	3.0	1.85	2.37	
NM_018149	2.94	5.21	4.49	6.64	2.02	2.86	5.42	2.71	3.11	2.2	2.84	4.38	2.11	1.06	
NM_002398	7.85	3.1	7.0	1.67	1.91	2.28	6.56	1.66	0.76	2.6	5.83	1.76	2.34	3.75	
NM_017810	5.25	0.55	2.25	2.81	3.42	1.99	6.75	2.56	1.42	2.38	4.28	4.33	2.5	3.72	
NM_001935	2.73	0.24	9.29	1.85	3.27	6.22	8.07	2.82	2.17	0.54	2.42	1.78	2.39	0.76	
