Identifier 	HCC_06	NNL_05	NNL_02	NNL_03	NNL_01	NNL_04	HCC_10	HCC_14	SK_TC_1	SK_TC_2	SK_SC_1	SK_SC_2	HUH7_TC_1	HUH7_TC_2	HUH7_Ortho_1	HUH7_SC_1	HUH7_SC_2	HUH7_SC_3	H3B_TC_1	H3B_TC_2	H3B_Ortho_3	H3B_SC_1	H3B_SC_2	H3B_Ortho_1	H3B_Ortho_2	
NM_000893	1494.9	1643.45	1651.62	1822.98	1383.89	1673.0	1047.43	3318.82	2.52	1.2	3.06	0.23	25.67	51.39	3.99	12.86	23.11	20.92	45.02	46.45	12.54	12.19	14.63	82.17	100.98	
NM_000040	5358.67	1955.07	4338.2	6032.95	2945.43	4230.6	971.5	4084.74	0.57	0.63	2.39	0.53	50.27	35.91	47.85	65.99	72.12	85.66	35.06	28.48	91.11	113.64	152.3	577.94	1190.31	
NM_000638	1266.26	1080.64	2586.89	1340.44	735.5	1350.36	1009.85	1394.18	1.65	2.4	2.5	0.53	374.68	222.23	120.65	204.95	348.12	459.73	159.47	145.45	134.25	191.33	170.23	255.29	214.66	
NM_000062	1460.03	1069.57	1365.91	756.78	677.27	1084.68	587.66	1366.85	3.22	1.95	2.61	1.66	137.13	319.81	41.25	60.14	63.04	92.68	50.98	130.54	129.66	171.12	139.53	240.73	213.06	
NM_000690	3249.99	1283.51	2461.32	2487.93	1297.53	2007.46	786.21	613.59	3.03	3.1	9.74	5.18	173.47	191.49	63.59	62.86	126.6	123.21	158.58	216.43	237.01	221.6	181.11	237.84	266.84	
NM_000509	4230.63	2738.33	3573.14	2596.55	4088.39	2476.29	1843.65	443.44	0.48	0.93	8.64	0.33	226.1	236.23	93.07	135.81	323.67	270.74	88.75	78.55	641.63	376.49	512.62	599.65	348.03	
NM_021871	3932.92	3358.7	3246.82	2920.8	3609.69	2561.97	2132.41	475.75	0.59	0.21	9.58	0.63	251.73	177.61	121.28	169.01	405.68	324.12	135.2	358.68	630.01	509.5	581.92	575.87	448.12	
NM_000096	222.1	759.21	812.21	572.39	756.81	1059.7	168.19	621.83	1.2	0.77	0.79	0.26	26.73	47.64	12.89	41.78	32.78	74.43	71.85	276.33	295.24	335.8	547.99	239.67	300.13	
NM_004964	582.22	590.61	1024.89	690.86	387.7	575.28	224.03	213.86	0.38	0.95	0.53	0.48	301.68	342.17	150.89	124.65	191.77	233.55	122.92	421.34	146.58	1801.36	1773.87	1227.47	1567.08	
NM_000029	321.17	263.63	245.55	323.4	157.73	193.05	118.34	537.56	0.45	0.24	1.17	2.58	112.52	149.27	138.66	186.59	319.57	347.85	186.72	335.02	213.24	426.94	610.84	395.26	357.34	
NM_000029	271.23	216.02	260.63	239.34	191.7	281.66	169.56	440.06	0.71	0.45	0.86	0.23	111.07	102.23	96.31	173.5	292.3	318.03	210.54	230.34	182.43	293.43	406.3	420.0	377.96	
NM_005796	84.16	503.68	1311.84	2525.56	1826.38	1520.71	24.16	109.56	529.37	245.74	64.89	74.77	113.05	5.79	56.77	66.42	101.3	116.11	9.66	24.48	27.17	20.47	9.16	12.02	13.7	
NM_001908	196.85	379.95	413.2	366.14	446.64	275.68	178.47	235.29	621.1	445.2	121.68	379.31	95.24	106.44	55.5	61.56	95.17	99.83	19.24	30.16	23.4	64.95	79.51	77.22	67.14	
NM_020300	350.66	151.56	359.96	273.91	189.3	241.96	352.0	190.83	60.44	68.9	11.85	15.22	207.67	144.3	36.91	35.42	69.77	67.75	57.26	52.53	3.0	23.43	34.43	36.65	26.83	
NM_020300	505.97	296.88	546.31	546.9	376.9	431.63	597.81	267.85	81.08	85.0	15.53	24.44	303.51	210.83	56.77	51.28	121.34	97.51	81.47	76.87	3.42	43.0	56.97	47.62	43.14	
NM_000064	629.15	1282.68	1875.61	1455.48	1190.53	1293.94	886.76	1952.05	110.48	58.68	19.47	12.29	77.77	90.13	8.62	4.07	3.99	5.31	139.17	161.62	52.85	220.59	221.4	175.5	235.22	
NM_004048	1089.75	985.13	710.74	696.06	1059.87	894.28	1077.77	596.48	380.18	633.21	491.32	482.84	230.41	186.66	32.08	35.21	57.73	68.63	194.76	203.57	288.45	220.14	266.73	247.85	224.96	
NM_002567	923.07	504.54	950.19	901.61	634.65	761.34	811.69	637.09	112.6	150.47	39.8	59.8	301.44	197.95	64.09	89.86	164.86	160.95	280.49	190.87	466.69	262.95	247.92	277.03	272.35	
NM_000454	1658.34	597.3	1030.69	1132.9	1037.49	907.89	1140.57	685.16	194.55	306.71	120.36	148.06	357.7	399.18	75.79	95.99	202.24	180.56	303.66	279.7	366.99	316.36	339.81	412.35	330.95	
NM_001872	831.36	338.08	670.21	627.29	509.86	634.66	242.55	811.32	0.64	0.44	0.71	0.2	68.1	40.02	24.58	34.75	57.98	61.79	13.05	8.48	14.96	32.44	51.24	58.66	51.06	
NM_000185	239.39	155.45	334.56	292.59	145.01	217.81	205.51	555.45	1.8	0.97	0.44	0.7	42.69	24.25	30.82	28.5	39.39	54.83	42.3	40.97	26.72	19.69	31.6	29.85	48.52	
NM_000506	275.59	239.11	320.03	385.43	223.27	226.18	95.08	468.74	0.3	0.78	0.32	0.42	95.24	100.22	54.43	70.79	100.68	112.68	26.2	45.75	11.69	34.93	59.97	71.69	52.82	
NM_000689	354.85	210.64	252.81	215.41	163.27	157.42	531.02	125.13	0.34	0.45	1.31	0.8	357.37	155.4	26.44	32.26	66.42	63.19	132.67	71.93	87.57	27.21	38.09	17.67	19.07	
NM_000187	496.05	76.38	226.68	148.81	175.12	182.57	48.35	15.43	0.62	1.3	0.25	0.5	102.18	67.89	14.73	15.0	32.77	25.47	26.53	28.94	13.71	29.27	36.93	40.61	44.74	
NM_002413	141.81	111.17	135.78	149.93	116.59	109.87	88.75	99.28	1.28	2.55	1.19	0.59	113.14	111.52	44.1	42.09	95.95	68.69	52.86	66.82	31.17	48.95	68.15	52.53	35.35	
