Annual Giving
Control	Institution	2009	2009_NationalRank	2009_ControlRank	2008	2008_NationalRank	2008_ControlRank	2007	2007_NationalRank	2007_ControlRank	2006	2006_NationalRank	2006_ControlRank	2005	2005_NationalRank	2005_ControlRank
Public	Arizona State University	158172	34	15	120469	54	29	104011	54	29	148755	33	15	93431	50	26
Public	Auburn University	61841	97	59	69127	98	57	71815	79	47	55084	99	58	51777	90	54
Private	Baylor College of Medicine	78292	79	33	60502	108	44	64098	92	42	54923	100	42	40457	115	46
Private	Boston University	74269	84	35	78243	87	38	84160	71	29	95104	55	27	91626	52	25
Private	Brown University	192836	26	14	176106	35	19	181622	30	17	126415	38	19	164010	25	14
Private	California Institute of Technology	132000	42	24	103425	60	27	183257	28	16	117511	43	23	163971	26	15
Private	Carnegie Mellon University	58464	103	42	95330	70	30	74717	77	32	72502	74	34	79300	61	27
Private	Case Western Reserve University	79653	76	32	88345	77	32	69392	82	33	66123	82	36	75584	64	29
Private	Charles R. Drew University of Medicine and Science				1397	927	530									
Public	Clemson University	31701	158	89	61492	106	63	94567	61	36	50633	107	63	39253	121	73
Public	Colorado State University	46623	118	72	42215	135	78	35356	148	86	31700	149	85	30832	145	82
Private	Columbia University	413359	5	5	495107	3	3	423849	5	5	377276	7	7	341141	5	4
Private	Cornell University	280112	15	11	286596	18	11	284848	17	12	284360	12	9	247752	15	9
Private	Cornell University Weill Medical College	166638	32	18	122827	52	25	122078	46	23	121869	41	22	106179	41	21
Private	Dartmouth College	137107	41	23	166691	38	20	156604	37	20	158424	31	18	104700	42	22
Private	Drexel University	54094	108	44	41519	138	59	44158	132	54	43274	121	48	36951	124	49
Private	Duke University	301647	13	10	385673	11	9	372328	8	8	332034	8	8	275816	11	8
Private	Emory University	141127	40	22	164386	39	21	156108	38	21	114897	46	25	95315	49	24
Public	Florida International University	17741	228	120	18797	250	124	10873	347	164	13892	283	134	14484	252	128
Public	Florida State University	47325	115	70	58349	112	66	56975	100	56	50245	108	64	82378	59	33
Public	George Mason University	26484	172	97	23562	213	108	21994	214	112	23283	196	105	19583	205	107
Private	George Washington University	84645	72	30	58593	111	46	59313	96	43	53367	101	43	49200	92	37
Private	Georgetown University	181180	30	17	109920	58	26	105425	53	25	98196	51	26	98936	47	23
Public	Georgia Institute of Technology	113043	49	25	117106	56	31	119455	48	25	95781	54	28	82306	60	34
Private	Harvard University	601636	2	2	650625	2	2	613985	2	2	594941	2	2	589861	3	2
