Endowment Assets
Control	Institution	2009	2009_NationalRank	2009_ControlRank	2008	2008_NationalRank	2008_ControlRank	2007	2007_NationalRank	2007_ControlRank	2006	2006_NationalRank	2006_ControlRank	2005	2005_NationalRank	2005_ControlRank
Public	Arizona State University	 407889 	 138 	 52 	 493015 	 142 	 52 	 478385 	 141 	 50 	 394796 	 140 	 50 	 277335 	 174 	 68 
Public	Auburn University	 311394 	 164 	 66 	 388269 	 164 	 65 	 384113 	 169 	 67 	 335225 	 163 	 64 	 294327 	 164 	 64 
Private	Baylor College of Medicine	 731320 	 76 	 52 	 1091814 	 64 	 43 	 1278011 	 55 	 38 	 1059393 	 56 	 38 	 1008261 	 54 	 37 
Private	Boston University	 892139 	 62 	 42 	 1144996 	 60 	 41 	 1101386 	 66 	 45 	 916017 	 66 	 45 	 776900 	 70 	 47 
Private	Brown University	 2017006 	 26 	 20 	 2746832 	 24 	 19 	 2780798 	 26 	 20 	 2166633 	 26 	 20 	 1843904 	 26 	 20 
Private	California Institute of Technology	 1398039 	 39 	 26 	 1891523 	 35 	 23 	 1860052 	 36 	 24 	 1580922 	 35 	 24 	 1417931 	 35 	 24 
Private	Carnegie Mellon University	 754131 	 74 	 51 	 1067728 	 65 	 44 	 1115740 	 63 	 42 	 939581 	 64 	 43 	 837459 	 63 	 43 
Private	Case Western Reserve University	 1401799 	 38 	 25 	 1766478 	 38 	 26 	 1841234 	 37 	 25 	 1598566 	 34 	 23 	 1516481 	 32 	 23 
Private	Charles R. Drew University of Medicine and Science	 -   	 852 	 542 	 -   	 853 	 523 							 2200 	 831 	 536 
Public	Clemson University	 331082 	 154 	 61 	 421299 	 156 	 61 	 430020 	 154 	 58 	 343726 	 160 	 62 	 306163 	 156 	 60 
Public	Colorado State University	 148144 	 272 	 101 	 183442 	 274 	 102 	 186464 	 290 	 109 	 152225 	 290 	 108 	 135304 	 297 	 109 
Private	Columbia University	 5892798 	 7 	 6 	 7345226 	 7 	 6 	 7149803 	 7 	 6 	 5937814 	 7 	 6 	 5190564 	 7 	 6 
Private	Cornell University	 3073682 	 19 	 15 	 4416095 	 19 	 15 	 4448281 	 18 	 15 	 3541869 	 19 	 15 	 3095892 	 19 	 15 
Private	Cornell University Weill Medical College	 892359 	 61 	 41 	 969387 	 74 	 52 	 976452 	 75 	 52 	 779330 	 79 	 54 	 681200 	 80 	 55 
Private	Dartmouth College	 2824894 	 21 	 17 	 3660159 	 20 	 16 	 3760234 	 20 	 16 	 3092100 	 20 	 16 	 2714300 	 21 	 17 
Private	Drexel University	 408227 	 137 	 86 	 547922 	 130 	 85 	 628467 	 113 	 78 	 526792 	 113 	 78 	 497918 	 109 	 74 
Private	Duke University	 4440745 	 14 	 11 	 6123743 	 14 	 11 	 5910280 	 14 	 11 	 4497718 	 15 	 12 	 3826153 	 15 	 12 
Private	Emory University	 4328436 	 15 	 12 	 5472528 	 15 	 12 	 5561743 	 16 	 13 	 4870019 	 12 	 9 	 4376272 	 10 	 7 
Public	Florida International University	 82555 	 385 	 137 	97064	 393 	 142 	91876	 410 	 143 	80283	 398 	 137 	 74396 	 401 	 138 
Public	Florida State University	 409666 	 135 	 50 	 570730 	 124 	 43 	 548994 	 128 	 44 	 500637 	 119 	 39 	 459959 	 116 	 38 
Public	George Mason University	 41873 	 547 	 179 	 53327 	 543 	 192 	 54724 	 542 	 190 						
Private	George Washington University	 1011193 	 54 	 37 	 1256433 	 57 	 39 	 1147451 	 62 	 41 	 963697 	 62 	 41 	 823129 	 65 	 44 
Private	Georgetown University	 883182 	 65 	 45 	1059075	 67 	 46 	1059343	 70 	 48 	834497	 71 	 49 	 741063 	 74 	 50 
Public	Georgia Institute of Technology	 1237728 	 46 	 15 	 1663654 	 43 	 14 	 1608682 	 46 	 14 	 1324420 	 45 	 13 	 1206852 	 45 	 14 
Private	Harvard University	 25662055 	 1 	 1 	 36556284 	 1 	 1 	 34634906 	 1 	 1 	 28915706 	 1 	 1 	 25473721 	 1 	 1 
Public	Indiana University - Bloomington	 728544 	 77 	 25 	 918603 	 77 	 25 	 924420 	 80 	 26 	663603	 88 	 29 	 575899 	 88 	 29 
Public	Indiana University-Purdue University - Indianapolis	 436636 	 131 	 47 	 550543 	 129 	 45 	 554240 	 126 	 43 	 612557 	 95 	 33 	 531599 	 97 	 34 
Public	Iowa State University	 452209 	 122 	 43 	 560617 	 126 	 44 	 592368 	 121 	 38 	 496018 	 121 	 41 	 456627 	 118 	 40 
Private	Johns Hopkins University	 1976899 	 27 	 21 	 2524575 	 26 	 20 	 2800377 	 25 	 19 	 2350749 	 24 	 19 	 2176909 	 24 	 19 
Public	Kansas State University	 259809 	 189 	 72 	 337187 	 185 	 70 	 346360 	 187 	 70 	 294542 	 186 	 70 	 251310 	 190 	 70 
Public	Louisiana State University - Baton Rouge	 275000 	 180 	 70 	 332800 	 187 	 71 	 350459 	 185 	 69 	 332194 	 164 	 65 	 282711 	 169 	 66 
Public	Louisiana State University Health Sciences Center	 63813 	 441 	 150 	 79316 	 433 	 156 	 79242 	 446 	 155 	 75930 	 411 	 143 	 64620 	 434 	 149 
Private	Massachusetts Institute of Technology	 7982021 	 5 	 5 	 10068800 	 5 	 5 	 9980410 	 5 	 5 	 8368066 	 5 	 5 	 6712436 	 5 	 5 
Private	Medical College of Wisconsin	 376708 	 145 	 90 	 474956 	 144 	 92 	 507065 	 137 	 89 	 442173 	 133 	 87 	 404110 	 130 	 85 
Public	Medical University of South Carolina	 145667 	 278 	 105 	 160917 	 305 	 119 	 150311 	 325 	 120 	 114718 	 330 	 119 	 98955 	 352 	 124 
Public	Michigan State University	 1332948 	 42 	 14 	 1282073 	 55 	 18 	 1247713 	 57 	 18 	 1047792 	 57 	 19 	 906342 	 58 	 19 
Public	Mississippi State University	 254329 	 191 	 73 	280711	 210 	 80 	 280350 	 210 	 79 	237534	 205 	 76 	 211485 	 210 	 80 
