Federal Research
Control	Institution	2009	2009_NationalRank	2009_ControlRank	2008	2008_NationalRank	2008_ControlRank	2007	2007_NationalRank	2007_ControlRank	2006	2006_NationalRank	2006_ControlRank	2005	2005_NationalRank	2005_ControlRank
Public	Arizona State University	 125558 	75 	47 	 114632 	79 	50 	 109893 	84 	54 	 94545 	98 	63 	 79877 	103 	66 
Public	Auburn University	 54748 	136 	93 	 54949 	130 	89 	 45540 	143 	100 	 51319 	134 	92 	 49565 	134 	92 
Private	Baylor College of Medicine	 262498 	35 	18 	 263146 	30 	16 	 287679 	26 	13 	 300638 	21 	11 	 312669 	18 	10 
Private	Boston University	 235153 	41 	21 	 232115 	41 	21 	 238560 	40 	21 	 228842 	40 	20 	 219054 	39 	19 
Private	Brown University	 95145 	104 	37 	 95023 	100 	35 	 96922 	95 	33 	 90857 	101 	36 	 84126 	100 	36 
Private	California Institute of Technology	 243624 	39 	20 	 253657 	36 	19 	 248591 	37 	20 	 249371 	32 	16 	 244187 	28 	12 
Private	Carnegie Mellon University	 170978 	59 	24 	 168486 	59 	24 	 185389 	55 	24 	 173902 	54 	24 	 172858 	53 	22 
Private	Case Western Reserve University	 305483 	24 	12 	 304742 	23 	12 	 306980 	22 	11 	 212485 	45 	21 	 195525 	45 	20 
Private	Charles R. Drew University of Medicine and Science	 43291 	155 	46 	 48580 	144 	45 	 44394 	150 	47 	 41207 	155 	49 	 40430 	149 	45 
Public	Clemson University	 56535 	132 	90 	 53905 	135 	92 	 56268 	127 	86 	 56829 	128 	87 	 61065 	119 	81 
Public	Colorado State University	 208925 	50 	28 	 210746 	49 	27 	 182648 	56 	32 	 154245 	61 	35 	 145213 	59 	35 
Private	Columbia University	 461029 	11 	5 	 459748 	10 	4 	 451187 	11 	5 	 453188 	10 	5 	 406576 	11 	5 
Private	Cornell University	 232235 	42 	22 	 256938 	34 	18 	 253277 	35 	18 	 242455 	36 	19 	 224828 	36 	18 
Private	Cornell University Weill Medical College	 126709 	74 	28 	 110156 	86 	31 	 136766 	70 	29 	 123239 	72 	28 	 114279 	74 	28 
Private	Dartmouth College	 121306 	80 	30 	 128164 	72 	28 	 140430 	68 	27 	 122329 	74 	29 	 123109 	69 	26 
Private	Drexel University	 65198 	125 	41 	 66795 	120 	40 	 68499 	116 	40 	 62606 	120 	40 	 54963 	126 	40 
Private	Duke University	 451317 	13 	6 	 459122 	11 	5 	 414419 	13 	6 	 376568 	15 	8 	 347896 	15 	8 
Private	Emory University	 291126 	26 	13 	 271445 	26 	14 	 267894 	30 	16 	 266868 	29 	14 	 243248 	29 	13 
Public	Florida International University	 52838 	140 	97 	 52141 	138 	95 	 45894 	142 	99 	 51328 	133 	91 	 47913 	138 	95 
Public	Florida State University	 110618 	90 	56 	 113681 	81 	52 	 110358 	83 	53 	 105747 	84 	54 	 102967 	83 	54 
Public	George Mason University	 50392 	144 	101 	 46588 	148 	102 	 35911 	163 	114 	 36475 	162 	110 	 39758 	151 	105 
Private	George Washington University	 119100 	81 	31 	 87624 	106 	37 	 75209 	112 	39 	 78779 	108 	39 	 78192 	105 	38 
Private	Georgetown University	 111590 	89 	34 	 101853 	93 	33 	 92268 	102 	36 	 100328 	91 	33 	 95852 	89 	32 
Public	Georgia Institute of Technology	 281184 	28 	14 	 260230 	32 	15 	 257751 	33 	17 	 245130 	34 	17 	 237483 	30 	17 
Private	Harvard University	 383330 	15 	8 	 392103 	15 	8 	 403458 	15 	8 	 395906 	14 	7 	 399764 	12 	6 
Public	Indiana University - Bloomington	 68345 	120 	81 	 61634 	125 	85 	 68254 	117 	77 	 68611 	114 	75 	 66765 	113 	75 
Public	Indiana University-Purdue University - Indianapolis	 118366 	82 	51 	 104300 	91 	59 	 102381 	89 	59 	 102917 	88 	58 	 100148 	87 	56 
Public	Iowa State University	 102771 	98 	63 	 97112 	98 	64 	 104553 	86 	56 	 98005 	93 	59 	 92235 	96 	61 
Private	Johns Hopkins University	 1454426 	1 	1 	 1362836 	1 	1 	 1307453 	1 	1 	 1277292 	1 	1 	 1229426 	1 	1 
Public	Kansas State University	 52984 	139 	96 	 47654 	147 	101 	 52649 	133 	90 	 58821 	126 	86 	 56088 	124 	85 
Public	Louisiana State University - Baton Rouge	 78695 	114 	76 	 79760 	112 	73 	 64280 	122 	82 	 60288 	124 	84 	 55773 	125 	86 
Public	Louisiana State University Health Sciences Center	 43392 	154 	109 	 54690 	131 	90 	 52437 	134 	91 	 54108 	130 	88 	 44668 	140 	97 
Private	Massachusetts Institute of Technology	 495008 	5 	3 	 476318 	6 	3 	 476362 	8 	4 	 457235 	9 	4 	 427552 	9 	4 
Private	Medical College of Wisconsin	 111602 	87 	33 	 107200 	88 	32 	 100128 	92 	32 	 102859 	89 	31 	 100547 	85 	30 
Public	Medical University of South Carolina	 102187 	99 	64 	 101402 	94 	61 	 104057 	87 	57 	 108196 	83 	53 	 103494 	82 	53 
