Institutional Characteristics								
Control	Institution	State	Highest Degree Offered	Has a Medical School	Federal Land Grant Institution	Federal Research Focus	Total Student Enrollment Fall 2007	Control
Public	Arizona State University	AZ	Doctoral and Professional	No	No	All Life Science	 67082 	Public
Public	Auburn University	AL	Doctoral and Professional	No	Yes	Heavy Life Science and 	 24530 	Public
Private	Baylor College of Medicine	TX	Doctoral and Professional	Yes	No	Strong Life Science	 1385 	Private
Private	Boston University	MA	Doctoral and Professional	Yes	No	Moderate Life Science	 31766 	Private
Private	Brown University	RI	Doctoral and Professional	Yes	No	Moderate Physical Science	 8318 	Private
Private	California Institute of Technology	CA	Doctoral	No	No	Moderate Life Science	 2126 	Private
Private	Carnegie Mellon University	PA	Doctoral	No	No	Heavy Life Science and 	 10875 	Private
Private	Case Western Reserve University	OH	Doctoral and Professional	Yes	No	Moderate Life Science	 9814 	Private
Private	Charles R. Drew University of Medicine and Science	NJ	Doctoral and Professional	No	No	Strong Life Science	 255 	Private
Public	Clemson University	SC	Doctoral	No	Yes	Heavy Environmental Science and 	 18317 	Public
Public	Colorado State University	CO	Doctoral and Professional	No	Yes	Heavy Life Science and 	 28882 	Public
Private	Columbia University	NY	Doctoral and Professional	Yes	No	Moderate Social Science	 23196 	Private
Private	Cornell University	NY	Doctoral and Professional	Yes	Yes	Strong Life Science and 	 20273 	Private
Private	Cornell University Weill Medical College	NY	Doctoral and Professional	No	No	Strong Life Science	 965 	Private
Private	Dartmouth College	NH	Doctoral and Professional	Yes	No	All Life Science	 5848 	Private
Private	Drexel University	PA	Doctoral and Professional	Yes	No	Moderate Psychology and Moderate Physical Science	 21537 	Private
Private	Duke University	NC	Doctoral and Professional	Yes	No	Strong Life Science	 14060 	Private
Private	Emory University	GA	Doctoral and Professional	Yes	No	Strong Engineering	 12755 	Private
Public	Florida International University	FL	Doctoral	No	No	All Life Science and 	 38759 	Public
Public	Florida State University	FL	Doctoral and Professional	Yes	No	Strong Life Science	 38682 	Public
Public	George Mason University	VA	Doctoral and Professional	No	No	Strong Physical Science	 30613 	Public
Private	George Washington University	DC	Doctoral and Professional	Yes	No	Moderate Life Science	 25116 	Private
Private	Georgetown University	DC	Doctoral and Professional	Yes	No	Strong Life Science	 15318 	Private
Public	Georgia Institute of Technology	GA	Doctoral	No	No	Moderate Engineering	 19413 	Public
Private	Harvard University	MA	Doctoral and Professional	Yes	No	Strong Life Science	 26496 	Private
Public	Indiana University - Bloomington	IN	Doctoral and Professional	No	No	Heavy Life Science	 40354 	Public
Public	Indiana University-Purdue University - Indianapolis	IN	Doctoral and Professional	Yes	No	Strong Engineering	 30300 	Public
Public	Iowa State University	IA	Doctoral and Professional	No	Yes	Moderate Physical Science and Moderate Engineering	 26856 	Public
Private	Johns Hopkins University	MD	Doctoral and Professional	Yes	No	Strong Environmental Science and 	 19758 	Private
Public	Kansas State University	KS	Doctoral and Professional	No	Yes	Moderate Engineering	 23520 	Public
Public	Louisiana State University - Baton Rouge	LA	Doctoral and Professional	No	Yes-System	Moderate Physical Science	 28810 	Public
Public	Louisiana State University Health Sciences Center	LA	Doctoral and Professional	Yes	No-System	Moderate Life Science	 2431 	Public
Private	Massachusetts Institute of Technology	MA	Doctoral and Professional	No	No	All Life Science and 	 10299 	Private
Private	Medical College of Wisconsin	WI	Doctoral and Professional	Yes	No	All Physical Science	 1228 	Private
Public	Medical University of South Carolina	SC	Doctoral and Professional	Yes	No	Heavy Life Science	 2528 	Public
Public	Michigan State University	MI	Doctoral and Professional	Yes	Yes	Moderate Life Science	 46510 	Public
Public	Mississippi State University	MS	Doctoral and Professional	No	Yes	Heavy Physical Science and 	 17824 	Public
Public	Montana State University - Bozeman	MT	Doctoral	No	Yes	Strong Life Science	 11976 	Public
Private	Mount Sinai School of Medicine	NY	Doctoral and Professional	Yes	No	Moderate Life Science	 902 	Private
Public	New Jersey Institute of Technology	NJ	Doctoral	No	No	Heavy Psychology	 8398 	Public
Public	New Mexico Institute of Mining and Technology	NM	Doctoral	No	No	Moderate Engineering and Moderate Computer Science	 1767 	Public
Public	New Mexico State University - Las Cruces	NM	Doctoral	No	Yes	Strong Life Science	 17239 	Public
Private	New York University	NY	Doctoral and Professional	No	No	Moderate Physical Science	 42189 	Private
Public	North Carolina State University	NC	Doctoral and Professional	No	Yes	Moderate Physical Science and 	 32872 	Public
Public	North Dakota State University	ND	Doctoral and Professional	No	Yes	Moderate Life Science and Moderate Environmental Science	 13230 	Public
Private	Northwestern University	IL	Doctoral and Professional	Yes	No	Strong Life Science	 19291 	Private
Public	Ohio State University - Columbus	OH	Doctoral and Professional	Yes	Yes	Heavy Life Science	 53715 	Public
Public	Oklahoma State University - Stillwater	OK	Doctoral and Professional	No	Yes	Strong Life Science and Moderate Social Science	 22995 	Public
Public	Oregon Health & Science University	OR	Doctoral and Professional	Yes	No	Moderate Physical Science	 2424 	Public
Public	Oregon State University	OR	Doctoral and Professional	No	Yes	Strong Life Science and Moderate Physical Science	 20305 	Public
Public	Pennsylvania State University - Hershey Medical Ctr	PA	Doctoral and Professional	Yes	No	Strong Life Science	 818 	Public
Public	Pennsylvania State University - University Park	PA	Doctoral	No	Yes	Strong Life Science	 44406 	Public
Private	Princeton University	NJ	Doctoral	No	No	Moderate Life Science	 7330 	Private
Public	Purdue University - West Lafayette	IN	Doctoral and Professional	No	Yes	Strong Physical Science and Moderate Environmental Science	 41433 	Public
Private	Rensselaer Polytechnic Institute	NY	Doctoral	No	No	Strong Environmental Science	 6777 	Private
Private	Rice University	TX	Doctoral	No	No	Strong Life Science and Moderate Social Science	 5357 	Private
Private	Rockefeller University	NY	Doctoral	No	No	Strong Life Science	 207 	Private
Private	Rush University	IL	Doctoral and Professional	Yes	No	All Life Science	 1731 	Private
Public	Rutgers the State University of NJ - New Brunswick	NJ	Doctoral and Professional	No	Yes	All Life Science	 36041 	Public
Private	Saint Louis University - St. Louis	MO	Doctoral and Professional	Yes	No	Moderate Life Science	 16086 	Private
Private	Scripps Research Institute	CA	Doctoral	No	No	All Life Science		Private
Private	Stanford University	CA	Doctoral and Professional	Yes	No	Strong Life Science	 17833 	Private
Public	Stony Brook University	NY	Doctoral and Professional	Yes	No	All Life Science	 23991 	Public
Public	Temple University	PA	Doctoral and Professional	Yes	No	Moderate Life Science	 35490 	Public
