National Academy Membership
Control	Institution	2009	2009_NationalRank	2009_ControlRank	2008	2008_NationalRank	2008_ControlRank	2007	2007_NationalRank	2007_ControlRank	2006	2006_NationalRank	2006_ControlRank	2005	2005_NationalRank	2005_ControlRank
Public	Arizona State University	20 	51 	29 	20 	51 	29 	17 	52 	29 	16 	55 	31 	16 	55 	31 
Public	Auburn University	1 	153 	95 	2 	127 	77 	0 	202 	127 	0 	194 	117 	0 	196 	121 
Private	Baylor College of Medicine	14 	58 	27 	14 	58 	27 	16 	56 	25 	16 	55 	25 	16 	55 	25 
Private	Boston University	16 	56 	25 	16 	55 	25 	16 	56 	25 	16 	55 	25 	16 	55 	25 
Private	Brown University	17 	53 	23 	17 	52 	23 	18 	51 	23 	18 	52 	23 	18 	50 	23 
Private	California Institute of Technology	106 	8 	5 	106 	6 	4 	107 	6 	4 	103 	6 	4 	104 	6 	4 
Private	Carnegie Mellon University	32 	32 	18 	32 	32 	18 	30 	34 	18 	28 	36 	18 	28 	36 	18 
Private	Case Western Reserve University	17 	53 	23 	17 	52 	23 	17 	52 	24 	18 	52 	23 	20 	47 	21 
Private	Charles R. Drew University of Medicine and Science	1 	153 	59 	1 	156 	58 	1 	150 	59 	1 	148 	58 	1 	143 	57 
Public	Clemson University	1 	153 	95 	1 	156 	99 	1 	150 	92 	0 	194 	117 	1 	143 	87 
Public	Colorado State University	6 	93 	53 	5 	96 	56 	6 	86 	49 	7 	80 	46 	6 	85 	50 
Private	Columbia University	113 	5 	4 	104 	8 	6 	101 	8 	6 	102 	8 	6 	99 	9 	7 
Private	Cornell University	61 	18 	10 	62 	18 	10 	63 	17 	10 	62 	17 	10 	64 	17 	10 
Private	Cornell University Weill Medical College	13 	61 	29 	13 	60 	28 	10 	68 	33 	11 	67 	32 	12 	61 	28 
Private	Dartmouth College	14 	58 	27 	12 	63 	30 	14 	59 	28 	13 	59 	28 	12 	61 	28 
Private	Drexel University	7 	84 	38 	6 	90 	39 	7 	82 	37 	6 	88 	36 	6 	85 	36 
Private	Duke University	54 	20 	11 	53 	20 	11 	54 	20 	11 	56 	19 	11 	54 	20 	11 
Private	Emory University	23 	45 	21 	23 	45 	21 	23 	44 	21 	21 	47 	21 	19 	49 	22 
Public	Florida International University	2 	127 	75 	2 	127 	77 	2 	125 	74 	1 	148 	91 	1 	143 	87 
Public	Florida State University	7 	84 	47 	7 	83 	47 	7 	82 	46 	7 	80 	46 	7 	81 	46 
Public	George Mason University	3 	110 	65 	3 	110 	64 	2 	125 	74 	2 	123 	73 	2 	122 	72 
Private	George Washington University	7 	84 	38 	7 	83 	37 	6 	86 	38 	4 	100 	42 	4 	100 	42 
Private	Georgetown University	7 	84 	38 	6 	90 	39 	5 	96 	40 	5 	93 	38 	5 	93 	38 
Public	Georgia Institute of Technology	28 	36 	18 	28 	35 	17 	30 	34 	17 	28 	36 	19 	28 	36 	19 
Private	Harvard University	327 	1 	1 	327 	1 	1 	284 	1 	1 	286 	1 	1 	283 	1 	1 
Public	Indiana University - Bloomington	11 	67 	35 	10 	67 	35 	10 	68 	36 	10 	69 	36 	11 	65 	34 
Public	Indiana University-Purdue University - Indianapolis	6 	93 	53 	6 	90 	52 	6 	86 	49 	7 	80 	46 	6 	85 	50 
Public	Iowa State University	8 	75 	41 	9 	70 	37 	9 	70 	37 	10 	69 	36 	9 	71 	37 
Private	Johns Hopkins University	85 	13 	9 	86 	13 	9 	85 	13 	9 	77 	13 	9 	73 	13 	9 
