SAT
Control	Institution	2009	2009_SAT 2009_Natl Rank	2009 SAT Ctrl Rank	2008	2008 SAT Natl Rank	2008 SAT Ctrl Rank	2007	2007 SAT Natl Rank	2007 SAT Ctrl Rank	2006	2006 SAT Natl Rank	2006 SAT Ctrl Rank	2005	2005 SAT Natl Rank	2005 SAT Ctrl Rank
Public	Arizona State University	1075	515	155	1095	445	120	1095	457	124	1110	403	105	1075	504	140
Public	Auburn University	1170	223	56	1130	315	80	1130	315	77	1110	403	105	1110	393	96
Private	Baylor College of Medicine															
Private	Boston University	1270	95	83	1275	94	84	1275	92	81	1300	78	73	1305	72	68
Private	Brown University	1430	16	16	1430	15	15	1440	13	13	1435	16	16	1415	19	19
Private	California Institute of Technology	1515	1	1	1525	1	1	1520	1	1	1510	1	1	1510	1	1
Private	Carnegie Mellon University	1395	31	31	1390	28	28	1395	25	25	1380	35	35	1385	27	27
Private	Case Western Reserve University	1310	68	64	1305	71	65	1330	56	53	1340	55	54	1340	53	52
Private	Charles R. Drew University of Medicine and Science															
Public	Clemson University	1225	139	28	1215	154	30	1215	157	30	1205	171	36	1205	176	37
Public	Colorado State University	1110	374	99	1110	383	96	1110	387	98	1110	403	105	1110	393	96
Private	Columbia University	1435	12	12	1435	13	13	1440	13	13	1440	12	12	1440	11	11
Private	Cornell University	1400	26	26	1395	26	26	1385	32	32	1385	30	30	1390	24	24
Private	Cornell University Weill Medical College															
Private	Dartmouth College	1440	10	10	1450	9	9	1450	10	10	1450	11	11	1455	8	8
Private	Drexel University	1200	175	142	1195	182	145	1120	356	270	1190	203	157	1205	176	140
Private	Duke University	1440	10	10	1435	13	13	1470	6	6	1430	19	19	1430	16	16
Private	Emory University	1385	35	35	1385	33	33	1385	32	32	1380	35	35	1380	30	30
Public	Florida International University	1110	374	99	1100	435	115	1100	447	118	1105	441	121	1125	348	83
Public	Florida State University	1190	191	40	1180	209	49	1160	268	61	1160	251	57	1165	256	56
Public	George Mason University	1115	366	96	1120	364	92	1110	387	98	1105	441	121	1095	452	121
Private	George Washington University	1290	82	73	1285	83	74	1295	77	70	1280	88	78	1275	96	86
