Total Research
Control	Institution	2009	2009_NationalRank	2009_ControlRank	2008	2008_NationalRank	2008_ControlRank	2007	2007_NationalRank	2007_ControlRank	2006	2006_NationalRank	2006_ControlRank	2005	2005_NationalRank	2005_ControlRank
Public	Arizona State University	 259503 	69 	47 	 224352 	76 	52 	 201955 	82 	55 	 166923 	95 	64 	 152164 	96 	67 
Public	Auburn University	 146984 	109 	73 	 140629 	106 	73 	 126522 	112 	78 	 132203 	104 	70 	 125705 	108 	73 
Private	Baylor College of Medicine	 449301 	33 	13 	 438280 	33 	13 	 462375 	24 	8 	 458694 	24 	8 	 476075 	20 	7 
Private	Boston University	 255022 	71 	23 	 249279 	68 	23 	 255615 	63 	23 	 246520 	63 	22 	 240867 	58 	20 
Private	Brown University	 157670 	101 	33 	 152619 	101 	33 	 157926 	99 	32 	 138262 	103 	34 	 130741 	105 	33 
Private	California Institute of Technology	 272881 	62 	22 	 285488 	59 	21 	 270269 	61 	22 	 265364 	58 	21 	 261098 	53 	18 
Private	Carnegie Mellon University	 210619 	83 	26 	 197143 	83 	26 	 212506 	80 	26 	 200297 	78 	26 	 205149 	76 	23 
Private	Case Western Reserve University	 416077 	37 	16 	 372374 	39 	17 	 369264 	37 	15 	 323618 	42 	18 	 231800 	64 	21 
Private	Charles R. Drew University of Medicine and Science	 49224 	180 	49 	 52118 	177 	49 	 47188 	179 	49 	 43231 	178 	50 	 51994 	163 	46 
Public	Clemson University	 195195 	91 	62 	 211760 	79 	55 	 179840 	94 	63 	 175127 	92 	61 	 158585 	93 	64 
Public	Colorado State University	 295235 	58 	37 	 288497 	57 	37 	 253992 	64 	41 	 236211 	69 	47 	 214888 	71 	50 
Private	Columbia University	 548704 	22 	7 	 545995 	20 	7 	 529945 	21 	7 	 535424 	17 	6 	 468484 	21 	8 
Private	Cornell University	 458763 	31 	11 	 449307 	29 	10 	 443879 	29 	12 	 428404 	29 	12 	 406341 	30 	12 
Private	Cornell University Weill Medical College	 195233 	90 	29 	 192629 	85 	28 	 204923 	81 	27 	 178400 	89 	31 	 169213 	87 	29 
Private	Dartmouth College	 186938 	95 	31 	 192846 	84 	27 	 200277 	83 	28 	 179094 	87 	30 	 173266 	84 	28 
Private	Drexel University	 100911 	136 	39 	 96575 	134 	40 	 96687 	136 	40 	 88049 	138 	40 	 76120 	140 	40 
Private	Duke University	 766906 	7 	2 	 781843 	7 	2 	 657080 	10 	4 	 630752 	10 	4 	 520871 	13 	5 
Private	Emory University	 441222 	34 	14 	 398383 	36 	15 	 345989 	43 	18 	 333665 	40 	16 	 311685 	43 	15 
Public	Florida International University	 95706 	140 	99 	 90903 	139 	99 	 65805 	158 	112 	 76678 	145 	104 	 63545 	150 	108 
Public	Florida State University	 182314 	96 	65 	 189565 	89 	60 	 185633 	90 	60 	 172858 	94 	63 	 168132 	89 	60 
Public	George Mason University	 72542 	158 	113 	 58252 	167 	121 	 50381 	174 	127 	 42630 	182 	131 	 46210 	174 	126 
Private	George Washington University	 157145 	102 	34 	 126110 	116 	38 	 113982 	123 	38 	 107715 	124 	38 	 103473 	123 	38 
Private	Georgetown University	 142623 	111 	37 	 131785 	113 	36 	 118558 	118 	36 	 123938 	110 	36 	 126320 	107 	35 
Public	Georgia Institute of Technology	 522136 	25 	18 	 472591 	27 	19 	 440898 	31 	19 	 425386 	30 	18 	 410799 	29 	18 
Private	Harvard University	 453028 	32 	12 	 451276 	28 	9 	 453156 	27 	10 	 447196 	25 	9 	 454495 	24 	9 
Public	Indiana University - Bloomington	 150788 	105 	70 	 109567 	127 	89 	 142002 	105 	72 	 122855 	113 	77 	 153667 	94 	65 
Public	Indiana University-Purdue University - Indianapolis	 261151 	67 	45 	 185414 	93 	62 	 213002 	79 	54 	 184282 	83 	54 	 230501 	65 	44 
