100 Under 50 rank	World University Rankings 2011-2012 position	Institution	Lat;long	Country	Year founded	Teaching	Research	Citations	Income from Industry	International mix	Overall score
4	86	University of California;Irvine	33.64755;-117.84116	US	1965	42.2	51.5	93.5	45.6	36.3	60.0
7	110	University of California;Santa Cruz	36.9995;-122.0613	US	1965	31.6	45.4	99.9	29.5	29.8	56.0
11	167	University of Illinois at Chicago	41.8775;-87.6515	US	1965	59.9	49.1	43.3	38.6	27.2	48.7
21	201-225	University of Medicine and Dentistry of New Jersey	40.74384;-74.19173	US	1970	62.7	19.8	55.6	34.3	31.0	44.6
29	251-275	University of Texas at Dallas	32.9878;-96.7475	US	1969	28.2	50.3	44.2	31.1	35.9	40.3
53	276-300	University of Texas at San Antonio	29.5833;-98.6190	US	1969	17.1	19.5	70.3	25.3	22.6	34.4
57	301-350	George Mason University	38.83212;-77.30416	US	1972	36.0	23.3	42.6	25.1	23.8	33.0
63	301-350	University of Maryland;Baltimore County	39.2561;-76.7105	US	1966	22.0	20.6	52.8	29.9	18.6	30.8
84	–	Florida International University	25.7544;-80.3753	US	1965	28.7	25.3	18.2	31.0	30.2	24.7
8	121	University of York	36.9906;-122.0584	UK	1963	43.1	50.1	71.6	33.9	72.7	55.7
9	131	Lancaster University	54.01183;-2.7941	UK	1964	38.2	43.2	75.4	27.5	78.6	53.6
10	145	University of East Anglia	52.6237;1.2404	UK	1963	32.2	32.7	85.6	28.0	68.5	51.0
13	157	University of Warwick	52.38286;-1.5644	UK	1965	42.1	49.3	45.0	31.3	85.5	48.1
20	201-225	University of Essex	CO4 3SQ	UK	1965	38.5	48.6	37.0	28.3	90.1	44.7
35	251-275	Brunel University	51.5353;-0.4730	UK	1966	22.3	29.0	51.7	30.0	89.9	38.4
37	251-275	University of Bath	51.3775;-2.3266	UK	1966	31.3	30.4	39.9	38.9	80.6	37.5
50	301-350	University of Stirling	56.14653;-3.9185	UK	1967	22.2	31.2	42.0	26.6	69.5	34.5
56	301-350	University of Surrey	GU2 7	UK	1966	40.5	34.1	12.4	46.9	81.5	33.4
60	301-350	Plymouth University	50.37569;-4.1381	UK	1992	15.7	19.3	58.1	25.8	49.0	32.2
61	301-350	Keele University	53.00058;-2.2744	UK	1962	22.6	25.8	39.8	28.1	62.6	31.9
62	301-350	University of Hertfordshire	51.7522;-0.2352	UK	1992	15.9	10.9	55.5	27.1	76.5	31.1
69	351-400	Loughborough University	LE11 3TU	UK	1966	32.0	31.8	9.2	39.4	66.7	27.9
71	351-400	University of Strathclyde	55.86144;-4.2420	UK	1964	30.4	24.1	19.3	33.1	63.0	27.7
72	351-400	Heriot-Watt University	EH14 4AS	UK	1966	27.2	21.8	18.8	41.1	82.6	27.6
72	351-400	Liverpool John Moores University	53.40320;-2.97105	UK	1992	15.4	12.7	48.4	26.9	52.6	27.6
80	351-400	University of Kent	51.29726;1.06071	UK	1965	19.4	25.1	19.1	26.5	82.5	25.9
83	351-400	Aston University	52.48577;-1.88883	UK	1966	19.8	28.2	11.7	26.8	84.5	24.9
90	–	City University London	EC1V 0HB	UK	1966	23.1	24.1	7.0	27.2	78.8	22.9
92	–	University of Bradford	53.79174;-1.76664	UK	1966	22.4	21.3	8.4	31.4	80.0	22.4
32	201-225	Bilkent University	39.8696;32.7488	Turkey	1984	29.9	24.3	60.8	29.4	48.5	38.9
30	251-275	National Sun Yat-Sen University	22.62538;120.26579	Taiwan	1980	32.4	44.9	48.5	42.1	16.0	40.0
55	301-350	National Taiwan University of Science and Technology	25.01457;121.54174	Taiwan	1974	31.1	53.6	19.4	42.9	15.6	33.5
70	351-400	Yuan Ze University	24.9705;121.2634	Taiwan	1989	14.2	14.3	58.3	29.2	12.8	27.8
89	–	Feng Chia University	24.17919;120.64674	Taiwan	1980	12.7	17.7	41.4	33.5	12.8	23.3
95	–	National Yang-Ming University	25.1231;121.5133	Taiwan	1975	35.4	22.4	8.7	26.9	14.7	21.7
2	46	École Polytechnique Fédérale de Lausanne	46.52173;6.5641	Switzerland	1968	55.9	40.9	95.3	46.7	98.9	66.2
23	201-225	Umeå University	63.82097;20.3037	Sweden	1965	25.2	40.4	59.4	26.3	52.0	42.1
27	226-250	Swedish University of Agricultural Sciences	59.8164;17.6626	Sweden	1977	36.2	30.2	49.8	100.0	43.5	40.6
59	301-350	Linköping University	58.3953;15.5776	Sweden	1975	23.8	26.3	42.8	31.8	48.6	32.3
17	186	Pompeu Fabra University	41.37897;2.17928	Spain	1990	28.1	19.8	87.6	37.6	54.3	45.7
24	201-225	Autonomous University of Barcelona	41.50000;2.10508	Spain	1968	35.9	30.8	57.9	37.0	45.9	41.7
