qsrank	schoolname	qsstars	overall	academic	employer	faculty	international	internationalstudents	citations	arts	engineering	life	natural	social
1	University of Cambridge	5	100.00	100	100	98.9	98.4	96.6	92.7	93.4	68.6	82.9	100	77.3
2	Harvard University	5	99.30	100	100	96.4	76.9	86	100	100	46.9	100	98.6	100
3	Massachusetts Institute of Technology (MIT)	6	99.20	100	100	99.9	50	97.9	99.6	47.9	100	61	95.6	64.8
4	Yale University	5	98.80	100	100	100	84.3	65.6	97.2	82	26.2	59.4	56.7	68.5
5	University of Oxford	5	98.00	100	100	100	98.2	95.9	82	95.4	53.9	77.7	91.9	79.5
6	Imperial College London	5	97.60	99.8	100	99.7	99.7	99.9	79.6	22.8	65.2	55.4	67.8	27.8
7	UCL (University College London)	5	97.30	99.4	82	99	96.2	99.7	89.5	52.4	32.9	47.9	39.6	42.4
8	University of Chicago	5	96.10	99.9	90	95.8	71.5	81.4	92.3	67.5	18.9	35.2	56.5	69.7
9	University of Pennsylvania	5	95.70	98.7	90	99.5	64.1	66.3	94.9	48.2	26.2	38.9	31.1	55.2
10	Columbia University	5	95.30	99.9	100	95.8	17.1	86.2	95.8	67.2	28.4	43.9	47.3	63.7
11	Stanford University	5	93.40	100	100	74.9	36.6	96.5	100	73.8	79.9	68.7	82	78.1
12	California Institute of Technology (Caltech)	5	93.00	99	25.8	97	99	93.9	100	11.4	67.2	36.2	74.8	16.1
13	Princeton University	5	91.90	100	67.9	75.3	96.5	69.3	100	75.4	43.3	36.4	76.6	61.2
14	University of Michigan	5	91.30	99.8	90	91.5	53.6	51.2	85.3	54.6	45.6	37.2	42.2	53.9
15	Cornell University	6	90.70	99.8	90	74.7	44.7	70.2	96.8	52	43.1	45.3	53.1	44.4
16	Johns Hopkins University	5	90.00	95.9	55.9	99.3	18.2	70.9	99.8	30.2	22.1	64.3	31	25.2
17	McGill University	5	89.60	98.8	90	89.9	82	94.2	62.6	46.7	35.1	41.3	40.6	39
18	ETH Zurich (Swiss Federal Institute of Technology)	6	89.50	99.2	74.6	54.4	100	99.1	99	21.6	58.6	38.9	69.3	23.2
19	Duke University	5	89.30	95.4	65	99.8	17.5	55.5	96.3	44.2	18.7	39.1	27.5	39.8
20	University of Edinburgh	6	87.80	98.9	90	73.7	88.8	92.7	68.8	53.2	31.3	42.7	39.3	36.5
21	University of California, Berkeley (UCB)	6	87.60	100	100	44.7	95.2	62.2	95.7	86	79.3	63.3	93.9	78
22	University of Hong Kong	6	87.00	98.9	59.4	95.1	100	98.9	54.5	48	33.8	39.7	37.4	45.9
23	University of Toronto	6	86.20	99.9	90	65.3	91.3	49	77.3	56.8	45.1	48	51.8	48.2
24	Northwestern University	5	85.90	91.5	77.1	82.8	12.4	80.9	93.6	29.4	26.7	23	29.5	43.3
25	The University of Tokyo	5	85.90	100	90	92.2	10.8	29.2	74	58.9	64.2	59.4	72.7	55.3
26	Australian National University	5	85.70	99.8	59.4	71.7	100	96.8	70	57.2	34.1	35.3	52.7	54.4
27	King's College London (KCL)	5	85.00	92	59.4	87.5	95.3	92.4	68.5	42.3	15.9	41.7	24	30.1
28	National University of Singapore (NUS)	6	84.10	100	92.6	72.2	100	99.4	43.9	57.5	57	52.8	54.1	60.1
29	The University of Manchester	5	84.00	98.4	100	66	89.2	90.1	54.1	40.1	39.8	34.3	39.3	41.8
30	University of Bristol	5	83.70	89.3	90	77.1	87.7	73	69.3	30.1	24.9	27.5	35.9	26.3
31	The University of Melbourne	5	83.60	99.8	100	38.1	80.7	95.2	78.4	51.7	40.5	49.9	45.4	50.4
32	Kyoto University	5	82.90	99.8	59.4	96.5	14.5	24	70.9	47.6	46.1	44.5	57.9	38.8
33	Ecole normale supérieure, Paris	5	82.40	93.5	59.4	94.3	29.5	72.3	67.8	36.3	24.6	20	52.3	22
34	University of California, Los Angeles (UCLA)	4	81.90	100	90	48.7	4.1	27.1	99.9	70.7	50.1	59.3	59.8	60.9
35	Ecole Polytechnique Fédérale de Lausanne	5	81.80	78.6	52.1	97.7	100	100	69.9	9.5	41.3	18.6	37.8	12.7
36	Ecole Polytechnique	5	80.50	75.5	90	100	73.4	94.8	56.9	10.4	37.8	12.2	39.3	14.6
37	The Chinese University of Hong Kong	5	79.50	92	55.9	80.8	98.2	75	53.8	37.6	25.3	26.7	27.5	37
38	The University of Sydney	5	79.30	99.5	74.7	53.4	99.7	94.3	50.6	50.9	36.3	47.7	41	44.1
39	Brown University	5	79.20	85	55.9	68.5	44	49.1	98.8	42.5	18.6	19.7	26.3	26.2
40	The Hong Kong University of Science and Technology	5	79.10	91.7	47.5	83.5	100	98.6	47.5	19.4	43.3	22.8	33.3	34
41	University of Wisconsin-Madison	5	79.00	96.4	55.9	78.4	46.2	36	67.6	36.1	30.2	32.2	38.3	38.8
42	Seoul National University	5	78.70	98.3	55.9	93	43.1	60.5	42.2	40.1	38.6	35.1	40.8	39.4
43	Carnegie Mellon University	4	78.50	88	59.4	71.4	38.1	94.4	74.5	23.7	51.5	14.4	26.5	24.9
44	New York University (NYU)	4	77.70	97	63.5	91.7	23.8	58.6	43	55.5	15.5	28.6	30.2	51.2
45	Osaka University	4	77.50	89.7	55.9	91.9	15.1	28.6	70.1	22.5	31.8	30.9	37.2	23.8
46	Peking University	4	77.40	99.8	82.6	90.4	35.5	39.4	29.7	53.4	38.3	42.5	54.1	47
47	Tsinghua University	3	76.30	98.7	86.5	86.1	52.8	30.1	26.4	35.8	55.3	31.7	44.1	34
48	The University of Queensland	4	75.90	94.4	59.4	38.6	97.5	92	67.6	32.8	29.9	35.8	32.5	33
49	The University of New South Wales	4	75.70	96.1	78.6	36.2	92.4	95.7	56.3	33.1	36.3	31.9	33.7	38.6
50	The University of Warwick	5	74.90	89.9	100	59.4	90	98.7	30.7	37.7	19.3	17.4	30.2	42.2
