Genbank	Microarray_expression_storage_index		
NM_003557.1	770		0
NM_198402.2	1770		1
NM_007033.2	2770		2
	3770		3
	4770		4
NM_017750.2	5770		5
NM_004305.2	6770		6
BC040036.1	7770		7
	8770		8
NM_033082.1	9770		9
NM_001274.2	10770		10
NM_014045.2	11770		11
NM_194279.1	12770		12
AF116628.1	13770		13
NM_181503.1	14770		14
NM_006098.2	15770		15
NM_133433.2	16770		16
NM_020684.2	17770		17
NM_005831.3	18770		18
NM_173607.2	19770		19
BC014495.1	20770		20
NM_001642.1	21770		21
	22770		22
NM_004045.2	23770		23
NM_021934.3	24770		24
	25770		25
NM_000859.1	26770		26
NM_000305.1	27770		27
NM_032731.2	28770		28
NM_018135.2	29770		29
	30770		30
NM_014014.2	31770		31
	32770		32
	33770		33
NM_003730.3	34770		34
NM_183001.2	35770		35
NM_022061.2	36770		36
NM_148179.1	37770		37
NM_014969.3	38770		38
NM_006423.1	39770		39
	40770		40
	41770		41
NM_014294.3	42770		42
NM_133646.1	43770		43
NM_172316.1	44770		44
NM_173562.3	45770		45
NM_014372.3	46770		46
NM_001028.2	47770		47
	48770		48
NM_015324.2	49770		49
NM_004156.1	50770		50
NM_017670.1	51770		51
NM_015909.2	52770		52
AK025646.1	53770		53
BC022928.1	54770		54
M22878.1_CDS_1	55770		55
AX399071.1_CDS_1	56770		56
NM_006812.1	57770		57
	58770		58
NM_003295.1	59770		59
NM_198530.1	60770		60
NM_032870.1	61770		61
NM_016283.3	62770		62
NM_004330.1	63770		63
NM_000687.1	64770		64
NM_016237.3	65770		65
BC018206.1	66770		66
AL161628.9_CDS_1	67770		67
AX775845.1	68770		68
NM_144963.1	69770		69
NM_015919.2	70770		70
AL138731.10_CDS_1	71770		71
	72770		72
BC035229.1	73770		73
NM_203346.1	74770		74
	75770		75
NM_001261.2	76770		76
NM_152318.1	77770		77
NM_030938.2	78770		78
NM_016576.2	79770		79
NM_201260.1	80770		80
NM_019095.3	81770		81
NM_001011.2	82770		82
	83770		83
NM_030983.1	84770		84
NM_004373.2	85770		85
NM_013326.2	86770		86
NM_017742.3	87770		87
NM_006442.2	88770		88
NM_002970.1	89770		89
	90770		90
NM_016417.2	91770		91
BC039555.2	92770		92
NM_007075.2	93770		93
NM_020765.1	94770		94
	95770		95
NM_172173.1	96770		96
NM_016209.1	97770		97
NM_004652.2	98770		98
NM_178564.2	99770		99
NM_006708.1	100770		100
	101770		101
NM_152827.1	102770		102
	103770		103
NM_001018.2	104770		104
NM_005625.1	105770		105
NM_000971.2	106770		106
NM_012403.1	107770		107
NM_020117.8	108770		108
NM_003093.1	109770		109
	110770		110
NM_003350.2	111770		111
NM_138820.1	112770		112
	113770		113
	114770		114
	115770		115
NM_006164.2	116770		116
BC070367.1	117770		117
NM_001003.2	118770		118
	119770		119
	120770		120
NM_015446.1	121770		121
	122770		122
NM_138773.1	123770		123
NM_018834.3	124770		124
NM_003289.3	125770		125
	126770		126
AK075375.1	127770		127
AL353580.7_CDS_3	128770		128
	129770		129
	130770		130
NM_005015.1	131770		131
NM_002685.1	132770		132
NM_018947.4	133770		133
NM_032111.1	134770		134
NM_014755.1	135770		135
NM_004643.1	136770		136
NM_017931.1	137770		137
	138770		138
	139770		139
NM_005517.1	140770		140
NM_001960.2	141770		141
NM_017819.1	142770		142
NM_012328.1	143770		143
NM_015578.1	144770		144
	145770		145
NM_004689.2	146770		146
NM_015582.1	147770		147
NM_024292.2	148770		148
NM_000987.2	149770		149
	150770		150
NM_203364.1	151770		151
NM_014739.1	152770		152
	153770		153
NM_000123.1	154770		154
NM_025264.2	155770		155
BC003397.1	156770		156
NM_015469.1	157770		157
NM_016037.1	158770		158
AL136738.1	159770		159
	160770		160
NM_000099.2	161770		161
AL035304.1	162770		162
NM_007056.1	163770		163
NM_003589.1	164770		164
NM_015003.3	165770		165
NM_001659.1	166770		166
NM_002806.2	167770		167
NM_018093.1	168770		168
NM_003932.3	169770		169
NM_001404.3	170770		170
NM_016074.1	171770		171
NM_032954.1	172770		172
	173770		173
NM_000990.2	174770		174
NM_001001651.1	175770		175
NM_016940.1	176770		176
NM_014064.1	177770		177
NM_014267.3	178770		178
NM_003418.1	179770		179
NM_001643.1	180770		180
NM_001087.1	181770		181
NM_014251.1	182770		182
NM_144775.1	183770		183
	184770		184
NM_003750.1	185770		185
NM_012234.3	186770		186
NM_025137.2	187770		187
NM_003128.1	188770		188
NM_003100.2	189770		189
NM_003910.2	190770		190
	191770		191
NM_006022.2	192770		192
	193770		193
NM_005778.1	194770		194
NM_015374.1	195770		195
NM_003690.3	196770		196
NM_032853.2	197770		197
	198770		198
NM_182580.1	199770		199
	200770		200
NM_014923.2	201770		201
NM_004640.4	202770		202
	203770		203
NM_052951.2	204770		204
NM_003690.3	205770		205
NM_003016.2	206770		206
NM_001610.1	207770		207
	208770		208
NM_017715.1	209770		209
NM_001979.3	210770		210
	211770		211
	212770		212
NM_014574.2	213770		213
Z80783.1_CDS_1	214770		214
AL833497.1	215770		215
NM_016131.2	216770		216
NM_152740.2	217770		217
	218770		218
	219770		219
NM_031243.1	220770		220
NM_007062.1	221770		221
NM_002128.3	222770		222
NM_001001411.1	223770		223
NM_018971.1	224770		224
NM_002805.4	225770		225
NM_001013.2	226770		226
	227770		227
AL096879.1	228770		228
AK090964.1	229770		229
	230770		230
NM_012151.2	231770		231
NM_006937.2	232770		232
NM_002811.3	233770		233
NM_012081.3	234770		234
NM_001001683.1	235770		235
NM_018368.2	236770		236
NM_024665.2	237770		237
NM_015435.3	238770		238
AB007161.1_CDS_1	239770		239
NM_004424.2	240770		240
NM_006476.3	241770		241
NM_018128.4	242770		242
	243770		243
NM_032305.1	244770		244
NM_004493.1	245770		245
NM_017758.2	246770		246
NM_134440.1	247770		247
NM_006930.2	248770		248
NM_012124.1	249770		249
NM_002803.2	250770		250
NM_014828.1	251770		251
NM_014168.1	252770		252
NM_147156.3	253770		253
	254770		254
	255770		255
AF090907.1	256770		256
	257770		257
	258770		258
NM_016494.2	259770		259
NM_006230.1	260770		260
NM_031307.2	261770		261
	262770		262
NM_178865.2	263770		263
NM_007311.2	264770		264
	265770		265
BC058013.1	266770		266
NM_003925.1	267770		267
NM_006715.2	268770		268
NM_018838.3	269770		269
NM_002694.2	270770		270
	271770		271
NM_005077.3	272770		272
NM_005359.3	273770		273
BC001594.2	274770		274
NM_000414.1	275770		275
AK091626.1	276770		276
NM_000972.2	277770		277
NM_015871.2	278770		278
	279770		279
	280770		280
	281770		281
NM_001866.2	282770		282
NM_003664.3	283770		283
NM_007346.2	284770		284
NM_031263.1	285770		285
	286770		286
NM_003542.3	287770		287
	288770		288
	289770		289
NM_002966.1	290770		290
	291770		291
	292770		292
NM_003791.2	293770		293
	294770		294
NM_032280.1	295770		295
NM_005022.2	296770		296
NM_004966.2	297770		297
NM_006287.3	298770		298
NM_000992.2	299770		299
NM_015640.1	300770		300
	301770		301
NM_003510.2	302770		302
NM_006054.2	303770		303
NM_004637.5	304770		304
NM_007241.2	305770		305
AK093006.1	306770		306
NM_004082.2	307770		307
	308770		308
NM_018269.1	309770		309
AK027027.1	310770		310
NM_005770.3	311770		311
NM_012388.2	312770		312
NM_014840.2	313770		313
NM_004182.2	314770		314
NM_018462.3	315770		315
NM_017841.1	316770		316
D85418.1	317770		317
NM_002488.2	318770		318
NM_004911.3	319770		319
NM_020199.1	320770		320
NM_003535.2	321770		321
NM_005517.1	322770		322
NM_172199.1	323770		323
NM_000985.2	324770		324
	325770		325
NM_014456.3	326770		326
	327770		327
NM_203431.1	328770		328
NM_183412.1	329770		329
	330770		330
AX347838.1_CDS_1	331770		331
BC004456.1	332770		332
