GenID	Acc.No	G+ (Genexpression)	G-(Genexpression)
			
ABI 1	NM_005470	-1	-1
ACSL4	NM_004458	6.33	-1
AES	NM_001130	-1	-1
ALDH1	NM_000692	-1	-1
APCS	NM_001639	2.32	-1
ARHGDIB	NM_001175	-1	0.4
C3orf28	NM_014367		
CCL2	NM_002982	2.95	-1
CD44	NM_000610	-1	-1
CPS1	NM_001875	-1	0.48
CXCL10	NM_001565	9.47	2.66
CXCL11	NM_005409	4.38	2.06
CYP2B6	NM_000767	-1	-1
CYP2C8	NM_000770	2.07	-1
CYP2E1	NM_000773	-1	-1
CYP3A4	NM_017460	2.07	-1
GBP1	NM_002053	11.36	4.56
HP	NM_005143	-1	-1
IFITM1	NM_021034	3.03	-1
IGFBP1	NM_000596	2.34	-1
IL8	NM_000584	-1	-1
MCP	NM_002389	8.13	-1
MMP	NM_002423	4.79	-1
OLFM4	NM_006418	-1	-1
PAI1	NM_000602	-1	-1
PLA2G2A	NM_000300	3.36	3.55
PLG	NM_000301	-1	-1
SFTPA2	NM_006926	-1	-1
SOD2	NM_000636	-1	-1
SEPP1	NM_005410	-1	0.4
SERPINA	NM_175739	2.52	2.64
SERPINA3	NM_001085	3.5	-1
SOD2	NM_000636	5.29	2.9
TAP1	NM_000593	-1	-1
THBS1	NM_003246	-1	-1
tPA	NM_033011	-1	-1
TXNIP	NM_006472	-1	-1
UGT	NM_021139	-1	-1
