GenID	Acc.No	G+ (Genexpression)	G-(Genexpression)
			
ABI 1	NM_005470	-1	-1
ACSL4	NM_004458	4.41	4.75
AES	NM_001130	-1	-1
ALDH1	NM_000692	-1	-1
APCS	NM_001639	-1	-1
ARHGDIB	NM_001175	-1	-1
C3orf28	NM_014367	-1	-1
CCL2	NM_002982	11.91	8.78
CD44	NM_000610	-1	-1
CPS1	NM_001875	-1	-1
CXCL10	NM_001565	11.73	17.8
CXCL11	NM_005409	-1	-1
CYP2B6	NM_000767	-1	-1
CYP2C8	NM_000770	-1	2.03
CYP2E1	NM_000773	-1	2.6
CYP3A4	NM_017460	-1	2.13
GBP1	NM_002053	8.54	11.65
HP	NM_005143	-1	2.86
IFITM1	NM_021034	2.33	2.98
IGFBP1	NM_000596	-1	-1
IL8	NM_000584	-1	-1
MCP	NM_002389	3.52	4.75
MMP	NM_002423	4.3	6.05
OLFM4	NM_006418	-1	2.79
PAI1	NM_000602	6.45	5.24
PLA2G2A	NM_000300	0.9	15.22
PLG	NM_000301	-1	-1
SFTPA2	NM_006926	-1	1.36
SOD2	NM_000636	3.45	4.09
SEPP1	NM_005410	0.47	0.71
SERPINA	NM_175739	5.05	9.43
SERPINA3	NM_001085	5.62	8.58
SOD2	NM_000636	-1	-1
TAP1	NM_000593	-1	2.11
THBS1	NM_003246	-1	-1
tPA	NM_033011	-1	-1
TXNIP	NM_006472	-1	-1
UGT	NM_021139	-1	-1
