GenID	Acc.No	G+ (Genexpression)	G-(Genexpression)
			
ABI 1	NM_005470	-1	-1
ACSL4	NM_004458	3.38	6.15
AES	NM_001130	-1	-1
ALDH1	NM_000692	-1	2.1
APCS	NM_001639	-1	-1
ARHGDIB	NM_001175	0.45	-1
C3orf28	NM_014367	0.49	-1
CCL2	NM_002982	6.69	13.36
CD44	NM_000610	0.42	-1
CPS1	NM_001875	-1	2.1
CXCL10	NM_001565	10.64	15.74
CXCL11	NM_005409	-1	4.53
CYP2B6	NM_000767	-1	2.55
CYP2C8	NM_000770	-1	-1
CYP2E1	NM_000773	-1	3.36
CYP3A4	NM_017460	-1	2.49
GBP1	NM_002053	12.15	17.96
HP	NM_005143	3.49	5.87
IFITM1	NM_021034	5.05	9.47
IGFBP1	NM_000596	-1	2.64
IL8	NM_000584	0.46	-1
MCP	NM_002389	5.4	8.89
MMP	NM_002423	2.4	9.02
OLFM4	NM_006418	3.54	8.73
PAI1	NM_000602	9.29	8.85
PLA2G2A	NM_000300	3.56	3.82
PLG	NM_000301	-1	-1
SFTPA2	NM_006926	0.26	0.41
SOD2	NM_000636	3.73	7.33
SEPP1	NM_005410	0.41	0.54
SERPINA	NM_175739	4.98	11.34
SERPINA3	NM_001085	4.16	8.55
SOD2	NM_000636	-1	-1
TAP1	NM_000593	2.25	3.97
THBS1	NM_003246	0.44	-1
tPA	NM_033011	2.74	3.32
TXNIP	NM_006472	-1	-1
UGT	NM_021139	-1	-1
