GenID	Acc.No	G+ (Genexpression)	G-(Genexpression)
			
ABI 1	NM_005470	-1	-1
ACSL4	NM_0044588	2.39	5.46
AES	NM_001130	-1	-1
ALDH1	NM_000692	-1	-1
APCS	NM_001639	-1	-1
ARHGDIB	NM_001175	0.43	-1
C3orf28	NM_014367	0.43	-1
CCL2	NM_002982	6.23	8.67
CD44	NM_000610	0.48	-1
CPS1	NM_001875	-1	-1
CXCL10	NM_001565	6.72	13.42
CXCL11	NM_005409	2.69	4.8
CYP2B6	NM_000767	-1	-1
CYP2C8	NM_000770	-1	-1
CYP2E1	NM_000773	-1	3.45
CYP3A4	NM_017460	-1	-1
GBP1	NM_002053	6.14	13.43
HP	NM_005143	-1	-1
IFITM1	NM_021034	1.5	3.42
IGFBP1	NM_000596	-1	2.18
IL8	NM_000584	0.45	-1
MCP	NM_002389	3.46	-1
MMP	NM_002423	1.91	4.87
OLFM4	NM_006418	3.22	4.15
PAI1	NM_000602	-1	2.25
PLA2G2A	NM_000300	5.54	4.59
PLG	NM_000301	-1	-1
SFTPA2	NM_006926	0.46	0.4
SOD2	NM_000636	4.62	10.2
SEPP1	NM_005410	0.38	0.29
SERPINA	NM_175739	8.5	15.52
SERPINA3	NM_001085	5.02	9.84
SOD2	NM_000636	4.62	10.2
TAP1	NM_000593	2.79	4.78
THBS1	NM_003246	0.44	-1
tPA	NM_033011	2.53	2.6
TXNIP	NM_006472	-1	-1
UGT	NM_021139	-1	0.46
