GenID	Acc.No	G+ (Genexpression)	G-(Genexpression)
			
ABI 1	NM_005470	3.38	4.41
ACSL4	NM_004458	2.91	3.58
AES	NM_001130	-1	-1
ALDH1	NM_000692	0.32	0.34
APCS	NM_001639	0.36	0.28
ARHGDIB	NM_001175	-1	-1
C3orf28	NM_014367	0.42	0.38
CCL2	NM_002982	4.77	7.18
CD44	NM_000610	0.46	-1
CPS1	NM_001875	0.49	0.47
CXCL10	NM_001565	7.47	14.77
CXCL11	NM_005409	2.47	-1
CYP2B6	NM_000767	0.3	0.33
CYP2C8	NM_000770	0.22	0.25
CYP2E1	NM_000773	0.36	0.26
CYP3A4	NM_017460	0.32	0.46
GBP1	NM_002053	11.34	22.01
HP	NM_005143	-1	-1
IFITM1	NM_021034	-1	2.28
IGFBP1	NM_000596	0.25	0.29
IL8	NM_000584	0.49	-1
MCP	NM_002389	2.65	4.01
MMP	NM_002423	2.73	4.63
OLFM4	NM_006418	-1	4.19
PAI1	NM_000602	4	-1
PLA2G2A	NM_000300	7.17	10.47
PLG	NM_000301	0.36	0.44
SFTPA2	NM_006926	0.16	-1
SOD2	NM_000636	-1	-1
SEPP1	NM_005410	0.35	-1
SERPINA	NM_175739	-1	-1
SERPINA3	NM_001085	-1	-1
SOD2	NM_000636	5.33	-1
TAP1	NM_000593	-1	-1
THBS1	NM_003246	0.41	-1
tPA	NM_033011	-1	-1
TXNIP	NM_006472	-1	-1
UGT	NM_021139	0.36	-1
