GenID	Acc.No	G+ (Genexpression)	G-(Genexpression)
			
ABI 1	NM_005470	-1	-1
ACSL4	NM_004458	6.66	5.45
AES	NM_001130	-1	-1
ALDH1	NM_000692	-1	-1
APCS	NM_001639	-1	-1
ARHGDIB	NM_001175	-1	0.35
C3orf28	NM_014367	-1	-1
CCL2	NM_002982	6.1	12.36
CD44	NM_000610	-1	-1
CPS1	NM_001875	-1	-1
CXCL10	NM_001565	10.19	14.91
CXCL11	NM_005409	5.8	7.02
CYP2B6	NM_000767	5.26	-1
CYP2C8	NM_000770	-1	-1
CYP2E1	NM_000773	-1	2
CYP3A4	NM_017460	-1	-1
GBP1	NM_002053	9.04	12.32
HP	NM_005143	2.78	2.12
IFITM1	NM_021034	2.93	3.2
IGFBP1	NM_000596	-1	2.06
IL8	NM_000584	-1	-1
MCP	NM_002389	6.06	8.09
MMP	NM_002423	5.02	7.51
OLFM4	NM_006418	6.61	3.82
PAI1	NM_000602	3.73	7.52
PLA2G2A	NM_000300	6.69	7.27
PLG	NM_000301	-1	-1
SFTPA2	NM_006926	-1	0.45
SOD2	NM_000636	-1	-1
SEPP1	NM_005410	-1	0.18
SERPINA	NM_175739	7.13	5.25
SERPINA3	NM_001085	5.08	4.55
SOD2	NM_000636	7.55	10.87
TAP1	NM_000593	-1	-1
THBS1	NM_003246	-1	-1
tPA	NM_033011	8.73	13.78
TXNIP	NM_006472	-1	0.37
UGT	NM_021139	-1	-1
