GenID	Acc.No	G+ (Genexpression)	G-(Genexpression)
			
ABI 1	NM_005470	-1	-1
ACSL4	NM_004458	2.19	-1
AES	NM_001130	-1	-1
ALDH1	NM_000692	-1	-1
APCS	NM_001639	-1	2.36
ARHGDIB	NM_001175	4.02	-1
C3orf28	NM_014367	-1	-1
CCL2	NM_002982	-1	2.81
CD44	NM_000610	-1	-1
CPS1	NM_001875	-1	-1
CXCL10	NM_001565	4.2	5.26
CXCL11	NM_005409	3.55	3.8
CYP2B6	NM_000767	-1	-1
CYP2C8	NM_000770	0.43	-1
CYP2E1	NM_000773	-1	-1
CYP3A4	NM_017460	0.49	0.49
GBP1	NM_002053	6.46	8.45
HP	NM_005143	-1	-1
IFITM1	NM_021034	3.54	4.44
IGFBP1	NM_000596	-1	-1
IL8	NM_000584	0.47	3.72
MCP	NM_002389	2.97	3.14
MMP	NM_002423	2.86	3.44
OLFM4	NM_006418	-1	-1
PAI1	NM_000602	2.46	-1
PLA2G2A	NM_000300	5.59	1.7
PLG	NM_000301	-1	-1
SFTPA2	NM_006926	0.33	-1
SOD2	NM_000636	7.19	8.46
SEPP1	NM_005410	-1	0.42
SERPINA	NM_175739	6.98	13.24
SERPINA3	NM_001085	5.66	11.52
SOD2	NM_000636	-1	-1
TAP1	NM_000593	-1	2.04
THBS1	NM_003246	0.48	-1
tPA	NM_033011	-1	-1
TXNIP	NM_006472	-1	0.39
UGT	NM_021139	-1	-1
