GenID;Acc.No;G+ (Genexpression);G-(Genexpression)

ACSL4;NM_004458;6.33;-1.00
APCS;NM_001639;2.32;-1.00
ARHGDIB;NM_001175;-1.00;0.40
CCL2;NM_002982;2.95;-1.00
CPS1;NM_001875;-1.00;0.48
CXCL10;NM_001565;9.47;2.66
CXCL11;NM_005409;4.38;2.06
CYP2C8;NM_000770;2.07;-1.00
CYP3A4;NM_017460;2.07;-1.00
GBP1;NM_002053;11.36;4.56
IFITM1;NM_021034;3.03;-1.00
IGFBP1;NM_000596;2.34;-1.00
MCP;NM_002389;8.13;-1.00
MMP;NM_002423;4.79;-1.00
PLA2G2A;NM_000300;3.36;3.55
SEPP1;NM_005410;-1.00;0.40
SERPINA;NM_175739;2.52;2.64
SERPINA3;NM_001085;3.50;-1.00
SOD2;NM_000636;5.29;2.90

NAN..-1.00;;;
