GenID;Acc.No;G+ (Genexpression);G-(Genexpression)

ACSL4;NM_004458;6.66;5.45
ARHGDIB;NM_001175;-1;0.35
CCL2;NM_002982;6.1;12.36
CXCL10;NM_001565;10.19;14.91
CXCL11;NM_005409;5.8;7.02
CYP2E1;NM_000773;-1;2
CYP2B6;NM_000767;5.26;-1
GBP1;NM_002053;9.04;12.32
HP;NM_005143;2.78;2.12
IFITM1;NM_021034;2.93;3.2
IGFBP1;NM_000596;-1;2.06
MCP;NM_002389;6.06;8.09
MMP;NM_002423;5.02;7.51
OLFM4;NM_006418;6.61;3.82
PLA2G2A;NM_000300;6.69;7.27
tPA;NM_033011;8.73;13.78
SEPP1;NM_005410;-1;0.18
SERPINA;NM_175739;7.13;5.25
SERPINA3;NM_001085;5.08;4.55
PAI1;NM_000602;3.73;7.52
SFTPA2;NM_006926;-1;0.45
SOD2;NM_000636;7.55;10.87
TXNIP;NM_006472;-1;0.37

NAN..-1.00;;;
