GenID;Acc.No;G+ (Genexpression);G-(Genexpression)

ACSL4;NM_004458;2.19;-1.00
APCS;NM_001639;-1.00;2.36
ARHGDIB;NM_001175;4.02;-1.00
CCL2;NM_002982;-1.00;2.81
CXCL10;NM_001565;4.20;5.26
CXCL11;NM_005409;3.55;3.80
CYP2C8;NM_000770;0.43;-1.00
CYP3A4;NM_017460;0.49;0.49
GBP1;NM_002053;6.46;8.45
IFITM1;NM_021034;3.54;4.44
IL8;NM_000584;0.47;3.72
MCP;NM_002389;2.97;3.14
MMP;NM_002423;2.86;3.44
PLA2G2A;NM_000300;5.59;1.70
SEPP1;NM_005410;-1.00;0.42
SERPINA;NM_175739;6.98;13.24
SERPINA3;NM_001085;5.66;11.52
PAI1;NM_000602;2.46;-1.00
SFTPA2;NM_006926;0.33;-1.00
SOD2;NM_000636;7.19;8.46
THBS1;NM_003246;0.48;-1.00
TAP1;NM_000593;-1.00;2.04
TXNIP;NM_006472;-1.00;0.39

NAN..-1.00;;;
