GenID;Acc.No;G+ (Genexpression);G-(Genexpression)
;;;
ACSL4;NM_004458;4.94;-1.00
APCS;NM_001639;0.45;0.35
CCL2;NM_002982;2.68;2.05
CXCL10;NM_001565;6.36;3.26
CXCL11;NM_005409;2.53;-1.00
CYP2C8;NM_000770;-1.00;0.41
CYP3A4;NM_017460;0.42;0.34
GBP1;NM_002053;7.51;5.67
C3orf28;NM_014367;-1.00;0.42
IFITM1;NM_021034;3.20;3.34
IGFBP1;NM_000596;0.32;-1.00
MCP;NM_002389;3.67;2.54
MMP;NM_002423;2.66;-1.00
OLFM4;NM_006418;2.12;2.08
PLA2G2A;NM_000300;5.83;3.86
tPA;NM_033011;-1.00;2.07
SEPP1;NM_005410;0.33;0.30
SERPINA;NM_175739;4.37;2.76
SERPINA3;NM_001085;2.86;-1.00
PAI1;NM_000602;2.04;-1.00
SOD2;NM_000636;3.75;3.27
UGT;NM_021139;0.36;0.30

NAN..-1.00;;;
