GenID;Acc.No;G+ (Genexpression);G-(Genexpression)
;;;
ACSL4;NM_004458;8.28;5.69
AES;NM_001130;0.45;0.46
ARHGDIB;NM_001175;0.37;0.33
CCL2;NM_002982;9.15;13.40
CD44;NM_000610;0.50;0.42
CXCL10;NM_001565;18.53;13.65
CXCL11;NM_005409;5.94;5.61
CYP2E1;NM_000773;2.63;2.05
CYP3A4;NM_017460;2.23;2.24
GBP1;NM_002053;16.28;14.96
HP;NM_005143;2.23;2.02
IFITM1;NM_021034;7.31;5.58
IGFBP1;NM_000596;2.34;2.23
IL8;NM_000584;0.43;0.48
MCP;NM_002389;13.76;9.39
MMP;NM_002423;4.44;3.96
OLFM4;NM_006418;3.48;4.10
PLA2G2A;NM_000300;5.28;3.32
SEPP1;NM_005410;0.24;0.19
SERPINA;NM_175739;2.67;2.63
SERPINA3;NM_001085;4.61;3.63
PAI1;NM_000602;4.92;7.06
SFTPA2;NM_006926;1.13;1.16
SOD2;NM_000636;5.13;6.94
THBS1;NM_003246;0.43;0.46
TXNIP;NM_006472;0.32;0.36

NAN..-1.00;;;
