File Name HCC011_K.txt , Type a HCC  normalized	File Name HCC013_K.txt , Type a HCC  normalized	File Name HCC015_WH_KM.txt , Type a HCC  normalized	File Name HCC022_WH_KM.txt , Type a HCC  normalized	File Name HCC025WH.txt , Type a HCC  normalized	File Name HCC031.txt , Type a HCC  normalized	File Name HCC103_WH.txt , Type a HCC  normalized	File Name HCC104.txt , Type a HCC  normalized	File Name HCC105.txt , Type a HCC  normalized	File Name HCC107_WH.txt , Type a HCC  normalized	File Name HCC108.txt , Type a HCC  normalized	File Name HCC114.txt , Type a HCC  normalized	File Name HCC116_K.txt , Type a HCC  normalized	File Name HCC119.txt , Type a HCC  normalized
0.97	2.3	0.75	1.45	0.63	0.74	1.08	0.65	0.73	0.85	2.43	1.05	2.13	1.62
1.6	2.25	1.15	0.91	1.41	1.36	2.91	3.54	1.17	1.29	1.44	1.23	1.56	5.19
1.7	1.79	0.68	0.79	1.11	1.78	2.07	1.67	1.86	1.17	5.52	3.85	1.34	3.24
1.23	0.64	0.6	0.44	0.97	0.84	1.71	1.54	1.04	0.59	1.54	0.98	1.15	0.58
1.54	2.2	1.01	1.03	1.95	2.9	1.15	2.07	1.79	2.43	1.66	2.4	1.34	4.7
2.1	1.58	1.69	1.48	0.88	2.59	1.25	1.19	1.51	1.3	3.35	2.8	1.74	1.93
1.46	2.09	1.04	1.15	1.86	1.31	2.08	3.07	1.67	1.52	3.22	1.95	1.65	3.79
2.38	5.81	1.99	1.73	2.28	0.76	1.33	2.73	2.98	2.5	1.65	1.28	2.16	2.05
1.47	1.57	0.85	1.35	0.9	1.66	1.21	2.84	1.83	1.24	1.51	1.83	2.7	1.82
1.45	1.19	0.59	0.76	0.63	0.74	1	0.92	0.72	0.89	1.07	0.92	1.38	1.83
1.37	1.69	1.22	1.29	1.45	1.32	1.12	1.17	0.66	1.2	2.71	1.92	2.59	1.64
2.27	2.79	2.03	1.25	1.36	4.26	3.06	2.42	2.2	2.41	4.62	3.65	2.33	4.53
1.32	2.1	1.17	1.02	2.01	2.23	1.07	1.85	1.26	1.02	9.26	0.74	1.93	8.79
0.79	2.2	0.44	1.78	0.33	1.39	2.06	4.73	1.68	1.24	1.94	3.1	0.92	3.62
1.54	2.82	1.06	1.32	1.38	1.82	3.27	3.91	2.77	1.63	3.25	4.34	2.21	4.55
1.35	1.95	1.1	1.08	1.71	5.68	1.68	2.31	2.74	1.14	2.13	1.36	1.96	1.54
2.03	3.34	1.23	1.01	1.51	1.84	3.33	5.04	1.75	1.21	1.49	1.13	1.54	5.3
1.61	1.57	0.84	0.51	1.43	0.38	0.85	1.1	0.89	1.29	2.01	3.21	1.22	5.54
2.48	1.51	0.95	1.12	1.27	1.09	1.81	1.38	1.42	1.18	1.77	2	1.84	1.08
0.72	0.62	0.45	0.33	0.62	0.46	0.9	1.65	1.1	0.94	1.24	0.65	1.98	0.49
2.18	5.32	2.92	1.07	4.63	6.45	6.28	6.5	3.62	2.38	5.32	3.87	2.08	5.05
1.44	2.41	1.06	0.73	1.01	3.05	2.95	8.7	1.56	1.39	1.95	1.81	1.54	3.38
1.07	0.98	0.61	1.04	0.55	0.64	0.87	0.84	0.72	0.8	1.55	0.91	1.24	1.55
0.97	2.78	1.25	2.36	2.29	1.07	2.51	2.61	1.77	2.06	2.47	2.04	3.34	2.19
4.57	3.97	2.54	1.09	2.71	0.77	2.79	1.09	1.6	2.07	3.05	2.02	1.37	2.03
1.7	2.04	1.73	1.03	2.48	3.73	1.78	1.63	1.3	1.3	3.29	3.9	3.61	3.1
1.18	1.32	0.49	0.64	0.47	3.12	1.4	1.64	1.2	0.79	1.42	2.05	1.85	4.58
5.64	2.23	2.78	0.82	4.83	3.11	5.6	2.37	1.58	2.22	2.26	2.47	1.61	3.65
2.44	1.43	0.99	0.93	0.71	0.81	1.24	2.52	1.21	1.19	1.54	1.85	2.3	3.63
1.48	2.03	0.83	0.81	2.39	1.42	2.02	5.74	1.9	0.91	1.34	2.05	1.33	4.24
1.33	1.03	0.7	1.91	1.57	0.69	0.79	0.62	1.16	1.18	1.8	0.93	2.03	1.37
1.51	2.62	0.78	1.14	1.28	2.93	1.92	1.91	1.6	1.2	2.73	1.96	1.31	3.31
0.97	2.34	0.67	0.53	0.24	0.59	0.38	0.66	0.7	0.5	0.57	0.47	1.26	2.06
