RefSeq_NM	C57 8W mg307	C57 8W mg308	C57 8W mg309	AJ 8W mg616	AJ 8W mg618	AJ 8W mg622	AJ 7D mh240	AJ 7D mh241	AJ 7D mh242	C57 7D mh243	C57 7D mh244	C57 7D mh245
	50.51	95.36	34.41	57.35	61.72	50.18	42.89	70.35	31.81	64.31	61.71	68.14
	2.56	1.54	1.83	0.52	0.63	0.72	2.51	0.61	0.52	0.51	0.72	0.57
NM_145607.1	7.12	5.01	6.09	11.18	8.06	10.77	9.92	7.54	7.41	6.43	11.46	9.5
NM_026188.1	2.87	0.76	0.51	0.87	0.97	0.38	0.96	1.35	0.8	1.2	1.38	2.71
	13.42	19.11	11.53	18.36	27.46	22.1	9.4	31.18	22.13	17.47	12.83	35.24
	1.79	1.09	1.32	1.86	1.32	1.36	0.76	1.01	0.45	0.64	0.8	1.04
NM_025522.1	8.05	11.2	9.26	12.43	15.78	16.06	15.85	22.84	25.93	13.61	13.98	15.71
	1.18	0.56	0.6	0.44	1.31	1.02	0.86	0.54	1.48	0.4	1.91	0.44
NM_181544.1	0.67	1.19	1.2	0.68	0.52	1.06	0.68	0.58	0.41	0.57	1.12	0.35
	1.29	2.08	2.53	2.87	3.67	2.39	1.82	0.76	1.1	0.73	1.37	0.87
	0.86	2.07	3.76	4.54	0.84	6.41	18.54	19.15	16.41	3.74	8.9	5.95
NM_146310.1	1.3	2.75	0.99	0.58	0.56	0.46	1.22	0.67	0.81	0.73	0.62	2.29
	2.1	1.28	0.69	0.89	1.82	2.13	1.1	1.03	1.1	1.02	0.75	1.33
	1.16	0.82	0.69	1.54	1.38	1.59	0.74	2.82	0.94	2.3	1.29	0.53
NM_175146.2	0.74	1.55	0.53	2.2	1.34	0.72	1.34	0.63	1.72	0.58	0.89	0.46
NM_021466.1	4.72	5.83	5.37	4.26	2.07	5.26	6.66	8.06	10.38	6.98	7.01	6.01
	0.77	1.34	0.55	0.96	0.86	1.11	0.86	2.39	0.64	0.61	0.82	0.42
NM_013525.1	120.19	130.73	133.77	132.03	189.27	144.1	148.17	286.03	389.98	259.81	229.06	243.51
	0.8	0.62	0.61	1.37	1.35	1.45	1.48	0.81	0.5	0.68	1.12	0.49
NM_027964.1	1.75	1.4	0.58	0.84	1.28	0.74	0.82	1.1	0.55	0.6	0.42	0.49
NM_153144.1	22.93	30.69	27.31	46.01	61.28	34.2	38.26	64.62	57.59	58.94	47.99	66.62
NM_146367.1	0.84	1.97	1.68	1.62	0.56	1.68	1.94	0.46	1.03	1.24	0.92	1.12
	3.38	3.35	3.25	5.57	6.13	7.13	5.22	9.89	9.29	5.2	5.24	7.68
NM_022987.1	20.42	22.15	16	18.3	9.78	24.67	19.42	39.39	23.03	26.83	23.85	32.91
	0.86	1.15	2	0.55	0.89	1.03	1.55	0.67	0.68	0.46	1.32	0.42
	1.36	1.68	2.65	1.41	1.6	1.28	2.08	1.33	1.38	5.05	8.92	0.64
NM_011299.3	1.37	3.66	1.02	1.74	2.63	1.47	1.45	1.46	1.07	2.68	1.06	0.98
	0.74	1.33	0.62	1.26	1.07	0.99	0.97	0.64	0.61	0.79	1.3	0.41
	0.56	1.16	1.32	0.81	2.74	1.41	0.79	1.12	0.49	0.86	0.92	1.07
	0.98	1.34	1.3	0.57	1.28	1.16	1.45	0.89	0.8	0.73	1.04	0.71
	0.63	2.87	2.06	0.45	1.14	0.98	0.65	1.52	0.38	2.89	0.64	3.42
	2.06	3.59	2.08	2.22	4.81	2.23	3.82	7.34	5.44	2.68	3.53	4.07
NM_145929.1	1.43	1.41	7.71	1.88	1.71	20.9	0.82	1.56	3.15	0.47	5.87	0.54
NM_134471.2	1.02	1.17	2.66	0.45	1.82	1.89	0.62	0.8	0.66	1.78	1.67	1.19
	3.79	0.96	0.97	0.93	3.07	1.07	1.18	1.05	0.75	0.66	0.93	1.06
NM_145138.1	2.63	2.89	5.28	4.58	1.92	6.8	17.06	14.6	12.44	13.39	15.62	11.19
NM_010763.1	0.96	3.81	0.42	1.31	1.16	1.54	0.72	0.53	0.62	2.34	2.76	2.53
NM_025709.2	13.87	16.39	18.97	21.27	13.61	31.41	27.89	24.89	24.51	21.89	28.18	21.06
NM_013615.1	8.41	15.25	18.89	12.74	4	20.97	14.57	65.28	58.2	31.41	41.69	37.55
NM_147079.1	0.97	1.28	1.66	0.99	2.22	0.46	1.73	0.79	1.3	0.52	0.82	1.48
NM_080446.1	0.69	0.83	2.78	1.05	0.58	1.94	0.63	1.88	2.13	1.77	1.98	2.12
	0.49	2.62	0.28	1.18	1.09	0.51	1.18	2.23	1.3	0.91	0.25	0.44
NM_199240.1;NM_199241.1	1.63	0.99	0.77	0.6	3.36	0.98	1.07	1.42	0.47	1.9	1.29	0.61
NM_008090.3	1.58	3.7	1.55	2.01	2.7	2.29	1.33	1.86	1.29	1.12	1.69	0.79
	1.08	2.44	0.78	1.29	1.79	1.49	0.63	1.72	1.34	0.89	0.98	0.62
NM_022329.2;NM_172843.2	32.95	36.13	42.66	29.47	40.11	23.98	28.73	25.66	20.33	50.74	62.59	85.91
NM_207531.1	1.27	0.58	0.53	1.12	2.76	1.12	1.47	0.61	0.84	0.42	1	1.59
NM_152803.2	0.7	1.74	0.85	1.42	1.05	2.23	1.18	0.72	0.65	1.01	0.51	1.46
NM_030070.1	0.73	1.56	0.63	0.88	1.63	0.43	0.56	1.66	0.65	0.56	0.69	0.95
NM_172568.1	0.62	0.74	0.69	0.63	0.53	0.76	1.11	0.32	0.78	1.76	0.32	0.9
	0.66	1.14	0.36	0.99	0.55	1.34	0.93	1	1.08	1.61	0.76	0.85
NM_001001130.1;NM_198322.1	7.43	6.42	6.25	11.7	8.43	11.81	11.53	27.65	24.57	20.3	15.12	16.79
NM_175666.1	1.32	3.69	1.62	1.01	0.84	3.35	1.29	0.78	1.04	1.08	2.41	1.88
	0.56	0.63	0.88	0.71	2.12	0.42	5.91	1.59	0.62	0.37	0.53	0.45
	1.22	3.1	0.65	0.61	1.36	1.09	1.27	0.69	1.17	0.56	0.58	1.14
NM_015795.1	1.54	0.75	1.1	0.85	1.58	2.17	0.96	0.73	1.03	0.71	2.4	0.72
