Land	MarktpotenzialExW	ProdukteignungExW	WettbewerbExW	LogistikExW	BarrierExW	ErfahrungExW	Gesamt	Rang
Deutschland	160	100	10	25	25	100	420	1
Japan	200	80	40	10	15	20	365	2
Schweiz	120	80	10	20	25	100	355	3
USA	200	60	20	10	5	60	355	3
Ungarn	120	60	40	25	20	80	345	5
GB	160	80	20	25	20	40	345	5
Polen	120	80	40	25	20	40	325	7
Belgien	80	100	10	20	25	80	315	8
Slowakei	120	60	30	25	15	60	310	9
Tschechien	120	60	40	25	15	40	300	10
China	160	60	30	10	10	20	290	11
Kanada	120	60	20	10	5	60	275	12
Niederlande	80	60	20	20	25	60	265	13
Irland	80	100	20	25	15	20	260	14
Italien	80	20	50	20	10	40	220	15
Slowenien	80	40	20	25	10	40	215	16
Spanien	80	20	40	20	10	20	190	17
Portugal	40	20	50	20	10	20	160	18
Griechenland	40	20	50	20	5	20	155	19
