refseq;oligo_id
NM_012138;H200002545
NM_022746;H200001959
NM_052834;H200001949
NM_015285;H200001949
NM_006465;H200001909
XM_373788;H200001896
NM_000236;H200001866
NM_014859;H200001204
NM_020809;H200001162
NM_016353;H200001129
NM_016617;H200001116
NM_006080;H200000613
NM_003385;H200000583
NM_000073;H200000577
NM_053050;H200004884
NM_022768;H200004787
NM_024089;H200004737
NM_005178;H200004074
NM_032154;H200004032
NM_012296;H200004022
NM_080491;H200004022
NM_020375;H200003444
NM_032492;H200003360
NM_024594;H200003317
NM_145239;H200003309
NM_005238;H200002701
NM_006691;H200002690
NM_004753;H200002626
NM_013390;H200007498
NM_198265;H200007488
NM_012444;H200007488
NM_002689;H200006865
NM_005359;H200006219
NM_002676;H200006212
NM_002793;H200006187
NM_002984;H200006175
NM_000488;H200006144
XM_046581;H200005589
NM_004929;H200005573
NM_001993;H200005476
NM_005926;H200005432
NM_003251;H200010519
NM_018358;H200010480
NM_000084;H200010400
NM_000812;H200010390
NM_052911;H200009513
NM_007044;H200009486
NM_153333;H200009246
NM_001006684;H200009246
NM_001397;H200009232
NM_007364;H200008352
NM_015352;H200008316
NM_152491;H200008288
NM_018437;H200008246
NM_197978;H200008246
NM_004429;H200013473
NM_018270;H200013439
NM_144999;H200013423
NM_014485;H200012753
NM_006661;H200012743
NM_020961;H200012698
NM_002559;H200012683
NM_015079;H200012597
NM_006043;H200011980
NM_020351;H200011925
NM_001850;H200011925
NM_002365;H200011881
NM_005309;H200011245
XM_379892;H200016165
XM_376652;H200016165
NM_005523;H200016156
NM_003867;H200016116
XM_498929;H200015285
NM_007347;H200015206
NM_024850;H200014423
NM_032116;H200014352
NM_025009;H200014339
NM_003963;H200014259
NM_022152;H200014249
NM_174916;H200013594
NM_012378;H200021272
NM_033131;H200019796
NM_006082;H200019704
NM_032603;H200019656
NM_001003686;H200017969
NM_001003687;H200017969
NM_005395;H200017969
NM_014286;H200017948
NM_020753;H200017084
NM_017831;H200016956
NM_018655;H200016907
NM_023917;H200016900
NM_207365;H300002185
NM_006658;H300001596
NM_174931;H300001543
NM_033554;H300001485
NM_152533;H300001446
XM_496965;H300000824
NM_152578;H300000725
NM_006446;H300000061
NM_138706;H300005200
NM_023014;H300005154
XM_372573;H300005128
NM_173806;H300004466
NM_021159;H300004456
NM_000766;H300004429
NM_018648;H300003763
NM_001001330;H300003033
NM_198996;H300003018
NM_001005324;H300002924
NM_001001551;H300007500
NM_001023;H300007401
NM_052913;H300007391
NM_001010903;H300006731
NM_001326;H300006053
NM_001717;H300005994
XM_376892;H300005897
NM_001004729;H300005887
