Land	MarktpotenzialE	ProdukteignungE	WettbewerbE	LogistikE	BarrierE	ErfahrungE	Rang
Deutschland	4	5	1	5	5	5	1
Japan	5	4	4	2	3	1	2
Schweiz	3	4	1	4	5	5	3
USA	5	3	2	2	1	3	3
Ungarn	3	3	4	5	4	4	5
GB	4	4	2	5	4	2	5
Polen	3	4	4	5	4	2	7
Belgien	2	5	1	4	5	4	8
Slowakei	3	3	3	5	3	3	9
Tschechien	3	3	4	5	3	2	10
China	4	3	3	2	2	1	11
Kanada	3	3	2	2	1	3	12
Niederlande	2	3	2	4	5	3	13
Irland	2	5	2	5	3	1	14
Italien	2	1	5	4	2	2	15
Slowenien	2	2	2	5	2	2	16
Spanien	2	1	4	4	2	1	17
Portugal	1	1	5	4	2	1	18
Griechenland	1	1	5	4	1	1	19
