ACCESSION	TargetID	SYMBOL	Ratio G-6h / Sh 6h	Log2 Ratio G-6h / Sh 6h	Ratio G+6h / Sh6h	Log2 Ratio G+6h / Sh6h	Ratio G-24h / Sh24h	Log2 Ratio G-24h / Sh24h	Ratio G+24h / Sh24h	Log2 G+24h / Sh24h	DEFINITION
NM_007112.3	ILMN_10000	THBS3	NaN	NaN	NaN	NaN	1.20	0.26	1.21	0.28	Homo sapiens thrombospondin 3 (THBS3), mRNA.
NM_018976.3	ILMN_10001	SLC38A2	0.48	-1.06	0.65	-0.61	0.89	-0.16	1.29	0.37	Homo sapiens solute carrier family 38, member 2 (SLC38A2), mRNA.
AA326446	ILMN_100028		1.43	0.52	1.33	0.41	0.99	-0.02	0.90	-0.16	EST29662 Cerebellum II Homo sapiens cDNA 5 end, mRNA sequence
NM_001954.3	ILMN_10004	DDR1	1.62	0.69	2.26	1.18	0.63	-0.66	0.65	-0.61	Homo sapiens discoidin domain receptor family, member 1 (DDR1), transcript variant 2, mRNA.
NM_001014444.1	ILMN_10009	CRYM	0.44	-1.18	0.88	-0.18	1.49	0.58	0.96	-0.05	Homo sapiens crystallin, mu (CRYM), transcript variant 2, mRNA.
NM_000042.1	ILMN_10010	APOH	0.70	-0.51	0.64	-0.65	0.40	-1.32	0.48	-1.07	Homo sapiens apolipoprotein H (beta-2-glycoprotein I) (APOH), mRNA.
NM_005904.2	ILMN_10011	SMAD7	1.91	0.93	1.75	0.80	1.56	0.64	1.60	0.67	Homo sapiens SMAD, mothers against DPP homolog 7 (Drosophila) (SMAD7), mRNA.
NM_001362.2	ILMN_10016	DIO3	NaN	NaN	1.50	0.58	NaN	NaN	NaN	NaN	Homo sapiens deiodinase, iodothyronine, type III (DIO3), mRNA.
NM_003304.3	ILMN_10020	TRPC1	NaN	NaN	NaN	NaN	1.19	0.25	1.14	0.20	Homo sapiens transient receptor potential cation channel, subfamily C, member 1 (TRPC1), mRNA.
NM_013975.2	ILMN_10021	LIG3	1.68	0.75	1.42	0.51	1.14	0.19	0.98	-0.03	Homo sapiens ligase III, DNA, ATP-dependent (LIG3), nuclear gene encoding mitochondrial protein, transcript variant alpha, mRNA.
NM_005525.2	ILMN_10023	HSD11B1	1.30	0.38	0.95	-0.07	1.09	0.12	1.45	0.54	Homo sapiens hydroxysteroid (11-beta) dehydrogenase 1 (HSD11B1), transcript variant 1, mRNA.
DA673250	ILMN_100250		1.41	0.49	1.35	0.44	NaN	NaN	NaN	NaN	DA673250 NETRP2 Homo sapiens cDNA clone NETRP2003825 5, mRNA sequence
NM_005956.2	ILMN_10026	MTHFD1	0.43	-1.22	0.76	-0.40	0.70	-0.51	0.67	-0.58	Homo sapiens methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase (MTHFD1), mRNA.
BX374545	ILMN_100359		2.25	1.17	1.62	0.70	1.65	0.72	1.46	0.54	BX374545 Homo sapiens NEUROBLASTOMA COT 10-NORMALIZED Homo sapiens cDNA clone CS0DB006YP07 5-PRIME, mRNA sequence
NM_024661.2	ILMN_10039	CCDC51	0.79	-0.35	0.98	-0.03	1.03	0.05	0.86	-0.21	Homo sapiens coiled-coil domain containing 51 (CCDC51), mRNA.
NM_001001132.1	ILMN_10040	ITSN1	NaN	NaN	0.71	-0.49	NaN	NaN	NaN	NaN	Homo sapiens intersectin 1 (SH3 domain protein) (ITSN1), transcript variant 2, mRNA.
NM_020169.2	ILMN_10044	LXN	NaN	NaN	NaN	NaN	2.08	1.05	1.69	0.76	Homo sapiens latexin (LXN), mRNA.
NM_080430.2	ILMN_1005	SELM	1.90	0.93	1.15	0.20	0.91	-0.14	0.84	-0.25	Homo sapiens selenoprotein M (SELM), mRNA.
NM_023015.3	ILMN_10054	C1orf60	1.12	0.17	0.77	-0.37	0.67	-0.57	0.73	-0.45	Homo sapiens chromosome 1 open reading frame 60 (C1orf60), mRNA.
NM_144988.2	ILMN_10059	ALG14	0.83	-0.27	0.87	-0.20	0.43	-1.21	0.37	-1.43	Homo sapiens asparagine-linked glycosylation 14 homolog (yeast) (ALG14), mRNA.
NM_199416.1	ILMN_10062	PRCC	2.25	1.17	5.62	2.49	1.02	0.03	0.79	-0.33	Homo sapiens papillary renal cell carcinoma (translocation-associated) (PRCC), transcript variant 2, mRNA.
NM_181877.3	ILMN_10070	ZSCAN2	1.13	0.18	NaN	NaN	NaN	NaN	NaN	NaN	Homo sapiens zinc finger and SCAN domain containing 2 (ZSCAN2), transcript variant 1, mRNA.
NM_016609.3	ILMN_10076	SLC22A17	1.24	0.31	0.73	-0.45	1.92	0.94	0.98	-0.03	Homo sapiens solute carrier family 22 (organic cation transporter), member 17 (SLC22A17), transcript variant 2, mRNA.
NM_001013703.2	ILMN_10077	EIF2AK4	0.92	-0.12	1.05	0.07	0.91	-0.14	1.19	0.25	Homo sapiens eukaryotic translation initiation factor 2 alpha kinase 4 (EIF2AK4), mRNA.
CF887450	ILMN_100826		1.28	0.36	1.27	0.34	0.82	-0.28	0.94	-0.09	UI-CF-EN1-aeg-c-03-18-UI.r18 UI-CF-EN1 Homo sapiens cDNA clone UI-CF-EN1-aeg-c-03-18-UI 5, mRNA sequence
NM_001031725.1	ILMN_10085	DDX59	1.52	0.60	1.24	0.31	0.93	-0.11	0.79	-0.34	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 59 (DDX59), transcript variant 1, mRNA.
NM_018947.4	ILMN_10087	CYCS	0.89	-0.16	0.74	-0.44	1.20	0.26	1.51	0.59	Homo sapiens cytochrome c, somatic (CYCS), nuclear gene encoding mitochondrial protein, mRNA.
CB987747	ILMN_100905		1.07	0.09	1.14	0.19	NaN	NaN	0.66	-0.60	AGENCOURT_13631433 NIH_MGC_184 Homo sapiens cDNA clone IMAGE:30327753 5, mRNA sequence
BX356403	ILMN_100921		1.43	0.52	1.42	0.50	1.01	0.02	0.89	-0.17	BX356403 Homo sapiens PLACENTA COT 25-NORMALIZED Homo sapiens cDNA clone CS0DI011YD16 5-PRIME, mRNA sequence
NM_006694.2	ILMN_10094	JTB	1.12	0.16	1.18	0.24	0.93	-0.11	0.91	-0.13	Homo sapiens jumping translocation breakpoint (JTB), mRNA.
NM_015051.1	ILMN_10096	TXNDC4	1.39	0.48	1.22	0.29	0.87	-0.20	0.80	-0.33	Homo sapiens thioredoxin domain containing 4 (endoplasmic reticulum) (TXNDC4), mRNA.
NM_014031.3	ILMN_10102	SLC27A6	1.77	0.82	1.36	0.45	1.01	0.01	0.99	-0.02	Homo sapiens solute carrier family 27 (fatty acid transporter), member 6 (SLC27A6), transcript variant 1, mRNA.
AW855473	ILMN_101039		1.52	0.60	1.27	0.35	0.99	-0.02	1.01	0.02	CM0-CT0275-221199-105-c11 CT0275 Homo sapiens cDNA, mRNA sequence
NM_001531.1	ILMN_10108	MR1	2.04	1.03	1.28	0.35	0.90	-0.15	NaN	NaN	Homo sapiens major histocompatibility complex, class I-related (MR1), mRNA.
NM_032442.2	ILMN_1011	KIAA1787	0.55	-0.86	0.70	-0.51	1.23	0.29	1.29	0.37	Homo sapiens KIAA1787 protein (KIAA1787), transcript variant 1, mRNA.
NM_002108.2	ILMN_10110	HAL	0.48	-1.05	0.87	-0.20	0.94	-0.09	1.39	0.48	Homo sapiens histidine ammonia-lyase (HAL), mRNA.
NM_018250.1	ILMN_10115	RC74	1.15	0.20	0.92	-0.12	0.69	-0.53	0.50	-1.01	Homo sapiens integrator complex subunit 9 (RC74), mRNA.
NM_006848.2	ILMN_10120	DIPA	1.42	0.51	1.25	0.33	1.11	0.15	1.12	0.16	Homo sapiens hepatitis delta antigen-interacting protein A (DIPA), mRNA.
NM_014652.2	ILMN_10123	IPO13	0.71	-0.49	0.85	-0.24	0.75	-0.41	0.80	-0.33	Homo sapiens importin 13 (IPO13), mRNA.
NM_000527.2	ILMN_10126	LDLR	4.15	2.05	3.05	1.61	1.30	0.38	2.26	1.17	Homo sapiens low density lipoprotein receptor (familial hypercholesterolemia) (LDLR), mRNA.
NM_000167.3	ILMN_10128	GK	3.52	1.81	1.42	0.51	0.87	-0.21	0.94	-0.10	Homo sapiens glycerol kinase (GK), transcript variant 2, mRNA.
NM_000617.1	ILMN_10129	SLC11A2	5.03	2.33	2.82	1.49	1.01	0.01	1.34	0.42	Homo sapiens solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2 (SLC11A2), mRNA.
NM_178145.1	ILMN_1013	RASSF4	0.60	-0.74	1.16	0.22	1.43	0.51	1.05	0.07	Homo sapiens Ras association (RalGDS/AF-6) domain family 4 (RASSF4), transcript variant 2, mRNA.
BX095120	ILMN_101381		1.62	0.70	1.38	0.46	0.93	-0.11	1.02	0.03	BX095120 NCI_CGAP_Kid11 Homo sapiens cDNA clone IMAGp998N245924, mRNA sequence
NM_006441.1	ILMN_1014	MTHFS	0.36	-1.49	0.58	-0.79	0.48	-1.07	0.34	-1.57	Homo sapiens 5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase) (MTHFS), mRNA.
NM_012243.1	ILMN_10145	SLC35A3	0.55	-0.86	0.56	-0.84	0.84	-0.26	0.78	-0.36	Homo sapiens solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3 (SLC35A3), mRNA.
NM_020414.3	ILMN_10146	DDX24	1.39	0.47	1.53	0.62	1.09	0.12	1.19	0.25	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 24 (DDX24), mRNA.
NM_001846.1	ILMN_1015	COL4A2	2.23	1.16	1.93	0.95	4.79	2.26	4.96	2.31	Homo sapiens collagen, type IV, alpha 2 (COL4A2), mRNA.
NM_000606.1	ILMN_1016	C8G	0.53	-0.91	0.70	-0.52	0.33	-1.61	0.27	-1.87	Homo sapiens complement component 8, gamma polypeptide (C8G), mRNA.
NM_024838.3	ILMN_10160	THNSL1	0.43	-1.21	0.51	-0.97	0.99	-0.01	0.51	-0.96	Homo sapiens threonine synthase-like 1 (bacterial) (THNSL1), mRNA.
AK094914	ILMN_101614		0.99	-0.02	0.80	-0.32	1.05	0.07	1.10	0.13	Homo sapiens cDNA FLJ37595 fis, clone BRCOC2007864
NM_000308.1	ILMN_10174	PPGB	0.72	-0.48	0.95	-0.07	1.37	0.46	1.10	0.13	Homo sapiens protective protein for beta-galactosidase (galactosialidosis) (PPGB), mRNA.
CB986720	ILMN_101795		2.03	1.02	0.88	-0.18	1.06	0.09	0.98	-0.02	AGENCOURT_13567756 NIH_MGC_184 Homo sapiens cDNA clone IMAGE:30326582 5, mRNA sequence
NM_138442.2	ILMN_10186	LOC115098	NaN	NaN	0.84	-0.25	NaN	NaN	NaN	NaN	Homo sapiens hypothetical protein BC013949 (LOC115098), mRNA.
NM_014034.1	ILMN_1019	ASF1A	NaN	NaN	NaN	NaN	0.79	-0.34	0.71	-0.49	Homo sapiens ASF1 anti-silencing function 1 homolog A (S. cerevisiae) (ASF1A), mRNA.
AK057677	ILMN_101903		NaN	NaN	NaN	NaN	0.60	-0.73	0.41	-1.27	Homo sapiens cDNA FLJ33115 fis, clone TRACH2001314
NM_207340.1	ILMN_10196	ZDHHC24	0.80	-0.32	0.76	-0.40	0.58	-0.78	0.59	-0.77	Homo sapiens zinc finger, DHHC-type containing 24 (ZDHHC24), mRNA.
NM_004667.3	ILMN_10200	HERC2	0.56	-0.84	0.71	-0.49	0.88	-0.18	0.77	-0.38	Homo sapiens hect domain and RLD 2 (HERC2), mRNA.
