GenID	Acc.No	G+ (Genexpression)	G-(Genexpression)
			
ABI 1	NM_005470	-1	-1
ACSL4	NM_004458	10.16	-1
AES	NM_001130	-1	-1
ALDH1	NM_000692	-1	-1
APCS	NM_001639	-1	-1
ARHGDIB	NM_001175	-1	-1
C3orf28	NM_014367	-1	-1
CCL2	NM_002982	4.84	4.58
CD44	NM_000610	-1	-1
CPS1	NM_001875	-1	-1
CXCL10	NM_001565	9.04	5.5
CXCL11	NM_005409	-1	-1
CYP2B6	NM_000767	-1	-1
CYP2C8	NM_000770	-1	-1
CYP2E1	NM_000773	-1	-1
CYP3A4	NM_017460	-1	-1
GBP1	NM_002053	5.75	3.81
HP	NM_005143	0.41	-1
IFITM1	NM_021034	2.2	-1
IGFBP1	NM_000596	-1	-1
IL8	NM_000584	-1	-1
MCP	NM_002389	3.28	3.25
MMP	NM_002423	-1	-1
OLFM4	NM_006418	-1	-1
PAI1	NM_000602	-1	-1
PLA2G2A	NM_000300	1.58	4.12
PLG	NM_000301	-1	-1
SFTPA2	NM_006926	-1	-1
SOD2	NM_000636	-1	-1
SEPP1	NM_005410	1.73	-1
SERPINA	NM_175739	2.12	2.38
SERPINA3	NM_001085	2.78	2.59
SOD2	NM_000636	-1	2.81
TAP1	NM_000593	-1	-1
THBS1	NM_003246	-1	-1
tPA	NM_033011	-1	-1
TXNIP	NM_006472	0.41	-1
UGT	NM_021139	0.4	-1
