RefSeq	Patient 1	Patient 2	Patient 3	Patient 4	Patient 5	Patient 6	Patient 7	Patient 8	Patient 9	Patient 10
XM_283179	6.38	2.99	3.01	6.96	0.09	5.93	6.81	3.99	4.65	6.27
NM_146047	3.67	1.1	1.43	5.91	2.22	6.61	9.4	8.73	5.84	6.19
NM_181988	6.59	9.37	8.44	3.05	2.75	2.58	2.17	0.75	7.63	0.64
NM_133984	7.37	3.12	9.23	4.67	8.59	5.34	2.95	3.85	7	8.86
NM_013667	4.06	5.43	9.71	3.54	2.7	1.64	9.84	4.23	2.72	4.13
XM_001475211	3.99	2.42	4.72	9.75	9.27	9.5	2.91	0.4	6.49	5.92
NM_024169	6.57	5.78	2.94	3.25	4.38	9.91	6.69	7.74	9.61	9.54
NM_010127	2.39	5.33	3.11	9.03	4.31	9.95	2.52	4.94	0.74	5.21
NM_172574	1.06	9.6	3.59	6.17	5.57	5.25	2.96	7.66	2.74	8.16
NM_009549	6.65	3.89	3.57	9.86	0.05	7.67	1.68	4.54	9.72	4.45
XM_978879	1.72	4.26	8.21	6.24	9.75	7.03	4.03	6.96	7.4	9.59
NM_177318	0.99	0.35	7.62	9.62	2.2	8.57	2.61	8.97	4.14	7.32
NM_011014	8.15	4.57	4.29	5.71	4.59	1.92	8.71	7.97	6.76	3.87
XM_985948	9.05	2.45	1.22	0.98	4.91	0.45	3.18	9.46	0.91	4.76
NM_019717	4.51	7.9	8.22	8.18	6.65	9.88	5.24	9.91	8.35	0.69
NM_026629	1.16	2.43	3.77	4	4.43	6.88	5.55	9.26	3.7	1.11
NM_010561	9.39	2.64	8.69	4.38	1.63	6.64	5.47	8.28	3.24	6.08
NM_145603	9.95	7.55	4.33	6.19	3.41	0.56	4.24	0.98	5.35	6.03
NM_030710	9.98	3.01	1.65	4.38	8.38	0.76	2.06	8.38	1.51	0.01
XM_001472345	8.2	5.86	6.13	2.71	3.84	3.99	5.7	2.79	7.13	3.79
NM_001007077	5.72	1.97	2.14	0.32	8.2	8.06	5.88	6.97	8.26	3.21
NM_148929	0.29	6.33	0.03	1.91	3.37	6.58	1.4	3.85	0.04	9.84
NM_010382	2.22	1.85	4.08	9.6	3.89	9.07	2.44	3.48	0.7	6.73
NM_008928	5.54	2.54	7.65	8.78	4.47	6.81	9.23	4.71	0.86	2.49
NM_024251	6.61	2.86	5.12	9.28	9.53	2.59	9.45	8.37	8.51	1.63
NM_177854	2.39	4.46	7.62	4.19	0.58	3.94	1.99	3.18	4.41	6.45
NM_001033548	9.29	6.02	0.92	6.4	0.33	2.19	7.56	4.09	8.98	8.06
XM_131080	8.18	2.05	9.4	3.25	1.18	4.88	2.25	0.72	7.63	3.16
NM_153394	8.1	7.36	5.68	8.3	1.94	6.81	2.29	2.54	0.17	9.42
XM_001475192	9.54	7.67	1.91	9.2	4.39	5.74	6.29	4.28	4.13	1.86
NM_001081210	5.35	4.28	0.86	0.86	6.91	2.08	4	1.62	1.47	9.94
NM_146214	9.82	0.35	8.68	5.25	2.03	2.74	9.1	6.53	4.81	5.7
NM_009918	5.92	8.77	3.34	5.11	6.61	2.35	5.69	3.01	9.97	8.05
NM_010239	9.02	3.64	9.3	3.91	9.66	4.66	6.18	2.38	9.1	0.58
NM_133213	6.41	3.47	7.92	9.93	0.62	8.08	2.05	0.38	1.81	4.56
NM_010353	3.29	4.2	3.05	8.66	9.31	3.99	5.53	7.24	2.68	2.19
NM_025954	3.08	6.06	4.02	3.65	8.94	4.15	9.08	2.78	5.59	6.5
