Identifier 	SK_SC_1	SK_TC_1	SK_SC_2	SK_TC_2	H3B_Ortho_1	H3B_Ortho_2	H3B_Ortho_3	H3B_SC_1	H3B_SC_2	H3B_TC_1	H3B_TC_2	HCC_06	HCC_07	HCC_08	HCC_09	HCC_10	HCC_11	HCC_12	HCC_13	HCC_14	HCC_15	HUH7_Ortho_1	HUH7_SC_1	HUH7_SC_2	HUH7_SC_3	HUH7_TC_1	HUH7_TC_2	NNL_01	NNL_02	NNL_03	NNL_04	NNL_05	Cluster_Number	Cluster_Repr	
NM_001402	2319.55	6207.88	2882.38	6705.67	3654.25	3144.83	4909.09	4027.05	4432.69	4129.78	4915.5	2913.41	6418.84	5623.35	9599.15	3694.18	1952.12	2319.81	3535.56	2970.93	3851.62	2877.69	2630.31	4119.89	3824.7	6005.43	5711.78	2530.47	2949.17	3399.74	2964.54	2899.3	0	3698	
NM_000997	1760.45	2679.32	1694.63	3925.38	2213.73	1203.14	1965.02	1700.72	1968.35	1833.43	2729.65	1410.01	2486.8	3098.93	3710.88	2102.64	1307.31	945.47	998.41	2081.5	2610.69	2161.78	1948.81	3314.89	3261.88	4368.16	4159.2	860.13	949.67	922.14	1066.93	1211.68	0	3698	
NM_001004	1875.12	3179.36	1783.35	3450.99	1777.22	1742.27	2371.86	2166.03	1992.21	2275.54	2538.4	998.73	911.38	2855.48	2940.95	1034.09	1055.75	1730.0	1407.93	1570.78	1890.82	1261.04	1168.3	2202.31	1981.42	2992.49	2647.5	799.5	773.8	1020.61	815.84	983.45	0	3698	
NM_000971	1308.37	3910.15	1287.14	3962.89	2360.24	1976.71	4039.14	2817.34	2861.85	2811.0	4489.54	2331.79	2015.33	1685.02	5251.2	2448.49	1504.02	898.71	1074.04	1188.4	3628.55	1268.79	1293.26	2340.41	2380.38	3180.2	3348.88	803.05	1184.84	980.9	1088.1	931.67	0	3698	
NM_001016	1121.28	1660.56	1112.87	2409.88	2386.97	1761.59	2801.11	2283.82	2309.93	1996.69	2691.74	1135.0	3692.43	3372.01	4742.68	1231.65	789.11	987.22	1307.13	1031.67	1760.66	1552.37	1623.64	2239.62	2316.22	3120.45	2961.34	816.1	643.74	787.0	796.15	985.13	0	3698	
NM_000985	1426.31	2445.63	1456.29	3413.88	1580.62	1187.37	2266.77	1462.0	1445.17	1568.64	2130.08	1152.52	1235.96	4114.65	4342.6	889.9	1026.7	1088.51	1146.32	1260.13	1974.41	1200.65	1193.72	1771.73	1729.15	1963.49	2425.71	983.13	775.2	1032.72	959.46	1010.79	0	3698	
NM_000971	1225.04	1978.33	1236.6	2614.13	1596.64	1241.39	2625.37	1754.44	1745.37	1915.76	2702.34	1413.86	1117.57	1719.41	3381.68	2237.26	1059.36	685.9	689.26	742.3	2201.81	736.16	1032.91	1437.38	1527.14	1586.92	1946.72	689.88	786.78	818.13	819.46	837.81	0	3698	
NM_001022	1612.46	4003.8	1278.92	3488.21	2366.98	1731.78	2936.74	2575.45	3034.02	1993.06	3165.75	759.26	1017.79	2084.5	5480.46	766.86	897.12	635.16	846.92	861.93	2221.25	1435.66	1122.3	2065.61	1938.09	4176.32	3360.08	397.49	586.26	553.53	446.6	625.05	0	3698	
NM_001003	2316.81	3972.0	2855.01	4541.99	3511.65	3161.35	3722.5	3504.45	3354.57	2210.86	3413.57	2071.21	1405.16	3428.69	4549.4	2143.4	1616.23	2015.91	2071.3	2580.19	2696.61	1683.27	2053.2	3057.31	3257.65	4656.27	4257.15	1036.58	1150.99	1248.15	1086.58	1485.27	0	3698	
NM_001514	492.98	2349.41	542.22	1750.43	1167.24	929.34	1787.24	1584.65	1953.57	2005.17	2294.89	2498.88	2310.95	1714.84	1144.46	1718.8	1168.94	3175.76	2742.37	2101.56	2328.08	934.24	1090.13	1827.69	1380.02	2912.54	1968.02	1581.93	2886.83	3002.23	1846.81	2512.08	0	3698	
NM_005077	3352.84	11914.11	2986.97	13192.02	12054.24	7671.71	11963.18	9868.56	10422.61	7777.7	14332.89	20410.56	8519.74	12938.28	2482.63	6346.8	3641.29	10357.05	7703.11	8957.95	8920.38	3264.59	4413.63	6764.22	6798.06	16211.53	13452.29	6446.28	13815.9	9120.09	7105.79	12856.82	0	3698	
NM_000295	35.22	40.04	23.23	45.6	5354.98	5917.83	4379.12	6669.41	6345.89	1365.18	3285.96	8913.06	10929.19	2953.4	4124.08	2460.1	4225.66	2563.98	3488.57	1796.73	4765.86	628.28	674.38	1329.88	1371.03	1234.07	583.36	4541.5	7755.45	5343.77	5288.82	5562.21	1	9624	
NM_001643	3.64	1.35	0.57	0.94	160.14	141.85	36.06	46.52	76.07	1679.35	1438.35	6479.59	701.68	5229.07	2124.36	3564.03	2972.93	10877.98	1669.7	3407.52	2679.13	933.87	816.24	1692.47	1519.18	1586.62	1528.55	1628.41	2750.16	2899.76	2011.64	1727.61	1	9624	
NM_001063	2.93	0.83	0.75	0.4	968.91	2096.26	1749.13	901.04	1303.15	747.42	1149.12	684.85	1240.17	1048.4	1176.79	1369.81	1915.93	5872.66	1264.63	4644.14	1465.33	839.62	1427.94	1516.46	1874.42	1132.63	1186.09	3022.59	3876.63	4246.63	3156.52	3023.62	1	9624	
NM_000039	2.83	1.21	1.47	0.27	1654.42	1503.04	502.42	557.23	781.72	328.36	269.07	436.01	3654.81	651.49	2699.47	1884.48	999.21	1027.46	724.45	4982.73	1534.43	456.45	404.95	801.02	881.82	485.13	222.49	1781.01	4968.61	3593.28	3859.36	2764.47	1	9624	
NM_001025	607.18	1262.03	705.68	1893.81	1687.37	998.67	1661.27	1202.62	1450.77	1184.05	1368.47	598.01	1187.77	1271.03	2776.57	1019.3	507.15	628.58	619.79	922.42	974.76	731.9	640.94	1137.95	1091.5	1449.41	1668.66	529.06	560.31	600.54	545.48	426.82	2	16721	
NM_001016	714.5	1051.6	738.2	1881.47	1860.85	1551.0	2551.89	1795.12	1945.3	1554.57	1764.28	895.32	1567.85	2036.92	3438.88	962.73	566.44	724.19	889.41	672.23	1370.92	1052.67	1189.68	1817.25	1921.84	2365.12	2212.6	569.31	564.9	629.68	602.93	681.99	2	16721	
NM_001032	669.51	1503.76	532.3	1890.16	1230.37	1037.79	2163.24	1714.17	1735.36	1076.34	1347.58	827.55	1591.72	685.68	1606.79	375.63	384.77	413.15	530.28	555.89	2033.18	431.95	470.03	779.28	696.09	780.51	973.89	529.9	783.02	614.25	572.11	486.52	2	16721	
NM_000971	657.02	1452.11	912.02	1998.34	1129.49	914.28	1588.39	1227.28	1525.93	1374.56	1510.74	1027.19	570.58	1400.6	3114.25	1897.17	724.5	510.92	661.18	592.37	1948.33	519.12	593.11	929.51	964.34	1374.22	1329.07	559.11	547.5	607.65	624.19	544.91	2	16721	
NM_001023	658.28	1480.75	761.71	1945.17	937.98	657.58	1321.71	884.06	1063.33	908.46	1289.11	588.37	652.82	1402.23	1470.56	1381.13	819.46	633.21	743.64	754.06	1296.7	476.06	584.79	924.15	956.88	1348.66	1480.64	507.94	684.55	591.01	676.98	509.53	2	16721	
NM_000993	470.29	1337.81	484.95	1721.68	1084.32	993.97	1810.42	1265.17	1374.39	1182.81	1433.81	855.52	1367.82	1388.39	1491.53	796.52	519.84	634.34	746.59	713.11	974.98	663.73	667.26	1009.27	1120.06	1293.24	1451.15	590.89	670.42	624.12	674.12	730.95	2	16721	
NM_001028	834.19	2268.17	903.4	3132.39	1834.48	1260.54	2322.96	1936.14	2007.01	1271.56	2005.53	1091.76	1128.69	1273.24	2401.09	615.48	604.74	1045.31	1206.74	1168.8	1812.8	529.46	467.11	906.84	843.58	1203.98	1704.33	659.37	899.99	817.55	813.29	703.93	2	16721	
NM_001030	781.06	1369.43	706.56	1608.96	1425.61	890.85	1180.03	1398.97	1573.12	1494.66	1284.59	914.8	945.69	1450.86	1822.28	509.95	664.82	422.25	1268.1	870.4	1434.05	684.85	643.88	1074.11	925.94	1497.03	1547.36	620.5	717.55	590.14	635.36	555.12	2	16721	
NM_022551	1321.37	4178.38	1404.89	3637.23	1055.41	660.63	1981.26	1040.95	1233.31	1419.23	2062.25	711.34	930.34	3228.49	3555.5	672.37	809.89	620.35	574.19	788.98	799.1	953.18	706.58	1078.01	1075.82	1270.81	1496.27	477.04	534.08	607.99	450.75	630.2	2	16721	
NM_000982	1019.9	1824.26	1125.44	2329.71	1275.24	948.61	2366.63	1080.29	1548.93	1590.42	2082.53	919.69	1124.96	1068.88	2194.87	823.77	875.86	697.09	774.27	1259.56	1596.17	752.55	834.37	1516.3	1379.97	1531.69	2164.28	915.66	846.99	1032.61	938.69	896.21	2	16721	
NM_004360	1160.96	2660.53	1162.44	3327.52	1310.93	1069.71	1245.44	1341.68	1442.16	1237.71	1525.15	774.2	1013.82	1412.81	1863.16	640.49	432.86	727.14	1073.52	751.57	2353.14	1055.97	1283.85	2129.77	2214.29	2415.2	2963.75	480.78	639.34	628.96	578.98	692.36	2	16721	
NM_001014	1149.49	2788.11	1311.49	2875.33	1105.2	739.41	2206.8	1056.34	1147.71	1644.42	1941.48	611.01	812.13	1354.09	3376.69	617.71	536.21	747.42	667.04	697.15	1177.91	725.96	686.24	1124.24	1059.87	1649.29	1631.54	447.62	500.11	561.94	439.5	449.28	2	16721	
NM_001028	667.97	1527.92	567.75	2099.47	1455.96	1069.78	1863.47	1392.76	1631.91	831.87	1430.63	806.62	909.62	953.74	1608.6	491.76	481.85	726.03	706.95	883.1	1015.24	378.35	401.2	732.89	661.61	852.38	1095.45	417.95	678.87	644.09	630.47	539.91	2	16721	
NM_001402	479.06	1361.99	670.0	1633.19	734.34	792.66	1380.02	1071.38	1324.39	790.5	949.44	651.01	2095.08	1088.3	2597.83	972.52	478.71	586.5	852.34	594.4	1189.94	653.4	702.89	1000.06	1110.91	1463.03	1782.36	500.16	666.34	1032.97	666.21	677.18	2	16721	
NM_022551	1384.53	4641.68	1602.79	4367.15	1174.77	801.95	2288.02	1229.09	1334.48	1549.46	2176.91	845.09	833.3	3289.45	4137.2	798.16	955.58	627.64	720.08	838.58	949.6	1076.15	721.42	1335.47	1247.4	1468.26	1779.64	531.67	672.42	724.07	540.23	673.71	2	16721	
NM_002046	1907.77	4240.36	1246.21	4720.52	3144.86	2233.37	2691.21	1323.22	2020.96	2653.47	3189.82	846.07	1056.74	373.28	724.9	437.77	280.85	2798.44	78.87	827.98	2916.52	867.71	1163.24	2006.83	2416.96	2073.93	3151.67	308.19	732.55	151.11	397.97	446.89	2	16721	
NM_000993	563.31	1708.78	496.13	1743.18	1172.47	838.18	1678.22	1387.34	1443.89	1339.1	1689.53	813.55	1278.75	1512.69	1527.52	624.94	521.08	638.68	824.06	771.35	1127.89	855.44	635.53	1082.07	987.47	1391.87	1540.27	535.15	708.02	604.81	582.38	653.76	2	16721	
NM_021009	814.77	1550.3	730.5	1416.07	609.29	522.84	751.02	716.29	696.5	668.0	876.56	988.52	1281.19	557.22	544.57	565.86	597.39	990.52	653.83	745.02	759.99	335.65	501.05	722.36	645.43	1092.21	1169.9	593.4	975.23	798.19	538.19	612.61	2	16721	
NM_001402	404.57	1134.34	530.12	1420.59	703.78	722.63	1084.4	936.26	1209.13	706.93	803.95	669.52	1937.55	853.54	2299.23	877.95	384.64	451.43	723.54	517.12	996.5	562.37	628.22	869.63	955.0	1464.64	1578.81	425.39	638.33	645.77	579.33	680.59	2	16721	
NM_000984	1128.46	2830.97	773.14	2791.31	1066.07	982.99	1139.44	1333.11	1661.68	1157.23	1726.69	710.48	948.58	1082.42	1829.7	491.34	365.62	591.75	1020.01	580.65	2565.49	1060.66	1108.05	1910.29	1809.97	2722.25	2828.25	322.82	622.8	448.76	462.07	453.23	2	16721	
NM_000987	1324.32	2345.43	1735.99	4457.28	1566.49	1191.56	1962.99	1241.15	1442.95	1162.65	1380.63	927.01	789.07	1012.35	1507.54	651.0	497.09	398.24	642.11	493.87	1347.76	910.57	928.2	1500.56	1661.33	3501.4	1853.0	639.21	666.98	769.33	800.1	652.37	2	16721	
NM_000985	903.67	2034.89	804.89	2707.11	1367.07	1030.87	2092.28	1308.02	1556.21	1297.07	2179.35	946.21	1758.33	1920.75	3808.96	479.99	664.57	704.3	818.36	888.24	2333.05	918.21	829.02	1524.86	1553.06	2103.99	2264.31	479.11	726.9	570.67	595.31	691.32	2	16721	
NM_000986	907.48	1736.44	1093.42	2673.59	1069.29	715.7	1487.93	856.84	928.96	1297.04	1341.48	1317.0	1172.54	1736.47	2200.23	879.76	665.4	829.76	639.63	806.83	1107.62	1178.18	1364.58	2255.78	2416.25	2614.81	2932.68	771.47	807.82	874.57	828.87	759.71	2	16721	
NM_000987	1575.43	2680.17	1815.34	4323.55	1611.97	1302.59	2237.84	1447.51	1641.75	1366.47	1811.2	1040.38	771.29	1198.48	1836.45	666.56	570.05	414.08	678.18	604.82	1539.44	1092.84	1003.2	1648.3	1717.6	1717.35	1981.69	698.3	819.8	829.67	838.35	772.59	2	16721	
NM_001000	796.27	1519.54	1030.52	2444.45	1209.92	887.92	1280.79	928.4	1159.29	625.32	1101.65	651.87	588.7	1183.98	833.68	613.05	421.98	408.38	410.81	492.06	970.95	399.67	435.52	729.59	741.71	1521.2	984.75	398.82	328.98	414.2	436.11	418.87	3	26294	
NM_001011	572.75	1213.7	581.47	1582.23	1395.86	752.62	1536.46	1350.63	1598.65	1054.92	1746.03	569.35	1028.29	1221.93	2161.07	775.45	311.15	718.22	616.78	513.58	961.09	612.66	530.64	924.74	894.29	968.62	1300.37	403.26	359.69	436.04	424.69	468.51	3	26294	
NM_001018	496.13	1428.63	529.13	1418.44	1296.6	999.69	1511.41	1501.89	1469.76	1564.59	1859.85	316.92	394.31	1519.77	1716.54	651.67	477.1	354.45	533.05	725.71	913.43	751.82	695.15	1220.49	1181.84	2089.91	1630.07	333.25	431.45	429.18	342.82	465.73	3	26294	
NM_000967	497.38	1407.89	641.97	1245.02	618.83	670.34	1072.2	828.82	829.9	490.71	743.4	540.29	1019.27	1236.4	1706.76	681.98	371.43	251.35	544.23	551.03	659.81	542.75	546.07	781.67	873.61	824.91	997.93	357.99	548.99	711.44	460.77	512.8	3	26294	
NM_005566	1003.44	2233.94	1247.52	2746.0	974.6	914.68	1442.39	1033.41	1132.78	623.17	1094.35	988.33	592.27	327.21	203.69	278.67	318.87	1366.08	249.89	333.1	570.26	530.55	585.46	1011.35	1287.97	1483.08	933.91	711.16	626.9	498.12	633.36	529.79	3	26294	
NM_001019	443.11	1079.5	484.35	1455.83	1010.91	730.96	1431.16	997.52	1153.1	997.86	1239.79	585.99	1311.31	485.81	1045.5	445.53	348.62	408.99	521.2	518.51	919.49	557.0	546.64	1062.28	1055.52	2126.94	1593.39	341.6	557.88	427.17	441.67	412.79	3	26294	
NM_002032	225.86	1822.21	371.42	2160.78	453.23	481.85	365.52	347.32	323.95	487.07	379.65	433.94	720.27	487.76	550.41	565.55	744.83	1643.19	598.41	431.68	1463.14	893.01	906.1	1197.81	1377.39	2890.95	2066.93	278.45	593.19	538.73	288.27	317.69	3	26294	
NM_002032	253.42	2350.52	472.91	2125.07	455.18	471.64	338.74	316.13	379.99	465.9	497.56	446.37	1201.24	699.92	659.17	703.06	894.48	1981.65	697.62	515.79	1517.6	1089.72	967.48	1226.41	1109.65	2685.16	2458.38	406.67	594.96	645.22	399.18	411.07	3	26294	
NM_001028	653.19	1395.61	712.94	1871.73	1249.69	936.51	1647.95	1216.08	1382.2	772.92	1103.12	777.19	658.31	962.82	1507.65	512.65	406.72	714.67	663.57	692.97	1021.18	405.42	388.81	646.4	669.3	758.09	886.53	470.36	565.15	568.47	588.36	504.44	3	26294	
NM_002954	560.85	821.75	578.45	1810.56	1033.81	702.88	1228.11	895.64	1118.87	803.6	1065.26	502.25	911.17	824.73	2012.27	370.36	271.9	352.87	445.22	359.11	667.3	477.72	509.84	878.91	862.65	2621.65	1195.35	294.04	327.27	337.11	308.01	316.85	3	26294	
NM_001011	664.94	963.33	719.82	1705.6	1477.49	776.61	1468.63	1316.49	1470.1	971.63	1432.82	532.43	848.47	1162.5	2317.14	787.35	328.62	688.02	515.57	509.44	802.93	562.86	533.45	940.56	922.59	926.3	1108.4	414.65	349.39	425.99	425.01	370.48	3	26294	
NM_002107	250.1	347.1	221.22	390.15	814.3	493.25	845.11	936.23	894.76	890.99	1053.38	1160.93	748.11	1673.3	1185.6	389.04	582.6	960.73	1032.96	478.63	673.34	325.49	377.32	686.67	604.95	1340.56	1256.92	368.1	401.28	443.6	320.87	422.26	3	26294	
NM_000978	783.98	1913.06	742.32	2275.03	800.87	589.18	684.32	806.74	837.48	814.11	962.24	435.06	660.62	808.2	1385.88	306.06	271.78	401.45	542.75	458.96	1068.37	581.88	568.95	928.24	801.31	1198.2	1508.77	306.41	385.58	362.49	352.04	298.73	3	26294	
NM_000972	363.06	1433.79	506.22	1514.3	1341.81	1071.86	1188.83	1338.69	1368.63	732.27	991.48	469.27	554.07	1472.63	1763.73	389.41	277.67	387.03	312.89	411.14	1226.3	631.72	768.57	1157.13	1247.38	1189.89	1598.12	227.09	352.46	339.43	316.54	378.54	3	26294	
NM_001006	546.1	1416.0	433.65	1878.56	856.9	683.6	1494.21	921.91	1273.82	763.82	1096.79	639.67	1153.33	837.84	1422.2	255.39	283.04	223.35	499.33	275.85	1444.94	636.94	630.42	1163.18	1118.54	1309.39	1854.15	265.89	504.68	302.93	388.38	385.15	3	26294	
NM_000988	753.12	1992.13	743.78	2595.84	765.1	631.31	728.74	819.88	925.58	892.69	1017.6	478.53	523.97	798.66	1153.33	601.79	272.12	619.87	564.64	451.16	1229.99	431.91	478.96	889.84	864.97	1223.38	1361.3	281.09	369.14	354.93	339.46	387.36	3	26294	
NM_000969	681.99	1377.87	919.54	2074.42	1377.52	1194.82	2063.95	1390.43	1584.46	838.98	1277.61	912.35	512.57	706.94	1948.66	565.18	270.42	412.25	585.91	446.42	1436.83	598.71	617.17	802.67	940.65	1005.47	1163.65	364.18	320.45	453.81	362.14	301.77	3	26294	
NM_022551	913.59	2442.39	1146.3	2762.44	763.14	522.36	1208.61	615.04	754.05	800.81	1145.94	585.73	607.78	1603.74	1863.41	530.64	541.97	679.99	433.59	499.0	861.73	590.08	568.37	921.49	942.93	837.33	1141.88	308.67	400.44	428.56	319.57	411.84	3	26294	
NM_018955	276.85	553.87	306.1	644.15	575.99	506.15	744.21	659.13	627.54	673.67	776.57	1070.48	1227.42	229.89	602.85	754.4	450.47	611.49	414.84	693.65	542.86	337.97	427.86	808.87	789.42	1607.7	1236.66	582.14	1210.5	779.86	730.11	432.09	3	26294	
NM_000972	439.46	1612.58	596.32	1670.74	1443.37	1479.16	1659.87	1710.65	1574.97	941.8	1083.03	550.78	673.11	1801.02	2190.36	525.56	358.15	554.41	403.51	482.94	1571.88	715.78	787.75	1384.36	1327.72	1745.7	1839.25	318.91	449.51	475.02	436.14	462.47	3	26294	
NM_002295	945.91	2393.65	988.46	2453.81	1106.19	821.76	1071.85	1048.24	1087.91	916.36	1290.09	381.41	556.82	924.4	1274.46	473.41	334.01	392.57	404.27	412.66	1319.27	913.3	837.97	1473.51	1544.32	1941.18	2285.2	239.33	226.39	260.06	189.02	325.75	3	26294	
NM_002032	303.11	2476.08	491.71	2190.96	507.61	514.09	411.71	375.35	339.84	572.41	476.18	534.11	681.72	743.02	629.55	732.52	959.86	2184.7	701.25	540.96	1393.87	1079.01	920.6	1515.28	1345.24	2426.85	2288.33	456.6	705.96	807.84	409.1	454.07	3	26294	
NM_002032	226.8	2150.19	449.25	2068.84	427.78	527.35	401.23	321.44	334.0	460.84	410.47	512.86	762.96	588.6	628.97	757.55	842.31	2020.82	656.92	512.55	1590.03	953.99	837.19	1673.9	1306.76	3931.22	2197.42	348.8	704.45	632.06	426.28	399.02	3	26294	
