RefSeq	Patient 1	Patient 2	Patient 3	Patient 4	Patient 5	Patient 6	Patient 7	Patient 8	Patient 9	Patient 10
NM_004475	6.38	2.99	3.01	6.96	0.09	5.93	6.81	3.99	4.65	6.27
NM_005600	3.67	1.1	1.43	5.91	2.22	6.61	9.4	8.73	5.84	6.19
NM_001039673	6.59	9.37	8.44	3.05	2.75	2.58	2.17	0.75	7.63	0.64
NM_001039672	7.37	3.12	9.23	4.67	8.59	5.34	2.95	3.85	7	8.86
NM_001039671	4.06	5.43	9.71	3.54	2.7	1.64	9.84	4.23	2.72	4.13
NM_054104	3.99	2.42	4.72	9.75	9.27	9.5	2.91	0.4	6.49	5.92
NM_022051	6.57	5.78	2.94	3.25	4.38	9.91	6.69	7.74	9.61	9.54
NM_020319	2.39	5.33	3.11	9.03	4.31	9.95	2.52	4.94	0.74	5.21
XM_927144	1.06	9.6	3.59	6.17	5.57	5.25	2.96	7.66	2.74	8.16
XM_928252	6.65	3.89	3.57	9.86	0.05	7.67	1.68	4.54	9.72	4.45
NM_015464	1.72	4.26	8.21	6.24	9.75	7.03	4.03	6.96	7.4	9.59
NM_145714	0.99	0.35	7.62	9.62	2.2	8.57	2.61	8.97	4.14	7.32
NM_025078	8.15	4.57	4.29	5.71	4.59	1.92	8.71	7.97	6.76	3.87
NM_138706	9.05	2.45	1.22	0.98	4.91	0.45	3.18	9.46	0.91	4.76
NM_013379	4.51	7.9	8.22	8.18	6.65	9.88	5.24	9.91	8.35	0.69
NM_016839	1.16	2.43	3.77	4	4.43	6.88	5.55	9.26	3.7	1.11
NM_016836	9.39	2.64	8.69	4.38	1.63	6.64	5.47	8.28	3.24	6.08
NM_025267	9.95	7.55	4.33	6.19	3.41	0.56	4.24	0.98	5.35	6.03
XM_931737	9.98	3.01	1.65	4.38	8.38	0.76	2.06	8.38	1.51	0.01
XM_931732	8.2	5.86	6.13	2.71	3.84	3.99	5.7	2.79	7.13	3.79
XM_931723	5.72	1.97	2.14	0.32	8.2	8.06	5.88	6.97	8.26	3.21
NM_152296	0.29	6.33	0.03	1.91	3.37	6.58	1.4	3.85	0.04	9.84
XM_665196	2.22	1.85	4.08	9.6	3.89	9.07	2.44	3.48	0.7	6.73
NM_018240	5.54	2.54	7.65	8.78	4.47	6.81	9.23	4.71	0.86	2.49
NM_012197	6.61	2.86	5.12	9.28	9.53	2.59	9.45	8.37	8.51	1.63
NM_018728	2.39	4.46	7.62	4.19	0.58	3.94	1.99	3.18	4.41	6.45
NM_003454	9.29	6.02	0.92	6.4	0.33	2.19	7.56	4.09	8.98	8.06
NM_001030273	8.18	2.05	9.4	3.25	1.18	4.88	2.25	0.72	7.63	3.16
NM_001030272	8.1	7.36	5.68	8.3	1.94	6.81	2.29	2.54	0.17	9.42
NM_001004751	9.54	7.67	1.91	9.2	4.39	5.74	6.29	4.28	4.13	1.86
NM_152437	5.35	4.28	0.86	0.86	6.91	2.08	4	1.62	1.47	9.94
NM_032345	9.82	0.35	8.68	5.25	2.03	2.74	9.1	6.53	4.81	5.7
NM_032587	5.92	8.77	3.34	5.11	6.61	2.35	5.69	3.01	9.97	8.05
NM_032558	9.02	3.64	9.3	3.91	9.66	4.66	6.18	2.38	9.1	0.58
XM_931478	6.41	3.47	7.92	9.93	0.62	8.08	2.05	0.38	1.81	4.56
NM_181605	3.29	4.2	3.05	8.66	9.31	3.99	5.53	7.24	2.68	2.19
XM_931455	3.08	6.06	4.02	3.65	8.94	4.15	9.08	2.78	5.59	6.5
XM_931447	0.41	9.24	0.86	3.18	5.01	7.98	8.74	8.12	1.42	4.1
XM_931444	9.86	9.53	6.16	7.69	3.63	3.94	8.05	2.19	3.42	7.4
NM_021056	5.47	5.66	7.61	9.82	4.51	9.4	2.04	0.44	8.33	4.66
NM_021055	1.47	3.13	4.43	3.04	5.05	5.66	0.42	2.66	1.14	8.55
XM_931417	6.51	3.8	4.38	3.92	3.38	0.97	2.08	9.15	0.82	6.99
XM_044434	6.46	6.02	5.23	9.44	6.71	7.97	4.66	9.41	2.47	1.98
NM_005586	9.62	7.7	8.73	8.75	9.65	7.58	9.13	0.63	7.9	2.42
XM_931923	5.56	6.25	5.6	4.91	8.29	1.42	5.26	8.61	1.74	1.76
NM_006632	0.97	3.92	3.46	7.63	3.36	7.85	9.89	9.32	0.82	2.67
