Gene Name	Common	Genbank	Description
144335	ZNF593	NM_015871.2	zinc finger protein 593
138778	null		
217758	GRB2	NM_203506.1	growth factor receptor-bound protein 2
715397	LOC440498	BC017654.1	
132539	HSPCAL3		
101893	NRD1	NM_002525.1	nardilysin (N-arginine dibasic convertase)
151779	ANP32A	NM_006305.2	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A
182667	null		
101844	CDC14B		
209395	CHURC1	NM_145165.1	churchill domain containing 1
221057	LOC497661	NM_000985.2	ribosomal protein L17
156421	RDH11	NM_016026.2	retinol dehydrogenase 11 (all-trans and 9-cis)
236491	null		
581850	LOC92755|TUBB	NM_178014.2	beta 5-tubulin
121991	null		
125973	LOC388928	NM_174889.2	hypothetical protein LOC91942
187720	MRPL14		
107511	LOC401029		
190918	NIFUN	BC061903.1	iron-sulfur cluster assembly enzyme
177124	TNFAIP8L1	NM_152362.1	hypothetical protein MGC17791
177035	CCT3	NM_005998.2	chaperonin containing TCP1, subunit 3 (gamma)
105155	null		
202069	CTAGEP	BC036527.1	
176402	HNRPAB	NM_031266.1	heterogeneous nuclear ribonucleoprotein A/B
160975	C1orf97	NM_032705.2	hypothetical protein MGC14801
186779	C17orf37	NM_032339.3	chromosome 17 open reading frame 37
184532	LMAN2L	NM_030805.1	lectin, mannose-binding 2-like
132480	C1orf31	AX888011.1_CDS_1	
103476	HYPB	NM_012271.1	huntingtin interacting protein B
166583	null		
123636	COX7B	NM_001866.2	cytochrome c oxidase subunit VIIb
236780	null		
236646	null		
107402	DAP3	NM_033657.1	death associated protein 3
208328	PMM2	NM_000303.1	phosphomannomutase 2
230167	null		
179087	null		
236043	LOC441241	BC071617.1	
167654	ATP5C1	NM_005174.1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1
100629	DYNLT1	NM_006519.1	t-complex-associated-testis-expressed 1-like 1
205753	NUCB2	NM_005013.1	nucleobindin 2
225735	TPM1	NM_000366.4	tropomyosin 1 (alpha)
116407	HNRPK	NM_031263.1	heterogeneous nuclear ribonucleoprotein K
117132	TSC22D1	NM_006022.2	transforming growth factor beta 1 induced transcript 4
213843	S100A10	NM_002966.1	S100 calcium binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11))
199369	HIST1H4C	NM_003542.3	histone 1, H4c
134952	RPS10P3		
228769	null		
194447	ZFP91	NM_053023.2	zinc finger protein 91 homolog (mouse)
115673	NDUFA2	NM_002488.2	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, 8kDa
105040	VPS16	NM_080414.1	vacuolar protein sorting 16 (yeast);protein tyrosine phosphatase, receptor type, A
701229	COX2	NM_005077.3	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)
193946	null		
203399	null		
115485	FAHD2A	NM_016044.1	CGI-105 protein
120321	SPR	NM_003124.2	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)
181009	RPL7A	NM_000972.2	ribosomal protein L7a
388974	null	AK091626.1	
133993	LOC346521|LOC402709		
235046	null		
116436	LOC389322		
118522	ATP5O	NM_001697.2	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein)
183867	ATF4	NM_182810.1	activating transcription factor 4 (tax-responsive enhancer element B67)
149386	MGC11257	NM_032350.3	hypothetical protein MGC11257
184164	DAD1	NM_001344.1	defender against cell death 1
126065	TALDO1		
173568	C17orf62	NM_024510.2	hypothetical protein MGC4368
127964	RPL7	NM_000971.2	ribosomal protein L7
211157	EPM2AIP1	NM_014805.2	EPM2A (laforin) interacting protein 1
145220	LOC392437		
137363	C18orf37	NM_194281.2	chromosome 18 open reading frame 37
236397	LOC442160	AL354868.10_CDS_1	
131228	null		
101018	null		
134996	null		
111497	ZNF208	NM_007153.1	zinc finger protein 208
109390	SETDB1	NM_012432.2	SET domain, bifurcated 1
186988	CECR5	NM_017829.4	cat eye syndrome chromosome region, candidate 5
205619	PKN2	NM_006256.1	protein kinase C-like 2
144058	AURKAIP1	NM_017900.1	aurora-A kinase interacting protein
200578	HNF4A	NM_000998.2	ribosomal protein L37a
