ENSG00000104825;NM_001001716
ENSG00000182749;NM_178422
ENSG00000172819;NM_001042728
ENSG00000167513;NM_030928
ENSG00000176406;NM_001100117
ENSG00000101194;NM_022082
ENSG00000001036;NM_032020
ENSG00000203724;NM_001024594
ENSG00000178150;NM_153608
ENSG00000188910;NM_001005752
ENSG00000141469;NM_001146037
ENSG00000132879;NM_183413
ENSG00000144410;NM_173077
ENSG00000149654;NM_021248
ENSG00000159197;NM_172201
ENSG00000089356;NM_001136009
ENSG00000156265;NM_020152
ENSG00000105135;NM_006844
ENSG00000109861;NM_148170
ENSG00000196966;NM_003530
ENSG00000014641;NM_005917
ENSG00000125166;NM_002080
ENSG00000080224;NM_173655
ENSG00000162009;NM_001053
ENSG00000124215;NM_021810
ENSG00000160285;NM_002340
ENSG00000176714;NM_024584
ENSG00000197632;NM_002575
ENSG00000051108;NM_001010989
ENSG00000134184;NM_146421
ENSG00000137575;NM_005625
ENSG00000100033;NM_016335
ENSG00000177051;NM_001080469
ENSG00000074276;NM_001171976
ENSG00000071889;NM_001171134
ENSG00000140749;NM_005849
ENSG00000116117;NM_152526
ENSG00000100105;NM_032050
ENSG00000215522;NM_013994
ENSG00000130706;NM_175573
ENSG00000163694;NM_019027
ENSG00000068990;NM_001098407
ENSG00000182606;NM_001042646
ENSG00000183117;NM_033225
ENSG00000154864;NM_022068
ENSG00000099875;NM_199054
ENSG00000115414;NM_212478
ENSG00000175756;NM_001127230
ENSG00000003436;NM_001032281
ENSG00000196531;NM_001113202
ENSG00000197122;NM_005417
ENSG00000197142;NM_016234
ENSG00000148339;NM_052901
ENSG00000113734;NM_013980
ENSG00000169554;NM_001171653
ENSG00000136731;NM_001025777
ENSG00000156804;NM_058229
ENSG00000185818;NM_178557
ENSG00000183038;NM_001032364
ENSG00000127220;NM_024527
ENSG00000101413;NM_021215
ENSG00000204923;NM_001024680
ENSG00000155304;NM_006948
ENSG00000065833;NM_002395
ENSG00000134245;NM_024494
ENSG00000174996;NM_001134775
ENSG00000180771;NM_032102
ENSG00000133104;NM_001142296
ENSG00000135655;NM_006313
ENSG00000206456;NM_001170417
ENSG00000111450;NM_194356
ENSG00000120333;NM_022100
ENSG00000206313;NM_080702
ENSG00000126858;NM_001033566
ENSG00000108557;NM_030665
ENSG00000126522;NM_001040648
ENSG00000179994;XM_001722084
ENSG00000171992;NM_001166209
ENSG00000046774;NM_016249
ENSG00000131149;NM_014615
ENSG00000111679;NM_002831
ENSG00000111716;NM_002300
ENSG00000206552;XM_942129
ENSG00000198796;NM_052947
ENSG00000006128;NM_013996
ENSG00000173540;NM_021971
ENSG00000185803;NM_024531
ENSG00000124693;NM_003533
ENSG00000091039;NM_001003712
ENSG00000138435;NM_000079
ENSG00000196655;NM_016146
ENSG00000160224;NM_000383
ENSG00000095739;XM_001726141
ENSG00000106689;NM_004789
ENSG00000147655;NM_178565
ENSG00000143971;NM_019002
ENSG00000166908;NM_001146258
ENSG00000183019;NM_174918
ENSG00000062598;NM_133171
ENSG00000185238;NM_005788
ENSG00000159164;NM_014849
ENSG00000107816;NM_032429
ENSG00000134278;NM_020148
ENSG00000164037;NM_001100874
ENSG00000123562;NM_001142424
ENSG00000214192;NM_022442
ENSG00000184640;NM_001113494
ENSG00000204099;NM_001167600
ENSG00000178537;NM_000387
ENSG00000073146;NM_001164106
ENSG00000156802;NM_014109
ENSG00000124216;NM_005985
ENSG00000114268;NM_004567
ENSG00000168004;NM_001146728
ENSG00000185437;NM_007341
ENSG00000196639;NM_001098212
ENSG00000163811;NM_015131
ENSG00000120334;NM_001127181
ENSG00000100997;NM_001042472
ENSG00000163386;NM_015383
ENSG00000185379;NM_002878
ENSG00000167645;NM_001145463
ENSG00000112049;NM_004557
ENSG00000139437;NM_032300
ENSG00000187550;NM_001101401
ENSG00000172572;NM_000921
ENSG00000214905;NM_182935
ENSG00000106617;NM_001040633
ENSG00000119522;NM_020946
ENSG00000164181;NM_024930
ENSG00000149573;NM_144765
ENSG00000145850;NM_138379
ENSG00000203976;NM_001080145
ENSG00000203977;NM_001080145
ENSG00000203978;NM_001080145
ENSG00000203979;NM_001080145
ENSG00000042813;NM_007009
ENSG00000164434;NM_001446
ENSG00000100593;NM_199296
ENSG00000215344;XM_001130520
ENSG00000095906;NM_012225
ENSG00000203975;NM_001080145
ENSG00000163449;NM_001142310
ENSG00000177606;NM_002228
ENSG00000099953;NM_005940
ENSG00000170291;NM_203415
ENSG00000215340;XM_001130520
ENSG00000152234;NM_001001937
ENSG00000116221;NM_016491
ENSG00000121769;NM_004102
ENSG00000160401;NM_001012502
ENSG00000205022;NM_001080487
ENSG00000125970;NM_016732
ENSG00000163462;NM_025058
ENSG00000169599;NM_001002755
ENSG00000109906;NM_001018011
ENSG00000105219;NM_024877
ENSG00000085063;NM_001127225
ENSG00000099330;NM_024578
ENSG00000143257;NM_001077474
ENSG00000204645;NM_001034832
ENSG00000133134;NM_032621
ENSG00000102524;NM_006573
ENSG00000186645;XM_001722895
ENSG00000153165;NM_182588
ENSG00000017373;NM_025248
ENSG00000118557;NM_031293
ENSG00000158813;NM_001005609
ENSG00000189309;NM_001001418
ENSG00000088888;NM_020746
ENSG00000159917;NM_004234
ENSG00000156515;NM_033500
ENSG00000164651;NM_182700
ENSG00000218205;XM_001715411
ENSG00000109332;NM_181888
ENSG00000169031;NM_031362
ENSG00000163202;NM_032563
ENSG00000205496;NM_001004748
ENSG00000197238;NM_003542
ENSG00000123297;NM_005726
ENSG00000116337;NM_203404
ENSG00000171729;NM_001136216
ENSG00000186660;NM_053023
ENSG00000221901;NM_001042595
ENSG00000189252;NM_001009609
ENSG00000127580;NM_032259
ENSG00000159904;NM_013362
ENSG00000070601;NM_014907
ENSG00000138613;NM_031301
ENSG00000168778;NM_024809
ENSG00000189227;NM_001143936
ENSG00000214819;XM_001725786
ENSG00000196632;NM_001002838
ENSG00000187889;NM_001004303
ENSG00000187191;NM_001005786
ENSG00000110057;NM_030930
ENSG00000215633;NM_199001
ENSG00000110455;NM_001127219
ENSG00000174384;NM_174930
ENSG00000164379;NM_033260
ENSG00000070985;NM_014555
ENSG00000077264;NM_001128166
ENSG00000182264;NM_182575
ENSG00000183127;NM_001005224
ENSG00000077498;NM_000372
ENSG00000206032;XM_001723172
ENSG00000120694;NM_006644
ENSG00000125775;NM_080489
ENSG00000206313;NM_080703
ENSG00000204856;NM_013300
ENSG00000185885;NM_003641
ENSG00000135940;NM_001862
ENSG00000213533;NM_198563
ENSG00000136371;NM_006441
ENSG00000184301;NM_001136507
ENSG00000139567;NM_001077401
ENSG00000146072;NM_014452
ENSG00000100883;XM_939727
ENSG00000171863;NM_001011
ENSG00000203847;NM_178230
ENSG00000171951;NM_003469
ENSG00000100722;NM_207662
ENSG00000197958;NM_000976
ENSG00000214608;NM_018902
ENSG00000146054;NM_033342
ENSG00000148688;NM_001104546
ENSG00000026036;NM_016434
ENSG00000085831;NM_001144832
ENSG00000143420;NM_207045
ENSG00000164600;NM_022728
ENSG00000174368;NM_174930
ENSG00000182566;NM_198492
ENSG00000092140;NM_017769
ENSG00000114812;NM_004624
ENSG00000181072;NM_001006632
ENSG00000177732;NM_006943
ENSG00000146373;NM_152553
ENSG00000203981;NM_001080145
ENSG00000172766;NM_024561
ENSG00000179057;NM_173588
ENSG00000168661;NM_001099437
ENSG00000141480;NM_199004
ENSG00000163359;NM_004369
ENSG00000161013;NM_014275
ENSG00000123843;NM_001017364
ENSG00000221870;NM_004709
ENSG00000111110;NM_020700
ENSG00000087157;NM_024419
ENSG00000157216;NM_018070
ENSG00000212736;XM_001720249
ENSG00000126787;NM_014750
ENSG00000173517;NM_024776
ENSG00000150048;NM_016511
ENSG00000185808;NM_153681
ENSG00000090263;NM_053035
ENSG00000011465;NM_133506
ENSG00000146063;NM_033549
ENSG00000153237;NM_001171637
ENSG00000100941;NM_002687
ENSG00000138813;NM_032149
ENSG00000176697;NM_001143813
ENSG00000136861;NM_018249
ENSG00000077713;NM_145305
ENSG00000145725;NM_015216
ENSG00000163468;NM_005998
ENSG00000157873;NM_003820
ENSG00000164414;NM_006416
ENSG00000175787;NM_194320
ENSG00000175215;NM_005730
ENSG00000139549;NM_021044
ENSG00000198223;NM_001161529
ENSG00000196866;NM_003510
ENSG00000197020;NM_173531
ENSG00000115310;NM_153828
ENSG00000168701;NM_014187
ENSG00000112038;NM_001008505
ENSG00000189090;NM_001137556
ENSG00000153201;NM_006267
ENSG00000174744;NM_001024957
ENSG00000170325;NM_020228
ENSG00000095261;NM_005047
ENSG00000181039;NM_001039888
ENSG00000153982;NM_001165994
ENSG00000143036;NM_152369
ENSG00000128713;NM_021192
ENSG00000158104;NM_001171993
ENSG00000119917;NM_001031683
ENSG00000214063;NM_001025237
ENSG00000035403;NM_014000
ENSG00000213551;NM_015190
ENSG00000112273;NM_138574
ENSG00000205174;NM_001024607
ENSG00000170262;NM_206898
ENSG00000168234;NM_153211
ENSG00000152926;NM_015852
ENSG00000165943;NM_022151
ENSG00000126432;NM_181651
ENSG00000168454;NM_001098529
ENSG00000026025;NM_003380
ENSG00000215253;NM_001098411
ENSG00000188766;NM_001039616
ENSG00000178732;NM_004488
ENSG00000185873;NM_182502
ENSG00000144649;XM_934352
ENSG00000140105;NM_213646
ENSG00000136877;NM_004957
ENSG00000157005;NM_001048
ENSG00000096080;NM_018135
ENSG00000186326;NM_207391
ENSG00000128438;XM_002343481
ENSG00000185130;NM_003519
ENSG00000162521;XM_001724067
ENSG00000152556;NM_000289
ENSG00000173638;NM_194255
ENSG00000205775;NM_001098411
ENSG00000187574;NM_001145014
ENSG00000163141;NM_001159642
ENSG00000106344;NM_018077
ENSG00000109519;NM_025196
ENSG00000184824;NM_031433
ENSG00000172977;NM_182710
ENSG00000127412;NM_019841
ENSG00000183461;NM_001097592
ENSG00000118960;NM_022460
ENSG00000155827;NM_019592
ENSG00000122877;NM_000399
ENSG00000164647;NM_012449
ENSG00000156172;NM_177965
ENSG00000120053;NM_002079
ENSG00000007038;NM_006799
ENSG00000151963;NM_001165884
ENSG00000184619;NM_213597
ENSG00000186998;NM_133455
ENSG00000215274;NM_001098411
ENSG00000100105;NM_032052
ENSG00000122877;NM_001136177
ENSG00000196526;NM_001134647
ENSG00000137478;NM_014824
ENSG00000142871;NM_001554
ENSG00000169100;NM_001636
ENSG00000124104;NM_033421
ENSG00000175063;NM_181801
ENSG00000119147;NM_032411
ENSG00000206531;NM_001008784
ENSG00000165591;NM_174912
ENSG00000167522;XM_001721661
ENSG00000166743;NM_052956
ENSG00000067167;NM_014294
ENSG00000100504;NM_002863
ENSG00000175093;NM_080862
ENSG00000152377;NM_004598
ENSG00000110619;NM_001751
ENSG00000182053;XM_926073
ENSG00000149305;NM_006028
ENSG00000147488;NM_014682
ENSG00000120868;NM_181868
ENSG00000188033;NM_020714
ENSG00000198168;NM_148893
ENSG00000168003;NM_001012663
ENSG00000075420;NM_022763
ENSG00000081853;NM_032094
ENSG00000075073;NM_001057
ENSG00000139971;NM_001001872
ENSG00000128310;NM_003614
ENSG00000125817;NM_001810
ENSG00000167656;NM_003695
ENSG00000198793;NM_004958
ENSG00000170275;NM_006371
ENSG00000048707;NM_015378
ENSG00000174748;NM_002948
ENSG00000171217;NM_001001346
ENSG00000221944;NM_145702
ENSG00000198538;NM_006969
ENSG00000182185;NM_002877
ENSG00000111245;NM_000432
ENSG00000149809;NM_003273
ENSG00000198924;NM_014881
ENSG00000165501;NM_152329
ENSG00000205037;XM_001732827
ENSG00000203304;XM_001718528
ENSG00000196126;NM_021983
ENSG00000197299;NM_000057
ENSG00000148219;NM_198188
ENSG00000175097;NM_000536
ENSG00000196182;NM_032017
ENSG00000160867;NM_213647
ENSG00000068079;NM_005533
