Gene Name	Common	Genbank	Description
174829	PSMD4P2	NM_003557.1	phosphatidylinositol-4-phosphate 5-kinase, type I, alpha
189366	PTPLB	NM_198402.2	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b
197182	RER1	NM_007033.2	RER1 homolog (S. cerevisiae)
711583	FTS		
236527	null		
119192	RetSat	NM_017750.2	hypothetical protein FLJ20296
149438	BIN1	NM_004305.2	bridging integrator 1
137076	MGC71993|C17orf49	BC040036.1	
192881	null		
206676	CIP29	NM_033082.1	cytokine induced protein 29 kDa;DnaJ (Hsp40) homolog, subfamily C, member 14
135285	ITM1	NM_001274.2	integral membrane protein 1;CHK1 checkpoint homolog (S. pombe)
178639	LRP10	NM_014045.2	low density lipoprotein receptor-related protein 10
102465	HBLD1	NM_194279.1	HESB like domain containing 1
155945	TIMM23	AF116628.1	
170722	EXOSC8	NM_181503.1	exosome component 8
149461	GNB2L1	NM_006098.2	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1
161254	NIPBL	NM_133433.2	IDN3 protein
126310	RHBDL7	NM_020684.2	NPD007 protein
181397	NDP52	NM_005831.3	nuclear domain 10 protein
141898	C14orf24	NM_173607.2	signal recognition particle 54kDa;chromosome 14 open reading frame 24
156858	RFNG	BC014495.1	
223157	APLP2	NM_001642.1	amyloid beta (A4) precursor-like protein 2
236765	LOC442730|LOC442349		
127704	ATOX1	NM_004045.2	ATX1 antioxidant protein 1 homolog (yeast)
149497	FLJ11773	NM_021934.3	hypothetical protein FLJ11773
236583	RPL15		
174731	HMGCR	NM_000859.1	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
119063	PON2	NM_000305.1	paraoxonase 2
198651	TXNL5	NM_032731.2	thioredoxin-like 5
170354	MRPS18A	NM_018135.2	mitochondrial ribosomal protein S18A
235531	TEX11		
201530	ASCC3L1	NM_014014.2	U5 snRNP-specific protein, 200-KD
526989	null		
228200	null		
155786	RNASET2	NM_003730.3	ribonuclease T2
195726	SHC1	NM_183001.2	SHC (Src homology 2 domain containing) transforming protein 1
132913	MRPL17	NM_022061.2	mitochondrial ribosomal protein L17
112025	C9orf23	NM_148179.1	chromosome 9 open reading frame 23
132242	WDR47	NM_014969.3	KIAA0893 protein
205568	RABAC1	NM_006423.1	Rab acceptor 1 (prenylated)
161976	null		
236385	null		
122318	TRAM1	NM_014294.3	translocation associated membrane protein 1
209188	ZAK	NM_133646.1	sterile alpha motif and leucine zipper containing kinase AZK
133986	MEIS2	NM_172316.1	Meis1, myeloid ecotropic viral integration site 1 homolog 2 (mouse)
217339	C6orf69	NM_173562.3	chromosome 6 open reading frame 69
198718	RNF11	NM_014372.3	ring finger protein 11
170793	RPS25	NM_001028.2	ribosomal protein S25
344391	null		
156236	KIAA0409	NM_015324.2	KIAA0409 protein
192617	PPP2CB	NM_004156.1	protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform
